ID	beizhu	Name	Describe	Gain	ShareType	BuffTriggerType	OverlayWay	Number	Mutual	DelayTime	ContinueTime	IntervalTime	TriggerProbability	Delete	Order	Broadcast	Icon	effect	SpecialResultId	ResultId	ResultType
30001	测试	击退前方0.5-0.4	受到雷霆震慑，魂魄丢失，减速50%	2	1	1030	6	10	-1	0	1500	0	10000	1,2,6	1	1	fashi_2	604	2,1,0.1,2,5,0,0,10,1	-1	-1
30002	测试	击退前方1.1-0.6	受到雷霆震慑，魂魄丢失，减速50%	2	1	1030	6	10	-1	0	1500	0	10000	1,2,6	1	1	fashi_2	604	2,1,0.2,3,5,0,0,10,1	-1	-1
30003	测试	击退前方4-1.2	受到雷霆震慑，魂魄丢失，减速50%	2	1	1030	6	10	-1	0	1500	0	10000	1,2,6	1	1	fashi_2	604	2,1,0.4,6,5,0,0,10,1	-1	-1
30004	测试	击退前方8-1.7	受到雷霆震慑，魂魄丢失，减速50%	2	1	1030	6	10	-1	0	1500	0	10000	1,2,6	1	1	fashi_2	604	2,1,1,8.5,5,0,0,10,1	-1	-1
30005	测试	击退前方9-1.7	受到雷霆震慑，魂魄丢失，减速50%	2	1	1030	6	10	-1	0	1500	0	10000	1,2,6	1	1	fashi_2	604	2,1,1,10,6,0,0,10,1	-1	-1
31000	测试	击退四周9-2	受到雷霆震慑，魂魄丢失，减速50%	2	1	1030	6	10	-1	0	1500	0	10000	1,2,6	1	1	fashi_2	604	2,2,1,8,4,0,0,10,1	-1	-1
31001	测试	击退四周0.5-0.4	受到雷霆震慑，魂魄丢失，减速50%	2	1	1030	6	10	-1	0	1500	0	10000	1,2,6	1	1	fashi_2	604	2,2,0.1,2,5,0,0,10,1	-1	-1
31002	测试	击退四周1.1-0.6	受到雷霆震慑，魂魄丢失，减速50%	2	1	1030	6	10	-1	0	15000	0	10000	1,2,6	1	1	fashi_2	604	2,2,0.2,3,5,0,0,10,1	-1	-1
31003	测试	击退四周4-1.2	受到雷霆震慑，魂魄丢失，减速50%	2	1	1030	6	10	-1	0	1500	0	10000	1,2,6	1	1	fashi_2	604	2,2,0.4,6,5,0,0,10,1	-1	-1
31004	测试	击退四周8-1.7	受到雷霆震慑，魂魄丢失，减速50%	2	1	1030	6	10	-1	0	1500	0	10000	1,2,6	1	1	fashi_2	604	2,2,1,8.5,5,0,0,10,1	-1	-1
31005	测试	击飞2击退四周9-1.7	受到雷霆震慑，魂魄丢失，减速50%	2	1	1030	6	10	-1	0	1500	0	10000	1,2,6	1	1	fashi_2	604	2,2,1,10,6,4,4,10,1	-1	-1
40000	测试	击飞0.2	受到雷霆震慑，魂魄丢失，减速50%	2	1	1030	6	10	-1	0	1500	0	10000	1,2,6	1	1	fashi_2	604	2,0,0,0,0,0.1,1,10,1	-1	-1
40001	测试	击飞0.3	受到雷霆震慑，魂魄丢失，减速50%	2	1	1030	6	10	-1	0	1500	0	10000	1,2,6	1	1	fashi_2	604	2,0,0,0,0,0.2,1,10,1	-1	-1
40002	测试	击飞0.6	受到雷霆震慑，魂魄丢失，减速50%	2	1	1030	6	10	-1	0	1500	0	10000	1,2,6	1	1	fashi_2	604	2,0,0,0,0,0.2,2,10,1	-1	-1
40003	测试	击飞0.5	受到雷霆震慑，魂魄丢失，减速50%	2	1	1030	6	10	-1	0	1500	0	10000	1,2,6	1	1	fashi_2	604	2,0,0,0,0,0.1,2,10,1	-1	-1
40004	测试	击飞1.1	受到雷霆震慑，魂魄丢失，减速50%	2	1	1030	6	10	-1	0	1500	0	10000	1,2,6	1	1	fashi_2	604	2,0,0,0,0,0.2,3,10,1	-1	-1
40005	测试	击飞2	受到雷霆震慑，魂魄丢失，减速50%	2	1	1030	6	10	-1	0	1500	0	10000	1,2,6	1	1	fashi_2	604	2,0,0,0,0,0.4,4,10,1	-1	-1
41000	额外10%的真实伤害	额外伤害	护盾，可吸收X点伤害	1	1	40000	2	1	-1	0	15000	0	10000	1,2,6	2	1	hd	8	-1	-1	{3,2,3,2000,100,5,0}
41001	受到物伤以10%反伤真实伤害	反伤	护盾，可吸收X点伤害	1	1	40001	2	1	-1	0	15000	0	10000	1,2,6	2	1	hd	8	-1	-1	{4,1,3,5000,100,5,0}
41002	持续5秒	无敌	护盾，可吸收X点伤害	1	1	40002	2	1	-1	0	15000	0	10000	1,2,6	2	1	hd	8	11	{1,17,6000,1}	-1
41003	持续5秒	霸体	护盾，可吸收X点伤害	1	1	40003	2	1	-1	0	15000	0	10000	1,2,6	2	1	hd	8	12	{2,4,5000}	-1
41004	持续5秒	物免	护盾，可吸收X点伤害	1	1	40004	2	1	-1	0	15000	0	10000	1,2,6	2	1	hd	8	-1	-1	{13,1}
41005	持续5秒	隐身	护盾，可吸收X点伤害	1	1	40005	1	1	-1	0	15000	0	10000	1,2,6	2	1	hd	8	13	-1	-1
41006	槽1降低20%CD	降低具体槽位的技能CD	护盾，可吸收X点伤害	1	1	40006	2	1	-1	0	15000	0	10000	1,2,6	2	1	hd	8	-1	-1	{21,1,2000,100,0,0}
41007	驱散3个增益	驱散	护盾，可吸收X点伤害	1	1	40007	2	1	-1	0	0	0	10000	1,2,6	2	1	hd	8	-1	-1	{22,3,1}
41008	生命转法攻	属性转化	护盾，可吸收X点伤害	1	1	40008	2	1	-1	0	15000	0	10000	1,2,6	2	1	hd	8	-1	-1	{23,1,1000,100,4,500,100}
41009	生命提升法攻	属性提升	护盾，可吸收X点伤害	1	1	40009	2	1	-1	0	15000	0	10000	1,2,6	2	1	hd	8	-1	-1	{24,1,5,0,4,1,1}
41010	减10点生命，霸体	减血、霸体	护盾，可吸收X点伤害	1	1	40010	2	1	-1	0	15000	0	10000	1,2,6	2	1	hd	8	12	-1	{1,0,0,-10,1}
41012	50%反伤所有伤害10%法伤	反伤	护盾，可吸收X点伤害	1	1	40001	2	1	-1	0	15000	0	10000	1,2,6	2	1	hd	8	-1	-1	{4,4,3,1000,100,0,0}
41013	加血	一次性加血	加血	1	1	2120	5	1	-1	0	0	0	10000	1,2,6	1	1	fashi_2	18	-1	-1	{1,1000,100,0,0}
41011	雷明盾的护盾	标记	护盾，可吸收X点伤害	1	2	40011	3	5	-1	0	50000	0	10000	1,2,6	2	1	hd	8	12	-1	-1
200082	给别人减速	减速	减速，持续10秒	2	1	200082	2	1	-1	0	10000	0	10000	1,2,6	6	1	jiansu	606	-1	-1	-1
200083	给自己生命	生命	生命，持续10秒	1	1	200083	2	1	-1	0	10000	0	10000	1,2,6	7	1	bingjia	600	-1	{2,1,5000}	-1
200101	叠加测试	叠加方式3	同时存在，时间不变	2	1	200101	3	10	-1	0	10000	0	10000	1,2,6	1	1	fashi_2	604	-1	{2,3,10,10}	-1
200102	叠加测试	叠加方式4	同时存在，时间刷新	2	1	200102	4	10	-1	0	10000	0	10000	1,2,6	1	1	fashi_2	604	-1	{2,3,10,10}	-1
