ID	Remark	Lv	MaxHP	MaxMP	AttackDamage	AttackPower	DefenseDamage	DefensePower	PenetrateDamage	PenetratePower	BloodDamage	BloodPower	Critical	CriticalDamage	CriticalRes	HPRegen	MPRegen	Ductility	MoveSpeed	CoolingReduction	DamageAdd	DamageDf	MonsterDamageAdd	MonsterDamageDf	MonsterGoldAdd	MonsterExpAdd	ActivityGoldAdd	ActivityExpAdd
1026	战士26级	26	1400	1050	240	0	300	300	90	0	90	0	90	15000	150	60	30	150	500	90	0	0	0	0	0	0	0	0
1027	战士27级	27	1440	1064	248	0	310	310	93	0	93	0	93	15000	155	62	31	155	500	93	0	0	0	0	0	0	0	0
1028	战士28级	28	1480	1078	256	0	320	320	96	0	96	0	96	15000	160	64	32	160	500	96	0	0	0	0	0	0	0	0
1029	战士29级	29	1520	1092	264	0	330	330	99	0	99	0	99	15000	165	66	33	165	500	99	0	0	0	0	0	0	0	0
1030	战士30级	30	1560	1106	272	0	340	340	102	0	102	0	102	15000	170	68	34	170	500	102	0	0	0	0	0	0	0	0
1031	战士31级	31	1600	1120	280	0	350	350	105	0	105	0	105	15000	175	70	35	175	500	105	0	0	0	0	0	0	0	0
1032	战士32级	32	1640	1134	288	0	360	360	108	0	108	0	108	15000	180	72	36	180	500	108	0	0	0	0	0	0	0	0
1033	战士33级	33	1680	1148	296	0	370	370	111	0	111	0	111	15000	185	74	37	185	500	111	0	0	0	0	0	0	0	0
1034	战士34级	34	1720	1162	304	0	380	380	114	0	114	0	114	15000	190	76	38	190	500	114	0	0	0	0	0	0	0	0
1035	战士35级	35	1760	1176	312	0	390	390	117	0	117	0	117	15000	195	78	39	195	500	117	0	0	0	0	0	0	0	0
1036	战士36级	36	1800	1190	320	0	400	400	120	0	120	0	120	15000	200	80	40	200	500	120	0	0	0	0	0	0	0	0
1037	战士37级	37	1840	1204	328	0	410	410	123	0	123	0	123	15000	205	82	41	205	500	123	0	0	0	0	0	0	0	0
1038	战士38级	38	1880	1218	336	0	420	420	126	0	126	0	126	15000	210	84	42	210	500	126	0	0	0	0	0	0	0	0
1039	战士39级	39	1920	1232	344	0	430	430	129	0	129	0	129	15000	215	86	43	215	500	129	0	0	0	0	0	0	0	0
1040	战士40级	40	1960	1246	352	0	440	440	132	0	132	0	132	15000	220	88	44	220	500	132	0	0	0	0	0	0	0	0
1041	战士41级	41	2000	1260	360	0	450	450	135	0	135	0	135	15000	225	90	45	225	500	135	0	0	0	0	0	0	0	0
1042	战士42级	42	2040	1274	368	0	460	460	138	0	138	0	138	15000	230	92	46	230	500	138	0	0	0	0	0	0	0	0
1043	战士43级	43	2080	1288	376	0	470	470	141	0	141	0	141	15000	235	94	47	235	500	141	0	0	0	0	0	0	0	0
1044	战士44级	44	2120	1302	384	0	480	480	144	0	144	0	144	15000	240	96	48	240	500	144	0	0	0	0	0	0	0	0
1045	战士45级	45	2160	1316	392	0	490	490	147	0	147	0	147	15000	245	98	49	245	500	147	0	0	0	0	0	0	0	0
1046	战士46级	46	2200	1330	400	0	500	500	150	0	150	0	150	15000	250	100	50	250	500	150	0	0	0	0	0	0	0	0
1047	战士47级	47	2240	1344	408	0	510	510	153	0	153	0	153	15000	255	102	51	255	500	153	0	0	0	0	0	0	0	0
1048	战士48级	48	2280	1358	416	0	520	520	156	0	156	0	156	15000	260	104	52	260	500	156	0	0	0	0	0	0	0	0
1049	战士49级	49	2320	1372	424	0	530	530	159	0	159	0	159	15000	265	106	53	265	500	159	0	0	0	0	0	0	0	0
1050	战士50级	50	2360	1386	432	0	540	540	162	0	162	0	162	15000	270	108	54	270	500	162	0	0	0	0	0	0	0	0
1051	战士51级	51	2400	1400	440	0	550	550	165	0	165	0	165	15000	275	110	55	275	500	165	0	0	0	0	0	0	0	0
1052	战士52级	52	2440	1414	448	0	560	560	168	0	168	0	168	15000	280	112	56	280	500	168	0	0	0	0	0	0	0	0
1053	战士53级	53	2480	1428	456	0	570	570	171	0	171	0	171	15000	285	114	57	285	500	171	0	0	0	0	0	0	0	0
1054	战士54级	54	2520	1442	464	0	580	580	174	0	174	0	174	15000	290	116	58	290	500	174	0	0	0	0	0	0	0	0
1055	战士55级	55	2560	1456	472	0	590	590	177	0	177	0	177	15000	295	118	59	295	500	177	0	0	0	0	0	0	0	0
1056	战士56级	56	2600	1470	480	0	600	600	180	0	180	0	180	15000	300	120	60	300	500	180	0	0	0	0	0	0	0	0
1057	战士57级	57	2640	1484	488	0	610	610	183	0	183	0	183	15000	305	122	61	305	500	183	0	0	0	0	0	0	0	0
1058	战士58级	58	2680	1498	496	0	620	620	186	0	186	0	186	15000	310	124	62	310	500	186	0	0	0	0	0	0	0	0
1059	战士59级	59	2720	1512	504	0	630	630	189	0	189	0	189	15000	315	126	63	315	500	189	0	0	0	0	0	0	0	0
1060	战士60级	60	2760	1526	512	0	640	640	192	0	192	0	192	15000	320	128	64	320	500	192	0	0	0	0	0	0	0	0
1061	战士61级	61	2800	1540	520	0	650	650	195	0	195	0	195	15000	325	130	65	325	500	195	0	0	0	0	0	0	0	0
1062	战士62级	62	2840	1554	528	0	660	660	198	0	198	0	198	15000	330	132	66	330	500	198	0	0	0	0	0	0	0	0
1063	战士63级	63	2880	1568	536	0	670	670	201	0	201	0	201	15000	335	134	67	335	500	201	0	0	0	0	0	0	0	0
1064	战士64级	64	2920	1582	544	0	680	680	204	0	204	0	204	15000	340	136	68	340	500	204	0	0	0	0	0	0	0	0
1065	战士65级	65	2960	1596	552	0	690	690	207	0	207	0	207	15000	345	138	69	345	500	207	0	0	0	0	0	0	0	0
1066	战士66级	66	3000	1610	560	0	700	700	210	0	210	0	210	15000	350	140	70	350	500	210	0	0	0	0	0	0	0	0
1067	战士67级	67	3040	1624	568	0	710	710	213	0	213	0	213	15000	355	142	71	355	500	213	0	0	0	0	0	0	0	0
1068	战士68级	68	3080	1638	576	0	720	720	216	0	216	0	216	15000	360	144	72	360	500	216	0	0	0	0	0	0	0	0
1069	战士69级	69	3120	1652	584	0	730	730	219	0	219	0	219	15000	365	146	73	365	500	219	0	0	0	0	0	0	0	0
1070	战士70级	70	3160	1666	592	0	740	740	222	0	222	0	222	15000	370	148	74	370	500	222	0	0	0	0	0	0	0	0
1071	战士71级	71	3200	1680	600	0	750	750	225	0	225	0	225	15000	375	150	75	375	500	225	0	0	0	0	0	0	0	0
1072	战士72级	72	3240	1694	608	0	760	760	228	0	228	0	228	15000	380	152	76	380	500	228	0	0	0	0	0	0	0	0
1073	战士73级	73	3280	1708	616	0	770	770	231	0	231	0	231	15000	385	154	77	385	500	231	0	0	0	0	0	0	0	0
1074	战士74级	74	3320	1722	624	0	780	780	234	0	234	0	234	15000	390	156	78	390	500	234	0	0	0	0	0	0	0	0
1075	战士75级	75	3360	1736	632	0	790	790	237	0	237	0	237	15000	395	158	79	395	500	237	0	0	0	0	0	0	0	0
1076	战士76级	76	3400	1750	640	0	800	800	240	0	240	0	240	15000	400	160	80	400	500	240	0	0	0	0	0	0	0	0
1077	战士77级	77	3440	1764	648	0	810	810	243	0	243	0	243	15000	405	162	81	405	500	243	0	0	0	0	0	0	0	0
1078	战士78级	78	3480	1778	656	0	820	820	246	0	246	0	246	15000	410	164	82	410	500	246	0	0	0	0	0	0	0	0
1079	战士79级	79	3520	1792	664	0	830	830	249	0	249	0	249	15000	415	166	83	415	500	249	0	0	0	0	0	0	0	0
1080	战士80级	80	3560	1806	672	0	840	840	252	0	252	0	252	15000	420	168	84	420	500	252	0	0	0	0	0	0	0	0
1081	战士81级	81	3600	1820	680	0	850	850	255	0	255	0	255	15000	425	170	85	425	500	255	0	0	0	0	0	0	0	0
1082	战士82级	82	3640	1834	688	0	860	860	258	0	258	0	258	15000	430	172	86	430	500	258	0	0	0	0	0	0	0	0
1083	战士83级	83	3680	1848	696	0	870	870	261	0	261	0	261	15000	435	174	87	435	500	261	0	0	0	0	0	0	0	0
1084	战士84级	84	3720	1862	704	0	880	880	264	0	264	0	264	15000	440	176	88	440	500	264	0	0	0	0	0	0	0	0
1085	战士85级	85	3760	1876	712	0	890	890	267	0	267	0	267	15000	445	178	89	445	500	267	0	0	0	0	0	0	0	0
1086	战士86级	86	3800	1890	720	0	900	900	270	0	270	0	270	15000	450	180	90	450	500	270	0	0	0	0	0	0	0	0
1087	战士87级	87	3840	1904	728	0	910	910	273	0	273	0	273	15000	455	182	91	455	500	273	0	0	0	0	0	0	0	0
1088	战士88级	88	3880	1918	736	0	920	920	276	0	276	0	276	15000	460	184	92	460	500	276	0	0	0	0	0	0	0	0
1089	战士89级	89	3920	1932	744	0	930	930	279	0	279	0	279	15000	465	186	93	465	500	279	0	0	0	0	0	0	0	0
1090	战士90级	90	3960	1946	752	0	940	940	282	0	282	0	282	15000	470	188	94	470	500	282	0	0	0	0	0	0	0	0
1091	战士91级	91	4000	1960	760	0	950	950	285	0	285	0	285	15000	475	190	95	475	500	285	0	0	0	0	0	0	0	0
1092	战士92级	92	4040	1974	768	0	960	960	288	0	288	0	288	15000	480	192	96	480	500	288	0	0	0	0	0	0	0	0
1093	战士93级	93	4080	1988	776	0	970	970	291	0	291	0	291	15000	485	194	97	485	500	291	0	0	0	0	0	0	0	0
1094	战士94级	94	4120	2002	784	0	980	980	294	0	294	0	294	15000	490	196	98	490	500	294	0	0	0	0	0	0	0	0
1095	战士95级	95	4160	2016	792	0	990	990	297	0	297	0	297	15000	495	198	99	495	500	297	0	0	0	0	0	0	0	0
1096	战士96级	96	4200	2030	800	0	1000	1000	300	0	300	0	300	15000	500	200	100	500	500	300	0	0	0	0	0	0	0	0
1097	战士97级	97	4240	2044	808	0	1010	1010	303	0	303	0	303	15000	505	202	101	505	500	303	0	0	0	0	0	0	0	0
1098	战士98级	98	4280	2058	816	0	1020	1020	306	0	306	0	306	15000	510	204	102	510	500	306	0	0	0	0	0	0	0	0
1099	战士99级	99	4320	2072	824	0	1030	1030	309	0	309	0	309	15000	515	206	103	515	500	309	0	0	0	0	0	0	0	0
1100	战士100级	100	4360	2086	832	0	1040	1040	312	0	312	0	312	15000	520	208	104	520	500	312	0	0	0	0	0	0	0	0
2001	法师1级	1	280	1000	0	50	40	40	0	25	0	25	15	15000	15	5	10	10	500	25	0	0	0	0	0	0	0	0
2002	法师2级	2	308	1020	0	60	48	48	0	30	0	30	18	15000	18	6	12	12	500	30	0	0	0	0	0	0	0	0
2003	法师3级	3	336	1040	0	70	56	56	0	35	0	35	21	15000	21	7	14	14	500	35	0	0	0	0	0	0	0	0
2004	法师4级	4	364	1060	0	80	64	64	0	40	0	40	24	15000	24	8	16	16	500	40	0	0	0	0	0	0	0	0
2005	法师5级	5	392	1080	0	90	72	72	0	45	0	45	27	15000	27	9	18	18	500	45	0	0	0	0	0	0	0	0
2006	法师6级	6	420	1100	0	100	80	80	0	50	0	50	30	15000	30	10	20	20	500	50	0	0	0	0	0	0	0	0
2007	法师7级	7	448	1120	0	110	88	88	0	55	0	55	33	15000	33	11	22	22	500	55	0	0	0	0	0	0	0	0
2008	法师8级	8	476	1140	0	120	96	96	0	60	0	60	36	15000	36	12	24	24	500	60	0	0	0	0	0	0	0	0
2009	法师9级	9	504	1160	0	130	104	104	0	65	0	65	39	15000	39	13	26	26	500	65	0	0	0	0	0	0	0	0
2010	法师10级	10	532	1180	0	140	112	112	0	70	0	70	42	15000	42	14	28	28	500	70	0	0	0	0	0	0	0	0
2011	法师11级	11	560	1200	0	150	120	120	0	75	0	75	45	15000	45	15	30	30	500	75	0	0	0	0	0	0	0	0
2012	法师12级	12	588	1220	0	160	128	128	0	80	0	80	48	15000	48	16	32	32	500	80	0	0	0	0	0	0	0	0
2013	法师13级	13	616	1240	0	170	136	136	0	85	0	85	51	15000	51	17	34	34	500	85	0	0	0	0	0	0	0	0
2014	法师14级	14	644	1260	0	180	144	144	0	90	0	90	54	15000	54	18	36	36	500	90	0	0	0	0	0	0	0	0
2015	法师15级	15	672	1280	0	190	152	152	0	95	0	95	57	15000	57	19	38	38	500	95	0	0	0	0	0	0	0	0
2016	法师16级	16	700	1300	0	200	160	160	0	100	0	100	60	15000	60	20	40	40	500	100	0	0	0	0	0	0	0	0
2017	法师17级	17	728	1320	0	210	168	168	0	105	0	105	63	15000	63	21	42	42	500	105	0	0	0	0	0	0	0	0
2018	法师18级	18	756	1340	0	220	176	176	0	110	0	110	66	15000	66	22	44	44	500	110	0	0	0	0	0	0	0	0
2019	法师19级	19	784	1360	0	230	184	184	0	115	0	115	69	15000	69	23	46	46	500	115	0	0	0	0	0	0	0	0
2020	法师20级	20	812	1380	0	240	192	192	0	120	0	120	72	15000	72	24	48	48	500	120	0	0	0	0	0	0	0	0
2021	法师21级	21	840	1400	0	250	200	200	0	125	0	125	75	15000	75	25	50	50	500	125	0	0	0	0	0	0	0	0
2022	法师22级	22	868	1420	0	260	208	208	0	130	0	130	78	15000	78	26	52	52	500	130	0	0	0	0	0	0	0	0
2023	法师23级	23	896	1440	0	270	216	216	0	135	0	135	81	15000	81	27	54	54	500	135	0	0	0	0	0	0	0	0
2024	法师24级	24	924	1460	0	280	224	224	0	140	0	140	84	15000	84	28	56	56	500	140	0	0	0	0	0	0	0	0
2025	法师25级	25	952	1480	0	290	232	232	0	145	0	145	87	15000	87	29	58	58	500	145	0	0	0	0	0	0	0	0
2026	法师26级	26	980	1500	0	300	240	240	0	150	0	150	90	15000	90	30	60	60	500	150	0	0	0	0	0	0	0	0
2027	法师27级	27	1008	1520	0	310	248	248	0	155	0	155	93	15000	93	31	62	62	500	155	0	0	0	0	0	0	0	0
2028	法师28级	28	1036	1540	0	320	256	256	0	160	0	160	96	15000	96	32	64	64	500	160	0	0	0	0	0	0	0	0
2029	法师29级	29	1064	1560	0	330	264	264	0	165	0	165	99	15000	99	33	66	66	500	165	0	0	0	0	0	0	0	0
2030	法师30级	30	1092	1580	0	340	272	272	0	170	0	170	102	15000	102	34	68	68	500	170	0	0	0	0	0	0	0	0
2031	法师31级	31	1120	1600	0	350	280	280	0	175	0	175	105	15000	105	35	70	70	500	175	0	0	0	0	0	0	0	0
2032	法师32级	32	1148	1620	0	360	288	288	0	180	0	180	108	15000	108	36	72	72	500	180	0	0	0	0	0	0	0	0
2033	法师33级	33	1176	1640	0	370	296	296	0	185	0	185	111	15000	111	37	74	74	500	185	0	0	0	0	0	0	0	0
2034	法师34级	34	1204	1660	0	380	304	304	0	190	0	190	114	15000	114	38	76	76	500	190	0	0	0	0	0	0	0	0
2035	法师35级	35	1232	1680	0	390	312	312	0	195	0	195	117	15000	117	39	78	78	500	195	0	0	0	0	0	0	0	0
2036	法师36级	36	1260	1700	0	400	320	320	0	200	0	200	120	15000	120	40	80	80	500	200	0	0	0	0	0	0	0	0
2037	法师37级	37	1288	1720	0	410	328	328	0	205	0	205	123	15000	123	41	82	82	500	205	0	0	0	0	0	0	0	0
2038	法师38级	38	1316	1740	0	420	336	336	0	210	0	210	126	15000	126	42	84	84	500	210	0	0	0	0	0	0	0	0
2039	法师39级	39	1344	1760	0	430	344	344	0	215	0	215	129	15000	129	43	86	86	500	215	0	0	0	0	0	0	0	0
2040	法师40级	40	1372	1780	0	440	352	352	0	220	0	220	132	15000	132	44	88	88	500	220	0	0	0	0	0	0	0	0
2041	法师41级	41	1400	1800	0	450	360	360	0	225	0	225	135	15000	135	45	90	90	500	225	0	0	0	0	0	0	0	0
2042	法师42级	42	1428	1820	0	460	368	368	0	230	0	230	138	15000	138	46	92	92	500	230	0	0	0	0	0	0	0	0
2043	法师43级	43	1456	1840	0	470	376	376	0	235	0	235	141	15000	141	47	94	94	500	235	0	0	0	0	0	0	0	0
2044	法师44级	44	1484	1860	0	480	384	384	0	240	0	240	144	15000	144	48	96	96	500	240	0	0	0	0	0	0	0	0
2045	法师45级	45	1512	1880	0	490	392	392	0	245	0	245	147	15000	147	49	98	98	500	245	0	0	0	0	0	0	0	0
2046	法师46级	46	1540	1900	0	500	400	400	0	250	0	250	150	15000	150	50	100	100	500	250	0	0	0	0	0	0	0	0
2047	法师47级	47	1568	1920	0	510	408	408	0	255	0	255	153	15000	153	51	102	102	500	255	0	0	0	0	0	0	0	0
2048	法师48级	48	1596	1940	0	520	416	416	0	260	0	260	156	15000	156	52	104	104	500	260	0	0	0	0	0	0	0	0
2049	法师49级	49	1624	1960	0	530	424	424	0	265	0	265	159	15000	159	53	106	106	500	265	0	0	0	0	0	0	0	0
2050	法师50级	50	1652	1980	0	540	432	432	0	270	0	270	162	15000	162	54	108	108	500	270	0	0	0	0	0	0	0	0
2051	法师51级	51	1680	2000	0	550	440	440	0	275	0	275	165	15000	165	55	110	110	500	275	0	0	0	0	0	0	0	0
2052	法师52级	52	1708	2020	0	560	448	448	0	280	0	280	168	15000	168	56	112	112	500	280	0	0	0	0	0	0	0	0
2053	法师53级	53	1736	2040	0	570	456	456	0	285	0	285	171	15000	171	57	114	114	500	285	0	0	0	0	0	0	0	0
2054	法师54级	54	1764	2060	0	580	464	464	0	290	0	290	174	15000	174	58	116	116	500	290	0	0	0	0	0	0	0	0
2055	法师55级	55	1792	2080	0	590	472	472	0	295	0	295	177	15000	177	59	118	118	500	295	0	0	0	0	0	0	0	0
2056	法师56级	56	1820	2100	0	600	480	480	0	300	0	300	180	15000	180	60	120	120	500	300	0	0	0	0	0	0	0	0
2057	法师57级	57	1848	2120	0	610	488	488	0	305	0	305	183	15000	183	61	122	122	500	305	0	0	0	0	0	0	0	0
2058	法师58级	58	1876	2140	0	620	496	496	0	310	0	310	186	15000	186	62	124	124	500	310	0	0	0	0	0	0	0	0
2059	法师59级	59	1904	2160	0	630	504	504	0	315	0	315	189	15000	189	63	126	126	500	315	0	0	0	0	0	0	0	0
2060	法师60级	60	1932	2180	0	640	512	512	0	320	0	320	192	15000	192	64	128	128	500	320	0	0	0	0	0	0	0	0
2061	法师61级	61	1960	2200	0	650	520	520	0	325	0	325	195	15000	195	65	130	130	500	325	0	0	0	0	0	0	0	0
2062	法师62级	62	1988	2220	0	660	528	528	0	330	0	330	198	15000	198	66	132	132	500	330	0	0	0	0	0	0	0	0
2063	法师63级	63	2016	2240	0	670	536	536	0	335	0	335	201	15000	201	67	134	134	500	335	0	0	0	0	0	0	0	0
2064	法师64级	64	2044	2260	0	680	544	544	0	340	0	340	204	15000	204	68	136	136	500	340	0	0	0	0	0	0	0	0
2065	法师65级	65	2072	2280	0	690	552	552	0	345	0	345	207	15000	207	69	138	138	500	345	0	0	0	0	0	0	0	0
2066	法师66级	66	2100	2300	0	700	560	560	0	350	0	350	210	15000	210	70	140	140	500	350	0	0	0	0	0	0	0	0
2067	法师67级	67	2128	2320	0	710	568	568	0	355	0	355	213	15000	213	71	142	142	500	355	0	0	0	0	0	0	0	0
2068	法师68级	68	2156	2340	0	720	576	576	0	360	0	360	216	15000	216	72	144	144	500	360	0	0	0	0	0	0	0	0
2069	法师69级	69	2184	2360	0	730	584	584	0	365	0	365	219	15000	219	73	146	146	500	365	0	0	0	0	0	0	0	0
2070	法师70级	70	2212	2380	0	740	592	592	0	370	0	370	222	15000	222	74	148	148	500	370	0	0	0	0	0	0	0	0
2071	法师71级	71	2240	2400	0	750	600	600	0	375	0	375	225	15000	225	75	150	150	500	375	0	0	0	0	0	0	0	0
2072	法师72级	72	2268	2420	0	760	608	608	0	380	0	380	228	15000	228	76	152	152	500	380	0	0	0	0	0	0	0	0
2073	法师73级	73	2296	2440	0	770	616	616	0	385	0	385	231	15000	231	77	154	154	500	385	0	0	0	0	0	0	0	0
2074	法师74级	74	2324	2460	0	780	624	624	0	390	0	390	234	15000	234	78	156	156	500	390	0	0	0	0	0	0	0	0
2075	法师75级	75	2352	2480	0	790	632	632	0	395	0	395	237	15000	237	79	158	158	500	395	0	0	0	0	0	0	0	0
2076	法师76级	76	2380	2500	0	800	640	640	0	400	0	400	240	15000	240	80	160	160	500	400	0	0	0	0	0	0	0	0
2077	法师77级	77	2408	2520	0	810	648	648	0	405	0	405	243	15000	243	81	162	162	500	405	0	0	0	0	0	0	0	0
2078	法师78级	78	2436	2540	0	820	656	656	0	410	0	410	246	15000	246	82	164	164	500	410	0	0	0	0	0	0	0	0
2079	法师79级	79	2464	2560	0	830	664	664	0	415	0	415	249	15000	249	83	166	166	500	415	0	0	0	0	0	0	0	0
2080	法师80级	80	2492	2580	0	840	672	672	0	420	0	420	252	15000	252	84	168	168	500	420	0	0	0	0	0	0	0	0
2081	法师81级	81	2520	2600	0	850	680	680	0	425	0	425	255	15000	255	85	170	170	500	425	0	0	0	0	0	0	0	0
2082	法师82级	82	2548	2620	0	860	688	688	0	430	0	430	258	15000	258	86	172	172	500	430	0	0	0	0	0	0	0	0
2083	法师83级	83	2576	2640	0	870	696	696	0	435	0	435	261	15000	261	87	174	174	500	435	0	0	0	0	0	0	0	0
2084	法师84级	84	2604	2660	0	880	704	704	0	440	0	440	264	15000	264	88	176	176	500	440	0	0	0	0	0	0	0	0
2085	法师85级	85	2632	2680	0	890	712	712	0	445	0	445	267	15000	267	89	178	178	500	445	0	0	0	0	0	0	0	0
2086	法师86级	86	2660	2700	0	900	720	720	0	450	0	450	270	15000	270	90	180	180	500	450	0	0	0	0	0	0	0	0
2087	法师87级	87	2688	2720	0	910	728	728	0	455	0	455	273	15000	273	91	182	182	500	455	0	0	0	0	0	0	0	0
2088	法师88级	88	2716	2740	0	920	736	736	0	460	0	460	276	15000	276	92	184	184	500	460	0	0	0	0	0	0	0	0
2089	法师89级	89	2744	2760	0	930	744	744	0	465	0	465	279	15000	279	93	186	186	500	465	0	0	0	0	0	0	0	0
2090	法师90级	90	2772	2780	0	940	752	752	0	470	0	470	282	15000	282	94	188	188	500	470	0	0	0	0	0	0	0	0
2091	法师91级	91	2800	2800	0	950	760	760	0	475	0	475	285	15000	285	95	190	190	500	475	0	0	0	0	0	0	0	0
2092	法师92级	92	2828	2820	0	960	768	768	0	480	0	480	288	15000	288	96	192	192	500	480	0	0	0	0	0	0	0	0
2093	法师93级	93	2856	2840	0	970	776	776	0	485	0	485	291	15000	291	97	194	194	500	485	0	0	0	0	0	0	0	0
2094	法师94级	94	2884	2860	0	980	784	784	0	490	0	490	294	15000	294	98	196	196	500	490	0	0	0	0	0	0	0	0
2095	法师95级	95	2912	2880	0	990	792	792	0	495	0	495	297	15000	297	99	198	198	500	495	0	0	0	0	0	0	0	0
2096	法师96级	96	2940	2900	0	1000	800	800	0	500	0	500	300	15000	300	100	200	200	500	500	0	0	0	0	0	0	0	0
2097	法师97级	97	2968	2920	0	1010	808	808	0	505	0	505	303	15000	303	101	202	202	500	505	0	0	0	0	0	0	0	0
2098	法师98级	98	2996	2940	0	1020	816	816	0	510	0	510	306	15000	306	102	204	204	500	510	0	0	0	0	0	0	0	0
2099	法师99级	99	3024	2960	0	1030	824	824	0	515	0	515	309	15000	309	103	206	206	500	515	0	0	0	0	0	0	0	0
2100	法师100级	100	3052	2980	0	1040	832	832	0	520	0	520	312	15000	312	104	208	208	500	520	0	0	0	0	0	0	0	0
3001	射手1级	1	320	900	50	0	40	30	20	0	25	0	25	15000	15	5	10	15	500	20	0	0	0	0	0	0	0	0
3002	射手2级	2	352	918	60	0	48	36	24	0	30	0	30	15000	18	6	12	18	500	24	0	0	0	0	0	0	0	0
3003	射手3级	3	384	936	70	0	56	42	28	0	35	0	35	15000	21	7	14	21	500	28	0	0	0	0	0	0	0	0
3004	射手4级	4	416	954	80	0	64	48	32	0	40	0	40	15000	24	8	16	24	500	32	0	0	0	0	0	0	0	0
