ID	Name	ShortDescribe	SkillShortDes	Similar	CardLevel	CardQuality	CardBasic	BasicInc	CardSkill	SkillInc	SkillOpen	SkillDes	CardSkillTwo	SkillIncTwo	SkillTwoOpen	SkillTwoDes	ExcDebris	Total	Number	NextID	HeadIcon	BodyIcon
7	Doge	加生命法力的神烦狗	暴击：增加暴击	-1	6	2	1,1,3500,2,1,3500	0,0	-1	-1	-1	无	-1	-1	-1	无	-1	90005,0	-1	-1	zhanshi_2	yishou-lasi
20	Cat	加物理攻击，生命百分比的猫	暴伤：增加暴伤	21,22,23,24,25,26	0	3	3,1,100	100	3,1,50	50	0	暴伤：暴击伤害<color=#ffd80036>+5%</color>	-1	-1	-1	免疫：1%几率免疫一次物理伤害	90006,20	90006,210	90006,10	21	zhanshi_2	yishou-mengji
21	Cat	物理攻击，生命百分比	暴伤：增加暴伤	-1	1	3	3,1,200	100	3,1,100	50	0	无	-1	-1	-1	无	-1	90006,200	90006,20	22	zhanshi_2	yishou-mengji
22	Cat	物理攻击，生命百分比	暴伤：增加暴伤	-1	2	3	3,1,300	100	3,1,150	50	0	无	-1	-1	-1	无	-1	90006,180	90006,30	23	zhanshi_2	yishou-mengji
23	Cat	物理攻击，生命百分比	暴伤：增加暴伤	-1	3	3	3,1,400	100	3,1,200	50	0	无	-1	-1	-1	无	-1	90006,150	90006,40	24	zhanshi_2	yishou-mengji
24	Cat	物理攻击，生命百分比	暴伤：增加暴伤	-1	4	3	3,1,500	100	3,1,250	50	0	无	-1	-1	-1	无	-1	90006,110	90006,50	25	zhanshi_2	yishou-mengji
25	Cat	物理攻击，生命百分比	暴伤：增加暴伤	-1	5	3	3,1,600	100	3,1,300	50	0	无	-1	-1	-1	无	-1	90006,60	90006,60	26	zhanshi_2	yishou-mengji
26	Cat	物理攻击，生命百分比	暴伤：增加暴伤	-1	6	3	3,1,700	0	3,1,350	0	0	无	-1	-1	-1	无	-1	90006,0	-1	-1	zhanshi_2	yishou-mengji
40	Light Lee	加法术攻击，暴击的李光	生命：增加生命	41,42,43,44,45,46	0	4	4,1,100	100	2,2,5	5	0	无	-1	-1	-1	无	90007,20	90007,210	90007,10	41	zhanshi_2	yishou-qiongqi
41	Light Lee	加法术攻击，暴击的李光	生命：增加生命	-1	1	4	4,1,200	100	2,2,10	5	0	无	-1	-1	-1	无	-1	90007,200	90007,20	42	zhanshi_2	yishou-qiongqi
42	Light Lee	加法术攻击，暴击的李光	生命：增加生命	-1	2	4	4,1,300	100	2,2,15	5	0	无	-1	-1	-1	无	-1	90007,180	90007,30	43	zhanshi_2	yishou-qiongqi
43	Light Lee	加法术攻击，暴击的李光	生命：增加生命	-1	3	4	4,1,400	100	2,2,20	5	0	无	-1	-1	-1	无	-1	90007,150	90007,40	44	zhanshi_2	yishou-qiongqi
44	Light Lee	加法术攻击，暴击的李光	生命：增加生命	-1	4	4	4,1,500	100	2,2,25	5	0	无	-1	-1	-1	无	-1	90007,110	90007,50	45	zhanshi_2	yishou-qiongqi
45	Light Lee	加法术攻击，暴击的李光	生命：增加生命	-1	5	4	4,1,600	100	2,2,30	5	0	无	-1	-1	-1	无	-1	90007,60	90007,60	46	zhanshi_2	yishou-qiongqi
46	Light Lee	加法术攻击，暴击的李光	生命：增加生命	-1	6	4	4,1,700	0	2,2,35	0	0	无	-1	-1	-1	无	-1	90007,0	-1	-1	zhanshi_2	yishou-qiongqi
60	Doge	加生命法力的神烦狗	暴击：增加暴击\n护盾：被攻击时增加护盾	61,62,63,64,65,66	0	2	1,1,500,2,1,500	500,500	-1	-1	-1	无	-1	-1	-1	防御：被攻击时防御力 +5%	90005,20	90008,210	90008,10	61	zhanshi_2	yishou-lasi
61	Doge	加生命法力的神烦狗	暴击：增加暴击	-1	1	2	1,1,1000,2,1,1000	500,500	-1	-1	-1	无	-1	-1	-1	无	-1	90008,200	90008,20	62	zhanshi_2	yishou-lasi
62	Doge	加生命法力的神烦狗	暴击：增加暴击	-1	2	2	1,1,1500,2,1,1500	500,500	-1	-1	-1	无	-1	-1	-1	无	-1	90008,180	90008,30	63	zhanshi_2	yishou-lasi
63	Doge	加生命法力的神烦狗	暴击：增加暴击	-1	3	2	1,1,2000,2,1,2000	500,500	-1	-1	-1	无	-1	-1	-1	无	-1	90008,150	90008,40	64	zhanshi_2	yishou-lasi
64	Doge	加生命法力的神烦狗	暴击：增加暴击	-1	4	2	1,1,2500,2,1,2500	500,500	-1	-1	-1	无	-1	-1	-1	无	-1	90008,110	90008,50	65	zhanshi_2	yishou-lasi
65	Doge	加生命法力的神烦狗	暴击：增加暴击	-1	5	2	1,1,3000,2,1,3000	500,500	-1	-1	-1	无	-1	-1	-1	无	-1	90008,60	90008,60	66	zhanshi_2	yishou-lasi
66	Doge	加生命法力的神烦狗	暴击：增加暴击	-1	6	2	1,1,3500,2,1,3500	0,0	-1	-1	-1	无	-1	-1	-1	无	-1	90008,0	-1	-1	zhanshi_2	yishou-lasi
80	Cat	加物理攻击，生命百分比的猫	暴伤：增加暴伤	81,82,83,84,85,86	0	3	3,1,100	100	3,1,50	50	0	暴伤：暴击伤害<color=#ffd80036>+5%</color>	-1	-1	-1	免疫：1%几率免疫一次物理伤害	90006,20	90009,210	90009,10	81	zhanshi_2	yishou-mengji
81	Cat	物理攻击，生命百分比	暴伤：增加暴伤	-1	1	3	3,1,200	100	3,1,100	50	0	无	-1	-1	-1	无	-1	90009,200	90009,20	82	zhanshi_2	yishou-mengji
82	Cat	物理攻击，生命百分比	暴伤：增加暴伤	-1	2	3	3,1,300	100	3,1,150	50	0	无	-1	-1	-1	无	-1	90009,180	90009,30	83	zhanshi_2	yishou-mengji
83	Cat	物理攻击，生命百分比	暴伤：增加暴伤	-1	3	3	3,1,400	100	3,1,200	50	0	无	-1	-1	-1	无	-1	90009,150	90009,40	84	zhanshi_2	yishou-mengji
84	Cat	物理攻击，生命百分比	暴伤：增加暴伤	-1	4	3	3,1,500	100	3,1,250	50	0	无	-1	-1	-1	无	-1	90009,110	90009,50	85	zhanshi_2	yishou-mengji
85	Cat	物理攻击，生命百分比	暴伤：增加暴伤	-1	5	3	3,1,600	100	3,1,300	50	0	无	-1	-1	-1	无	-1	90009,60	90009,60	86	zhanshi_2	yishou-mengji
86	Cat	物理攻击，生命百分比	暴伤：增加暴伤	-1	6	3	3,1,700	0	3,1,350	0	0	无	-1	-1	-1	无	-1	90009,0	-1	-1	zhanshi_2	yishou-mengji
100	Light Lee	加法术攻击，暴击的李光	生命：增加生命	101,102,103,104,105,106	0	4	4,1,100	100	2,2,5	5	0	无	-1	-1	-1	无	90007,20	90010,210	90010,10	101	zhanshi_2	yishou-qiongqi
101	Light Lee	加法术攻击，暴击的李光	生命：增加生命	-1	1	4	4,1,200	100	2,2,10	5	0	无	-1	-1	-1	无	-1	90010,200	90010,20	102	zhanshi_2	yishou-qiongqi
102	Light Lee	加法术攻击，暴击的李光	生命：增加生命	-1	2	4	4,1,300	100	2,2,15	5	0	无	-1	-1	-1	无	-1	90010,180	90010,30	103	zhanshi_2	yishou-qiongqi
103	Light Lee	加法术攻击，暴击的李光	生命：增加生命	-1	3	4	4,1,400	100	2,2,20	5	0	无	-1	-1	-1	无	-1	90010,150	90010,40	104	zhanshi_2	yishou-qiongqi
104	Light Lee	加法术攻击，暴击的李光	生命：增加生命	-1	4	4	4,1,500	100	2,2,25	5	0	无	-1	-1	-1	无	-1	90010,110	90010,50	105	zhanshi_2	yishou-qiongqi
105	Light Lee	加法术攻击，暴击的李光	生命：增加生命	-1	5	4	4,1,600	100	2,2,30	5	0	无	-1	-1	-1	无	-1	90010,60	90010,60	106	zhanshi_2	yishou-qiongqi
