ID	Name	ShortDescribe	SkillType	Lock	AttackEffect	WarningScope	EarlyWarning	ConjureDistance	ScopeEffect	SelfMotion	Distance	Action	ActionDuration	Effect	ProgressBar	Break	ScreenShake	SoundEffect	SkillIcon	NearTableId	Displacement	SummonDelay	SummonID	TriggerDelay	BuffTriggerId	NextSkillId	ValidTime	MemoryTime	CdGroup	Profession	Type	ClearLevel	Slot	CoolingTime	CoolingTimeUpgrade	MP	MPUpgrade	MPC	MPCUpgrade	ItemID
2001	法师普攻2	普攻	1	2	0	3,1,1,1	0	10	ty_fanwei	2	15	-1,-1,Attack02,-1	0,0,330,700	-1	0,0,0,0	0,0,0,1	-1	fs_pg2_sf	fashi_pugong	-1	1	400	2001	0	-1	2000	0	150,700	-1	2	1	1	0	0	0	0	0	0	0	-1
2010	天雷闪	直线法术伤害	1	2	0	3,5,3,12	EffectPrefab/SkillIndicator/Dragon Arrow	10	ty_fanwei	2	11	-1,-1,Skill01,-1	100,0,400,880	4,5	0,0,0,0	0,0,0,1	-1	fs_lsgx_sf	fashi_1	2010	1	200	-1	0	-1	-1	0	200,880	-1	2	2	1	1	500	0	10	1	0	0	-1
2020	引雷咒	范围法术伤害	1	3	7	1	EffectPrefab/SkillIndicator/Frost Nova	7	ty_fanwei	2	10	-1,-1,Skill02,-1	0,0,660,990	-1	0,0,0,0	0,0,0,1	-1	fs_ltwj_sf	fashi_2	2020	1	0	-1	0	-1	-1	0	300,990	-1	2	2	1	2	1000	0	10	1	0	0	-1
2030	雷鸣盾	护盾+爆炸伤害	1	1	0	2,360,3,5	0	1	0	1	1	-1,-1,Skill03,-1	0,0,500,800	-1	0,0,0,0	0,0,0,1	-1	fs_ldht_sf	fashi_3	2030	1	200	1	0	-1	-1	0	250,800	-1	2	2	6	3	2000	0	10	1	0	0	-1
2031	爆炸	护盾爆炸	1	2	0	2,360,4,5	0	3	0	1	40	-1,-1,-1,-1	0,0,0,0	9	0,0,0,0	0,0,0,1	-1	fs_ldht_sf	0	2031	1	0	-1	0	-1	7000	0	0	-1	0	0	8	3	0	0	0	0	0	0	-1
2040	末日雷劫	范围持续伤害	1	2	0	2,360,3,5	0	7	ty_fanwei	2	10	Skill04a,-1,Skill04b,Skill04c	1233,0,3000,1333	11	0,0,1,0	0,0,1,1	-1	fs_lszn_sf	fashi_4	2040	1	0	-1	0	2041	-1	0	1000,4400	-1	2	2	10	4	2000	0	10	1	0	0	-1
2110	冰圈	范围伤害减速	1	3	12	2,360,3,5	EffectPrefab/SkillIndicator/Frost Nova	7	ty_fanwei	2	10	-1,-1,Skill02,-1	0,0,333,500	-1	0,0,0,0	0,0,0,1	-1	fs_ltwj_sf	fashi_2	2110	1	0	-1	0	-1	-1	0	300,990	-1	2	2	12	1	1000	0	10	1	0	0	-1
2120	冰冻	延迟冰冻	1	3	0	2,360,3,5	EffectPrefab/SkillIndicator/Frost Nova	7	ty_fanwei	2	10	-1,-1,Attack01,-1	0,0,333,500	-1	0,0,0,0	0,0,0,1	-1	fs_pg1_sf	fashi_2	2120	1	0	-1	0	-1	-1	0	200,700	-1	2	2	14	2	1000	0	10	1	0	0	-1
2130	闪现	闪现	1	2	0	3,8,1,12	EffectPrefab/SkillIndicator/Dragon Arrow	8	0	1	9	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,0	-1	fs_sx_sf	fashi_4	-1	3	0	-1	0	-1	-1	0	0	-1	2	2	16	3	1500	0	10	1	0	0	-1
2140	持续群伤减速	持续群伤减速禁咒	1	3	19	3,1,1,1	EffectPrefab/SkillIndicator/Frost Nova	7	ty_fanwei	2	8	-1,-1,Attack01,-1	0,0,600,567	-1	0,0,0,0	0,0,0,1	-1	fs_pg1_sf	fashi_2	2140	1	0	-1	0	2130	0	0	200,700	-1	2	2	16	4	1000	0	10	1	0	0	-1
2210	单体引爆1	小范围多段伤害	1	4	13	2,120,7,5	0	10	ty_fanwei	2	11	-1,-1,Attack01,-1	0,0,233,600	-1	0,0,0,0	0,0,0,1	-1	fs_pg1_sf	fashi_2	2210	1	0	-1	0	-1	-1	0	200,700	-1	2	2	16	1	2000	0	10	1	0	0	-1
2220	单体引爆2	单体多段伤害	1	5	14	2,120,7,5	0	10	ty_fanwei	2	11	-1,-1,Attack01,-1	0,0,600,334	-1	0,0,0,0	0,0,0,1	-1	fs_pg1_sf	fashi_2	2220	1	0	2002	0	-1	-1	0	200,700	-1	2	2	16	2	2500	0	10	1	0	0	-1
2230	自身增益	移速暴击	1	1	0	1	0	1	ty_fanwei	1	1	-1,-1,Attack01,-1	0,0,834,166	-1	0,0,0,0	0,0,0,1	-1	fs_pg1_sf	fashi_2	2230	1	0	-1	0	2230	0	0	200,700	-1	2	2	16	3	2000	0	10	1	0	0	-1
2240	陨石天降	一次性大伤害	1	3	20	2,360,3.5,5	EffectPrefab/SkillIndicator/Frost Nova	7	ty_fanwei	2	8	-1,-1,Attack01,-1	0,0,1334,0	-1	0,0,0,0	0,0,0,1	-1	fs_pg1_sf	fashi_2	2240	1	0	-1	0	-1	0	0	200,700	-1	2	2	16	4	1000	0	10	1	0	0	-1
2320	群体净化	群体净化免伤	1	1	0	1	0	0	ty_fanwei	1	0	-1,-1,Attack01,-1	0,0,667,334	21	0,0,0,0	0,0,0,1	-1	fs_pg1_sf	fashi_2	2320	1	0	-1	0	-1	0	0	200,700	-1	2	2	16	2	2000	0	10	1	0	0	-1
2330	群体恢复	群加血	1	1	0	1	0	1	ty_fanwei	1	1	-1,-1,Attack01,-1	0,0,1000,367	-1	0,0,0,0	0,0,0,1	-1	fs_pg1_sf	fashi_2	2330	1	0	-1	0	2330	0	0	200,700	-1	2	2	16	3	2000	0	10	1	0	0	-1
2900	通用跳跃-战士	通用跳跃	1	3	0	2,360,7,1	EffectPrefab/SkillIndicator/Frost Nova	7	7	1	7	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	-1	4	0	-1	0	-1	-1	0	0	-1	2	2	16	1	1500	0	10	1	0	0	-1
3000	枪手普攻1	普攻	1	2	0	3,1,1,1	0	7	ty_fanwei	2	8	-1,-1,Attack01,-1	0,0,400,434	200	0,0,0,0	0,0,0,1	-1	fs_pg1_sf	fashi_pugong	-1	1	0	3001	0	-1	3001	1500	200,700	-1	3	1	1	0	0	0	0	0	0	0	-1
3001	枪手普攻2	普攻	1	2	0	3,1,1,1	0	7	ty_fanwei	2	8	-1,-1,Attack02,-1	0,0,500,567	201	0,0,0,0	0,0,0,1	-1	zs_pg2_sf	fashi_pugong	-1	1	0	3002	0	-1	3002	1500	200,700	-1	3	1	1	0	0	0	0	0	0	0	-1
3002	枪手普攻3	普攻	1	2	0	3,1,1,1	0	7	ty_fanwei	2	8	-1,-1,Attack03,-1	0,0,534,567	202	0,0,0,0	0,0,0,1	-1	zs_pg3_sf	fashi_pugong	-1	1	0	3003	0	-1	-1	0	200,700	-1	3	1	1	0	0	0	0	0	0	0	-1
3010	扫射	身前范围伤害	1	2	0	2,90,8,5	EffectPrefab/SkillIndicator/Frost Blast	8	ty_fanwei	2	8	-1,-1,Skill01,-1	0,0,1000,334	207,208,209	0,0,0,0	0,0,0,1	-1	zs_hzqj_sf	zhanshi_1	3010	1	0	-1	0	-1	-1	0	500,1000	-1	3	2	1	1	500	0	10	1	0	0	-1
3020	贯穿	直线物理伤害	1	2	0	3,5,3,9	EffectPrefab/SkillIndicator/Dragon Arrow	9	ty_fanwei	2	9	-1,-1,Skill01,-1	0,0,667,600	210,211,212	0,0,0,0	0,0,0,1	-1	fs_lsgx_sf	zhanshi_2	3020	1	0	-1	0	-1	-1	0	200,880	-1	3	2	1	2	1000	0	10	1	0	0	-1
3030	翻滚	位移+未实现的强化	1	2	0	3,2,3,6	EffectPrefab/SkillIndicator/Dragon Arrow	6	ty_fanwei	1	9	Skill03a,Skill03b,Skill03c,-1	334,0,334,400	213	0,0,0,0	0,0,0,1	-1	zs_tyz_sf	zhanshi_3	3030	4	0	-1	0	-1	-1	0	600,1330	-1	3	2	6	3	2000	0	10	1	0	0	-1
3040	弹雨	一次性大伤害	1	3	223	2,360,3.5,5	EffectPrefab/SkillIndicator/Frost Nova	7	ty_fanwei	2	7	-1,-1,Attack01,-1	0,0,1767,600	220,221,222,224,225,226,227	0,0,0,0	0,0,0,1	-1	fs_pg1_sf	zhanshi_3	3040	1	0	-1	0	-1	-1	0	200,700	-1	3	2	8	4	2000	0	10	1	0	0	-1
3140	弹幕	持续伤害	1	2	0	2,360,5,5	0	5	ty_fanwei	2	5	-1,-1,Attack01,-1	0,0,1667,167	216,217,218,219	0,0,0,0	0,0,0,1	-1	fs_pg1_sf	zhanshi_3	3050	1	0	-1	0	-1	-1	0	200,700	-1	3	2	10	4	2000	0	10	1	0	0	-1
3900	通用跳跃-枪手	通用跳跃	1	2	0	2,360,7,1	EffectPrefab/SkillIndicator/Frost Nova	7	7	1	7	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	-1	4	0	-1	0	-1	-1	0	0	-1	3	2	1	1	1500	0	10	1	0	0	-1
4000	枪手普攻1	基础攻击	1	2	0	2,90,2,5	0	2	ty_fanwei	2	3	-1,-1,Attack01,-1	0,0,500,500	100	0,0,0,0	0,0,0,1	-1	zs_pg1_sf	zhanshi_pugong	1000	1	0	-1	0	-1	1001	1500	300,500	-1	4	1	1	0	0	0	10	1	0	0	-1
4001	枪手普攻2	基础攻击	1	2	0	2,90,2,5	0	2	ty_fanwei	2	3	-1,-1,Attack02,-1	0,0,330,660	101	0,0,0,0	0,0,0,1	-1	zs_pg2_sf	zhanshi_pugong	1001	1	0	-1	0	-1	1002	1500	100,330	-1	4	1	1	0	0	0	10	1	0	0	-1
4002	枪手普攻3	基础攻击	1	2	0	2,90,2,5	0	2	ty_fanwei	2	3	-1,-1,Attack03,-1	0,0,1000,660	102	0,0,0,0	0,0,0,1	-1	zs_pg3_sf	zhanshi_pugong	1002	1	0	-1	0	-1	-1	0	300,660	-1	4	1	1	0	0	0	10	1	0	0	-1
4010	横扫千军	身前范围伤害	1	3	0	2,180,4,5	ty_shanxing	4	ty_fanwei	2	6	-1,-1,Skill01,-1	0,0,1000,500	104,105	0,0,0,0	0,0,0,1	-1	zs_hzqj_sf	zhanshi_1	1010	1	0	-1	0	-1	-1	0	500,1000	-1	4	2	1	1	500	0	10	1	0	0	-1
4020	战意冲击	范围嘲讽	1	2	0	2,360,3.5,5	0	7	ty_fanwei	1	8	-1,-1,Skill02,-1	0,0,1000,1000	106	0,0,0,0	0,0,0,1	-1	zs_zycj_sf	zhanshi_2	1020	1	0	-1	0	-1	-1	0	500,1000	-1	4	2	1	2	1000	0	10	1	0	0	-1
4030	跳跃斩	锁定伤害+眩晕	1	2	0	3,5,3,5	0	8	ty_fanwei	2	9	Skill03a,Skill03b,Skill03c,-1	360,100,660,700	107,108	0,0,0,0	0,0,0,1	-1	zs_tyz_sf	zhanshi_3	1030	4	0	-1	0	-1	-1	0	600,1330	-1	4	2	6	3	2000	0	10	1	0	0	-1
4040	无影剑气	快速连续攻击	1	2	0	2,120,7,5	zs_wyj	7	ty_fanwei	2	8	-1,-1,Skill04,-1	160,0,1330,1200	109	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	1040	1	0	-1	0	-1	-1	0	700,1490	-1	4	2	8	4	2000	0	10	1	0	0	-1
4050	冲刺	冲刺(无锁定)	1	2	0	3,1,1,1	ty_xiaoyuan	6	ty_fanwei	2	7	-1,-1,Skill03b,-1	0,0,1000,0	-1	0,0,0,0	0,0,0,0	-1	fs_cx_sf	fashi_4	4050	4	0	-1	0	-1	-1	0	0	-1	1	2	1	3	500	0	10	1	0	0	-1
4900	通用跳跃-刺客	通用跳跃	1	2	0	2,360,7,1	EffectPrefab/SkillIndicator/Frost Nova	7	7	1	7	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	-1	4	0	-1	0	-1	-1	0	0	-1	4	2	1	1	1500	0	10	1	0	0	-1
7030	跳跃	跳跃(无锁定)	1	2	7	2,360,3.5,5	ty_xiaoyuan	6	ty_fanwei	2	7	-1,-1,Skill04,-1	0,0,500,0	-1	0,0,0,0	0,0,0,0	-1	fs_cx_sf	fashi_4	7030	5	0	-1	0	-1	-1	0	0	-1	1	2	18	3	1000	0	10	1	0	0	-1
10000	冰甲	测试技能	1	2	0	2,360,8,8	0	8	ty_fanwei	1	9	-1,-1,Attack01,-1	150,0,700,150	9	0,0,0,0	0,0,0,1	-1	fs_cx_sf	zhanshi_1	-1	1	0	10000,10001	0	-1	-1	0	500,850	-1	2	2	18	1	0	0	10	1	0	0	-1
20000	测试技能	万分比减速	1	2	0	2,90,2,5	0	2	ty_fanwei	2	3	-1,-1,Attack01,-1	0,0,500,500	100	0,0,0,0	0,0,0,1	-1	zs_pg1_sf	zhanshi_1	20000	1	0	-1	0	-1	1001	1500	300,500	-1	1	2	18	1	0	0	0	0	0	0	-1
20001	测试技能	固定减速	1	2	0	2,90,2,5	0	2	ty_fanwei	2	3	-1,-1,Attack01,-1	0,0,500,500	100	0,0,0,0	0,0,0,1	-1	zs_pg1_sf	zhanshi_1	20001	1	0	-1	0	-1	1001	1500	300,500	-1	1	2	18	1	0	0	0	0	0	0	-1
20002	测试技能	不能使用技能	1	2	0	2,90,2,5	0	2	ty_fanwei	2	3	-1,-1,Attack01,-1	0,0,500,500	100	0,0,0,0	0,0,0,1	-1	zs_pg1_sf	zhanshi_1	20002	1	0	-1	0	-1	1001	1500	300,500	-1	1	2	18	2	0	0	0	0	0	0	-1
20003	测试技能	不能使用物品	1	2	0	2,90,2,5	0	2	ty_fanwei	2	3	-1,-1,Attack01,-1	0,0,500,500	100	0,0,0,0	0,0,0,1	-1	zs_pg1_sf	zhanshi_1	20003	1	0	-1	0	-1	1001	1500	300,500	-1	1	2	18	2	0	0	0	0	0	0	-1
20004	测试技能	不能传送	1	2	0	2,90,2,5	0	2	ty_fanwei	2	3	-1,-1,Attack01,-1	0,0,500,500	100	0,0,0,0	0,0,0,1	-1	zs_pg1_sf	zhanshi_1	20004	1	0	-1	0	-1	1001	1500	300,500	-1	1	2	18	3	0	0	0	0	0	0	-1
20005	测试技能	不能移动	1	2	0	2,90,2,5	0	2	ty_fanwei	2	3	-1,-1,Attack01,-1	0,0,500,500	100	0,0,0,0	0,0,0,1	-1	zs_pg1_sf	zhanshi_1	20005	1	0	-1	0	-1	1001	1500	300,500	-1	1	2	18	3	0	0	0	0	0	0	-1
20006	测试技能	都不能	1	2	0	2,90,2,5	0	2	ty_fanwei	2	3	-1,-1,Attack01,-1	0,0,500,500	100	0,0,0,0	0,0,0,1	-1	zs_pg1_sf	zhanshi_1	20006	1	0	-1	0	-1	1001	1500	300,500	-1	1	2	18	4	0	0	0	0	0	0	-1
20007	测试技能	攻击别人时自己加属性	1	2	0	2,90,2,5	0	2	ty_fanwei	2	3	-1,-1,Attack01,-1	0,0,500,500	100	0,0,0,0	0,0,0,1	-1	zs_pg1_sf	zhanshi_1	20007	1	0	-1	0	-1	1001	1500	300,500	-1	1	2	18	4	0	0	0	0	0	0	-1
20008	测试技能	攻击别人给自己加冰甲，受到攻击时给别人减速，自己加防御	1	2	0	2,90,2,5	0	2	ty_fanwei	2	3	-1,-1,Attack01,-1	0,0,500,500	100	0,0,0,0	0,0,0,1	-1	zs_pg1_sf	zhanshi_1	20008	1	0	-1	0	-1	1001	1500	300,500	-1	1	2	18	4	0	0	0	0	0	0	-1
30001	测试-战士被动1	攻击触发灼烧	2	1	0	0	0	1	0	1	1	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	1050	1	0	-1	0	30001	-1	0	0	-1	1	2	18	5	0	0	0	0	0	0	-1
30002	测试-战士被动2	额外加成	2	1	0	0	0	1	0	1	1	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	1050	1	0	-1	0	30002	-1	0	0	-1	1	2	18	5	0	0	0	0	0	0	-1
30003	测试-战士被动3	灼烧	2	1	0	0	0	1	0	1	1	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	1050	1	0	-1	0	30003	-1	0	0	-1	1	2	18	5	0	0	0	0	0	0	-1
30004	测试-战士被动4	反伤	2	1	0	0	0	1	0	1	1	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	1050	1	0	-1	0	30004	-1	0	0	-1	1	2	18	5	0	0	0	0	0	0	-1
30005	测试-战士被动5	攻击触反伤	2	1	0	0	0	1	0	1	1	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	1050	1	0	-1	0	30005	-1	0	0	-1	1	2	18	5	0	0	0	0	0	0	-1
30006	测试-战士被动6	60%触发无敌	2	1	0	0	0	1	0	1	1	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	1050	1	0	-1	0	30006	-1	0	0	-1	1	2	18	5	0	0	0	0	0	0	-1
30007	测试-战士被动7	每击中3目标霸体	2	1	0	0	0	1	0	1	1	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	1050	1	0	-1	0	30007	-1	0	0	-1	1	2	18	5	0	0	0	0	0	0	-1
30008	测试-战士被动8	攻击间隔30触发物免	2	1	0	0	0	1	0	1	1	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	1050	1	0	-1	0	30008	-1	0	0	-1	1	2	18	5	0	0	0	0	0	0	-1
30101	测试-法师被动1	伤害超过当前1%触发隐身	2	1	0	0	0	1	0	1	1	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	1050	1	0	-1	0	30101	-1	0	0	-1	2	2	18	5	0	0	0	0	0	0	-1
30102	测试-法师被动2	没损失2%，降低技能CD	2	1	0	0	0	1	0	1	1	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	1050	1	0	-1	0	30102	-1	0	0	-1	2	2	18	5	0	0	0	0	0	0	-1
30103	测试-法师被动3	没损失1%，触发加血	2	1	0	0	0	1	0	1	1	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	1050	1	0	-1	0	30103	-1	0	0	-1	2	2	18	5	0	0	0	0	0	0	-1
30104	测试-法师被动4	60%触发属性转化	2	1	0	0	0	1	0	1	1	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	1050	1	0	-1	0	30104	-1	0	0	-1	2	2	18	5	0	0	0	0	0	0	-1
