ID	UpgradeCost	Property	UpgradeCost1	Property1	UpgradeCost2	Property2	UpgradeCost3	Property3	UpgradeCost4	Property4	UpgradeCost5	Property5
7	4,3400	{1,1,112},{1,14,6},{2,1,79},{2,14,3},{3,1,112},{3,14,6},{4,1,101},{4,14,3}	4,3400	{1,3,23},{1,7,9},{2,4,28},{2,8,14},{3,3,28},{3,7,12},{4,3,28},{4,7,14}	4,3400	{1,5,28},{1,6,28},{2,5,23},{2,6,23},{3,5,23},{3,6,17},{4,5,26},{4,6,23}	4,3400	{1,11,9},{1,13,14},{2,11,9},{2,13,9},{3,11,14},{3,13,9},{4,11,14},{4,13,12}	4,3400	{1,9,9},{1,19,9},{2,10,14},{2,19,14},{3,9,14},{3,19,12},{4,9,12},{4,19,12}	4,3400	{1,2,40},{1,15,6},{2,2,56},{2,15,12},{3,2,40},{3,15,6},{4,2,45},{4,15,6}
8	4,3800	{1,1,128},{1,14,7},{2,1,90},{2,14,4},{3,1,128},{3,14,7},{4,1,116},{4,14,4}	4,3800	{1,3,26},{1,7,10},{2,4,32},{2,8,16},{3,3,32},{3,7,13},{4,3,32},{4,7,16}	4,3800	{1,5,32},{1,6,32},{2,5,26},{2,6,26},{3,5,26},{3,6,20},{4,5,29},{4,6,26}	4,3800	{1,11,10},{1,13,16},{2,11,10},{2,13,10},{3,11,16},{3,13,10},{4,11,16},{4,13,13}	4,3800	{1,9,10},{1,19,10},{2,10,16},{2,19,16},{3,9,16},{3,19,13},{4,9,13},{4,19,13}	4,3800	{1,2,45},{1,15,7},{2,2,64},{2,15,13},{3,2,45},{3,15,7},{4,2,52},{4,15,7}
9	4,4200	{1,1,144},{1,14,8},{2,1,101},{2,14,4},{3,1,144},{3,14,8},{4,1,130},{4,14,4}	4,4200	{1,3,29},{1,7,11},{2,4,36},{2,8,18},{3,3,36},{3,7,15},{4,3,36},{4,7,18}	4,4200	{1,5,36},{1,6,36},{2,5,29},{2,6,29},{3,5,29},{3,6,22},{4,5,33},{4,6,29}	4,4200	{1,11,11},{1,13,18},{2,11,11},{2,13,11},{3,11,18},{3,13,11},{4,11,18},{4,13,15}	4,4200	{1,9,11},{1,19,11},{2,10,18},{2,19,18},{3,9,18},{3,19,15},{4,9,15},{4,19,15}	4,4200	{1,2,51},{1,15,8},{2,2,72},{2,15,15},{3,2,51},{3,15,8},{4,2,58},{4,15,8}
10	4,4600	{1,1,160},{1,14,8},{2,1,112},{2,14,4},{3,1,160},{3,14,8},{4,1,144},{4,14,4}	4,4600	{1,3,32},{1,7,12},{2,4,40},{2,8,20},{3,3,40},{3,7,16},{4,3,40},{4,7,20}	4,4600	{1,5,40},{1,6,40},{2,5,32},{2,6,32},{3,5,32},{3,6,24},{4,5,36},{4,6,32}	4,4600	{1,11,12},{1,13,20},{2,11,12},{2,13,12},{3,11,20},{3,13,12},{4,11,20},{4,13,16}	4,4600	{1,9,12},{1,19,12},{2,10,20},{2,19,20},{3,9,20},{3,19,16},{4,9,16},{4,19,16}	4,4600	{1,2,56},{1,15,8},{2,2,80},{2,15,16},{3,2,56},{3,15,8},{4,2,64},{4,15,8}
11	4,5000	{1,1,176},{1,14,9},{2,1,124},{2,14,5},{3,1,176},{3,14,9},{4,1,159},{4,14,5}	4,5000	{1,3,36},{1,7,14},{2,4,44},{2,8,22},{3,3,44},{3,7,18},{4,3,44},{4,7,22}	4,5000	{1,5,44},{1,6,44},{2,5,36},{2,6,36},{3,5,36},{3,6,27},{4,5,40},{4,6,36}	4,5000	{1,11,14},{1,13,22},{2,11,14},{2,13,14},{3,11,22},{3,13,14},{4,11,22},{4,13,18}	4,5000	{1,9,14},{1,19,14},{2,10,22},{2,19,22},{3,9,22},{3,19,18},{4,9,18},{4,19,18}	4,5000	{1,2,62},{1,15,9},{2,2,88},{2,15,18},{3,2,62},{3,15,9},{4,2,71},{4,15,9}
12	4,5600	{1,1,192},{1,14,10},{2,1,135},{2,14,5},{3,1,192},{3,14,10},{4,1,173},{4,14,5}	4,5600	{1,3,39},{1,7,15},{2,4,48},{2,8,24},{3,3,48},{3,7,20},{4,3,48},{4,7,24}	4,5600	{1,5,48},{1,6,48},{2,5,39},{2,6,39},{3,5,39},{3,6,29},{4,5,44},{4,6,39}	4,5600	{1,11,15},{1,13,24},{2,11,15},{2,13,15},{3,11,24},{3,13,15},{4,11,24},{4,13,20}	4,5600	{1,9,15},{1,19,15},{2,10,24},{2,19,24},{3,9,24},{3,19,20},{4,9,20},{4,19,20}	4,5600	{1,2,68},{1,15,10},{2,2,96},{2,15,20},{3,2,68},{3,15,10},{4,2,77},{4,15,10}
13	4,6200	{1,1,208},{1,14,11},{2,1,146},{2,14,6},{3,1,208},{3,14,11},{4,1,188},{4,14,6}	4,6200	{1,3,42},{1,7,16},{2,4,52},{2,8,26},{3,3,52},{3,7,21},{4,3,52},{4,7,26}	4,6200	{1,5,52},{1,6,52},{2,5,42},{2,6,42},{3,5,42},{3,6,32},{4,5,47},{4,6,42}	4,6200	{1,11,16},{1,13,26},{2,11,16},{2,13,16},{3,11,26},{3,13,16},{4,11,26},{4,13,21}	4,6200	{1,9,16},{1,19,16},{2,10,26},{2,19,26},{3,9,26},{3,19,21},{4,9,21},{4,19,21}	4,6200	{1,2,73},{1,15,11},{2,2,104},{2,15,21},{3,2,73},{3,15,11},{4,2,84},{4,15,11}
14	4,6800	{1,1,224},{1,14,12},{2,1,157},{2,14,6},{3,1,224},{3,14,12},{4,1,202},{4,14,6}	4,6800	{1,3,45},{1,7,17},{2,4,56},{2,8,28},{3,3,56},{3,7,23},{4,3,56},{4,7,28}	4,6800	{1,5,56},{1,6,56},{2,5,45},{2,6,45},{3,5,45},{3,6,34},{4,5,51},{4,6,45}	4,6800	{1,11,17},{1,13,28},{2,11,17},{2,13,17},{3,11,28},{3,13,17},{4,11,28},{4,13,23}	4,6800	{1,9,17},{1,19,17},{2,10,28},{2,19,28},{3,9,28},{3,19,23},{4,9,23},{4,19,23}	4,6800	{1,2,79},{1,15,12},{2,2,112},{2,15,23},{3,2,79},{3,15,12},{4,2,90},{4,15,12}
15	4,7400	{1,1,240},{1,14,12},{2,1,168},{2,14,6},{3,1,240},{3,14,12},{4,1,216},{4,14,6}	4,7400	{1,3,48},{1,7,18},{2,4,60},{2,8,30},{3,3,60},{3,7,24},{4,3,60},{4,7,30}	4,7400	{1,5,60},{1,6,60},{2,5,48},{2,6,48},{3,5,48},{3,6,36},{4,5,54},{4,6,48}	4,7400	{1,11,18},{1,13,30},{2,11,18},{2,13,18},{3,11,30},{3,13,18},{4,11,30},{4,13,24}	4,7400	{1,9,18},{1,19,18},{2,10,30},{2,19,30},{3,9,30},{3,19,24},{4,9,24},{4,19,24}	4,7400	{1,2,84},{1,15,12},{2,2,120},{2,15,24},{3,2,84},{3,15,12},{4,2,96},{4,15,12}
16	4,8200	{1,1,256},{1,14,13},{2,1,180},{2,14,7},{3,1,256},{3,14,13},{4,1,231},{4,14,7}	4,8200	{1,3,52},{1,7,20},{2,4,64},{2,8,32},{3,3,64},{3,7,26},{4,3,64},{4,7,32}	4,8200	{1,5,64},{1,6,64},{2,5,52},{2,6,52},{3,5,52},{3,6,39},{4,5,58},{4,6,52}	4,8200	{1,11,20},{1,13,32},{2,11,20},{2,13,20},{3,11,32},{3,13,20},{4,11,32},{4,13,26}	4,8200	{1,9,20},{1,19,20},{2,10,32},{2,19,32},{3,9,32},{3,19,26},{4,9,26},{4,19,26}	4,8200	{1,2,90},{1,15,13},{2,2,128},{2,15,26},{3,2,90},{3,15,13},{4,2,103},{4,15,13}
17	4,9000	{1,1,272},{1,14,14},{2,1,191},{2,14,7},{3,1,272},{3,14,14},{4,1,245},{4,14,7}	4,9000	{1,3,55},{1,7,21},{2,4,68},{2,8,34},{3,3,68},{3,7,28},{4,3,68},{4,7,34}	4,9000	{1,5,68},{1,6,68},{2,5,55},{2,6,55},{3,5,55},{3,6,41},{4,5,62},{4,6,55}	4,9000	{1,11,21},{1,13,34},{2,11,21},{2,13,21},{3,11,34},{3,13,21},{4,11,34},{4,13,28}	4,9000	{1,9,21},{1,19,21},{2,10,34},{2,19,34},{3,9,34},{3,19,28},{4,9,28},{4,19,28}	4,9000	{1,2,96},{1,15,14},{2,2,136},{2,15,28},{3,2,96},{3,15,14},{4,2,109},{4,15,14}
18	4,10000	{1,1,288},{1,14,15},{2,1,202},{2,14,8},{3,1,288},{3,14,15},{4,1,260},{4,14,8}	4,10000	{1,3,58},{1,7,22},{2,4,72},{2,8,36},{3,3,72},{3,7,29},{4,3,72},{4,7,36}	4,10000	{1,5,72},{1,6,72},{2,5,58},{2,6,58},{3,5,58},{3,6,44},{4,5,65},{4,6,58}	4,10000	{1,11,22},{1,13,36},{2,11,22},{2,13,22},{3,11,36},{3,13,22},{4,11,36},{4,13,29}	4,10000	{1,9,22},{1,19,22},{2,10,36},{2,19,36},{3,9,36},{3,19,29},{4,9,29},{4,19,29}	4,10000	{1,2,101},{1,15,15},{2,2,144},{2,15,29},{3,2,101},{3,15,15},{4,2,116},{4,15,15}
19	4,11000	{1,1,304},{1,14,16},{2,1,213},{2,14,8},{3,1,304},{3,14,16},{4,1,274},{4,14,8}	4,11000	{1,3,61},{1,7,23},{2,4,76},{2,8,38},{3,3,76},{3,7,31},{4,3,76},{4,7,38}	4,11000	{1,5,76},{1,6,76},{2,5,61},{2,6,61},{3,5,61},{3,6,46},{4,5,69},{4,6,61}	4,11000	{1,11,23},{1,13,38},{2,11,23},{2,13,23},{3,11,38},{3,13,23},{4,11,38},{4,13,31}	4,11000	{1,9,23},{1,19,23},{2,10,38},{2,19,38},{3,9,38},{3,19,31},{4,9,31},{4,19,31}	4,11000	{1,2,107},{1,15,16},{2,2,152},{2,15,31},{3,2,107},{3,15,16},{4,2,122},{4,15,16}
20	4,12200	{1,1,320},{1,14,16},{2,1,224},{2,14,8},{3,1,320},{3,14,16},{4,1,288},{4,14,8}	4,12200	{1,3,64},{1,7,24},{2,4,80},{2,8,40},{3,3,80},{3,7,32},{4,3,80},{4,7,40}	4,12200	{1,5,80},{1,6,80},{2,5,64},{2,6,64},{3,5,64},{3,6,48},{4,5,72},{4,6,64}	4,12200	{1,11,24},{1,13,40},{2,11,24},{2,13,24},{3,11,40},{3,13,24},{4,11,40},{4,13,32}	4,12200	{1,9,24},{1,19,24},{2,10,40},{2,19,40},{3,9,40},{3,19,32},{4,9,32},{4,19,32}	4,12200	{1,2,112},{1,15,16},{2,2,160},{2,15,32},{3,2,112},{3,15,16},{4,2,128},{4,15,16}
21	4,13400	{1,1,336},{1,14,17},{2,1,236},{2,14,9},{3,1,336},{3,14,17},{4,1,303},{4,14,9}	4,13400	{1,3,68},{1,7,26},{2,4,84},{2,8,42},{3,3,84},{3,7,34},{4,3,84},{4,7,42}	4,13400	{1,5,84},{1,6,84},{2,5,68},{2,6,68},{3,5,68},{3,6,51},{4,5,76},{4,6,68}	4,13400	{1,11,26},{1,13,42},{2,11,26},{2,13,26},{3,11,42},{3,13,26},{4,11,42},{4,13,34}	4,13400	{1,9,26},{1,19,26},{2,10,42},{2,19,42},{3,9,42},{3,19,34},{4,9,34},{4,19,34}	4,13400	{1,2,118},{1,15,17},{2,2,168},{2,15,34},{3,2,118},{3,15,17},{4,2,135},{4,15,17}
22	4,14800	{1,1,352},{1,14,18},{2,1,247},{2,14,9},{3,1,352},{3,14,18},{4,1,317},{4,14,9}	4,14800	{1,3,71},{1,7,27},{2,4,88},{2,8,44},{3,3,88},{3,7,36},{4,3,88},{4,7,44}	4,14800	{1,5,88},{1,6,88},{2,5,71},{2,6,71},{3,5,71},{3,6,53},{4,5,80},{4,6,71}	4,14800	{1,11,27},{1,13,44},{2,11,27},{2,13,27},{3,11,44},{3,13,27},{4,11,44},{4,13,36}	4,14800	{1,9,27},{1,19,27},{2,10,44},{2,19,44},{3,9,44},{3,19,36},{4,9,36},{4,19,36}	4,14800	{1,2,124},{1,15,18},{2,2,176},{2,15,36},{3,2,124},{3,15,18},{4,2,141},{4,15,18}
23	4,16200	{1,1,368},{1,14,19},{2,1,258},{2,14,10},{3,1,368},{3,14,19},{4,1,332},{4,14,10}	4,16200	{1,3,74},{1,7,28},{2,4,92},{2,8,46},{3,3,92},{3,7,37},{4,3,92},{4,7,46}	4,16200	{1,5,92},{1,6,92},{2,5,74},{2,6,74},{3,5,74},{3,6,56},{4,5,83},{4,6,74}	4,16200	{1,11,28},{1,13,46},{2,11,28},{2,13,28},{3,11,46},{3,13,28},{4,11,46},{4,13,37}	4,16200	{1,9,28},{1,19,28},{2,10,46},{2,19,46},{3,9,46},{3,19,37},{4,9,37},{4,19,37}	4,16200	{1,2,129},{1,15,19},{2,2,184},{2,15,37},{3,2,129},{3,15,19},{4,2,148},{4,15,19}
24	4,17800	{1,1,384},{1,14,20},{2,1,269},{2,14,10},{3,1,384},{3,14,20},{4,1,346},{4,14,10}	4,17800	{1,3,77},{1,7,29},{2,4,96},{2,8,48},{3,3,96},{3,7,39},{4,3,96},{4,7,48}	4,17800	{1,5,96},{1,6,96},{2,5,77},{2,6,77},{3,5,77},{3,6,58},{4,5,87},{4,6,77}	4,17800	{1,11,29},{1,13,48},{2,11,29},{2,13,29},{3,11,48},{3,13,29},{4,11,48},{4,13,39}	4,17800	{1,9,29},{1,19,29},{2,10,48},{2,19,48},{3,9,48},{3,19,39},{4,9,39},{4,19,39}	4,17800	{1,2,135},{1,15,20},{2,2,192},{2,15,39},{3,2,135},{3,15,20},{4,2,154},{4,15,20}
25	4,19600	{1,1,400},{1,14,20},{2,1,280},{2,14,10},{3,1,400},{3,14,20},{4,1,360},{4,14,10}	4,19600	{1,3,80},{1,7,30},{2,4,100},{2,8,50},{3,3,100},{3,7,40},{4,3,100},{4,7,50}	4,19600	{1,5,100},{1,6,100},{2,5,80},{2,6,80},{3,5,80},{3,6,60},{4,5,90},{4,6,80}	4,19600	{1,11,30},{1,13,50},{2,11,30},{2,13,30},{3,11,50},{3,13,30},{4,11,50},{4,13,40}	4,19600	{1,9,30},{1,19,30},{2,10,50},{2,19,50},{3,9,50},{3,19,40},{4,9,40},{4,19,40}	4,19600	{1,2,140},{1,15,20},{2,2,200},{2,15,40},{3,2,140},{3,15,20},{4,2,160},{4,15,20}
26	4,21600	{1,1,416},{1,14,21},{2,1,292},{2,14,11},{3,1,416},{3,14,21},{4,1,375},{4,14,11}	4,21600	{1,3,84},{1,7,32},{2,4,104},{2,8,52},{3,3,104},{3,7,42},{4,3,104},{4,7,52}	4,21600	{1,5,104},{1,6,104},{2,5,84},{2,6,84},{3,5,84},{3,6,63},{4,5,94},{4,6,84}	4,21600	{1,11,32},{1,13,52},{2,11,32},{2,13,32},{3,11,52},{3,13,32},{4,11,52},{4,13,42}	4,21600	{1,9,32},{1,19,32},{2,10,52},{2,19,52},{3,9,52},{3,19,42},{4,9,42},{4,19,42}	4,21600	{1,2,146},{1,15,21},{2,2,208},{2,15,42},{3,2,146},{3,15,21},{4,2,167},{4,15,21}
27	4,23800	{1,1,432},{1,14,22},{2,1,303},{2,14,11},{3,1,432},{3,14,22},{4,1,389},{4,14,11}	4,23800	{1,3,87},{1,7,33},{2,4,108},{2,8,54},{3,3,108},{3,7,44},{4,3,108},{4,7,54}	4,23800	{1,5,108},{1,6,108},{2,5,87},{2,6,87},{3,5,87},{3,6,65},{4,5,98},{4,6,87}	4,23800	{1,11,33},{1,13,54},{2,11,33},{2,13,33},{3,11,54},{3,13,33},{4,11,54},{4,13,44}	4,23800	{1,9,33},{1,19,33},{2,10,54},{2,19,54},{3,9,54},{3,19,44},{4,9,44},{4,19,44}	4,23800	{1,2,152},{1,15,22},{2,2,216},{2,15,44},{3,2,152},{3,15,22},{4,2,173},{4,15,22}
28	4,26200	{1,1,448},{1,14,23},{2,1,314},{2,14,12},{3,1,448},{3,14,23},{4,1,404},{4,14,12}	4,26200	{1,3,90},{1,7,34},{2,4,112},{2,8,56},{3,3,112},{3,7,45},{4,3,112},{4,7,56}	4,26200	{1,5,112},{1,6,112},{2,5,90},{2,6,90},{3,5,90},{3,6,68},{4,5,101},{4,6,90}	4,26200	{1,11,34},{1,13,56},{2,11,34},{2,13,34},{3,11,56},{3,13,34},{4,11,56},{4,13,45}	4,26200	{1,9,34},{1,19,34},{2,10,56},{2,19,56},{3,9,56},{3,19,45},{4,9,45},{4,19,45}	4,26200	{1,2,157},{1,15,23},{2,2,224},{2,15,45},{3,2,157},{3,15,23},{4,2,180},{4,15,23}
29	4,28800	{1,1,464},{1,14,24},{2,1,325},{2,14,12},{3,1,464},{3,14,24},{4,1,418},{4,14,12}	4,28800	{1,3,93},{1,7,35},{2,4,116},{2,8,58},{3,3,116},{3,7,47},{4,3,116},{4,7,58}	4,28800	{1,5,116},{1,6,116},{2,5,93},{2,6,93},{3,5,93},{3,6,70},{4,5,105},{4,6,93}	4,28800	{1,11,35},{1,13,58},{2,11,35},{2,13,35},{3,11,58},{3,13,35},{4,11,58},{4,13,47}	4,28800	{1,9,35},{1,19,35},{2,10,58},{2,19,58},{3,9,58},{3,19,47},{4,9,47},{4,19,47}	4,28800	{1,2,163},{1,15,24},{2,2,232},{2,15,47},{3,2,163},{3,15,24},{4,2,186},{4,15,24}
30	4,31600	{1,1,480},{1,14,24},{2,1,336},{2,14,12},{3,1,480},{3,14,24},{4,1,432},{4,14,12}	4,31600	{1,3,96},{1,7,36},{2,4,120},{2,8,60},{3,3,120},{3,7,48},{4,3,120},{4,7,60}	4,31600	{1,5,120},{1,6,120},{2,5,96},{2,6,96},{3,5,96},{3,6,72},{4,5,108},{4,6,96}	4,31600	{1,11,36},{1,13,60},{2,11,36},{2,13,36},{3,11,60},{3,13,36},{4,11,60},{4,13,48}	4,31600	{1,9,36},{1,19,36},{2,10,60},{2,19,60},{3,9,60},{3,19,48},{4,9,48},{4,19,48}	4,31600	{1,2,168},{1,15,24},{2,2,240},{2,15,48},{3,2,168},{3,15,24},{4,2,192},{4,15,24}
31	4,34800	{1,1,496},{1,14,25},{2,1,348},{2,14,13},{3,1,496},{3,14,25},{4,1,447},{4,14,13}	4,34800	{1,3,100},{1,7,38},{2,4,124},{2,8,62},{3,3,124},{3,7,50},{4,3,124},{4,7,62}	4,34800	{1,5,124},{1,6,124},{2,5,100},{2,6,100},{3,5,100},{3,6,75},{4,5,112},{4,6,100}	4,34800	{1,11,38},{1,13,62},{2,11,38},{2,13,38},{3,11,62},{3,13,38},{4,11,62},{4,13,50}	4,34800	{1,9,38},{1,19,38},{2,10,62},{2,19,62},{3,9,62},{3,19,50},{4,9,50},{4,19,50}	4,34800	{1,2,174},{1,15,25},{2,2,248},{2,15,50},{3,2,174},{3,15,25},{4,2,199},{4,15,25}
32	4,38200	{1,1,512},{1,14,26},{2,1,359},{2,14,13},{3,1,512},{3,14,26},{4,1,461},{4,14,13}	4,38200	{1,3,103},{1,7,39},{2,4,128},{2,8,64},{3,3,128},{3,7,52},{4,3,128},{4,7,64}	4,38200	{1,5,128},{1,6,128},{2,5,103},{2,6,103},{3,5,103},{3,6,77},{4,5,116},{4,6,103}	4,38200	{1,11,39},{1,13,64},{2,11,39},{2,13,39},{3,11,64},{3,13,39},{4,11,64},{4,13,52}	4,38200	{1,9,39},{1,19,39},{2,10,64},{2,19,64},{3,9,64},{3,19,52},{4,9,52},{4,19,52}	4,38200	{1,2,180},{1,15,26},{2,2,256},{2,15,52},{3,2,180},{3,15,26},{4,2,205},{4,15,26}
33	4,42200	{1,1,528},{1,14,27},{2,1,370},{2,14,14},{3,1,528},{3,14,27},{4,1,476},{4,14,14}	4,42200	{1,3,106},{1,7,40},{2,4,132},{2,8,66},{3,3,132},{3,7,53},{4,3,132},{4,7,66}	4,42200	{1,5,132},{1,6,132},{2,5,106},{2,6,106},{3,5,106},{3,6,80},{4,5,119},{4,6,106}	4,42200	{1,11,40},{1,13,66},{2,11,40},{2,13,40},{3,11,66},{3,13,40},{4,11,66},{4,13,53}	4,42200	{1,9,40},{1,19,40},{2,10,66},{2,19,66},{3,9,66},{3,19,53},{4,9,53},{4,19,53}	4,42200	{1,2,185},{1,15,27},{2,2,264},{2,15,53},{3,2,185},{3,15,27},{4,2,212},{4,15,27}
34	4,46400	{1,1,544},{1,14,28},{2,1,381},{2,14,14},{3,1,544},{3,14,28},{4,1,490},{4,14,14}	4,46400	{1,3,109},{1,7,41},{2,4,136},{2,8,68},{3,3,136},{3,7,55},{4,3,136},{4,7,68}	4,46400	{1,5,136},{1,6,136},{2,5,109},{2,6,109},{3,5,109},{3,6,82},{4,5,123},{4,6,109}	4,46400	{1,11,41},{1,13,68},{2,11,41},{2,13,41},{3,11,68},{3,13,41},{4,11,68},{4,13,55}	4,46400	{1,9,41},{1,19,41},{2,10,68},{2,19,68},{3,9,68},{3,19,55},{4,9,55},{4,19,55}	4,46400	{1,2,191},{1,15,28},{2,2,272},{2,15,55},{3,2,191},{3,15,28},{4,2,218},{4,15,28}
35	4,51000	{1,1,560},{1,14,28},{2,1,392},{2,14,14},{3,1,560},{3,14,28},{4,1,504},{4,14,14}	4,51000	{1,3,112},{1,7,42},{2,4,140},{2,8,70},{3,3,140},{3,7,56},{4,3,140},{4,7,70}	4,51000	{1,5,140},{1,6,140},{2,5,112},{2,6,112},{3,5,112},{3,6,84},{4,5,126},{4,6,112}	4,51000	{1,11,42},{1,13,70},{2,11,42},{2,13,42},{3,11,70},{3,13,42},{4,11,70},{4,13,56}	4,51000	{1,9,42},{1,19,42},{2,10,70},{2,19,70},{3,9,70},{3,19,56},{4,9,56},{4,19,56}	4,51000	{1,2,196},{1,15,28},{2,2,280},{2,15,56},{3,2,196},{3,15,28},{4,2,224},{4,15,28}
