ID	Effect	FightRatio	Remark1	Interface	Dec	Xianshi	upperlimit
25	MonsterGoldAdd	0	怪物金币加成	怪物金币加成	击杀怪物时奖励的金币额外获得百分比	0	10000
26	MonsterExpAdd	0	怪物经验加成	怪物经验加成	击杀怪物时奖励的经验额外获得百分比	0	10000
27	ActivityGoldAdd	0	活动金币加成	活动金币加成	完成活动副本时奖励的金币额外获得百分比	0	10000
28	ActivityExpAdd	0	活动经验加成	活动经验加成	完成活动副本时奖励的经验额外获得百分比	0	1000
100	BagMax	0	背包格子	背包格子	背包格子	0	-1
101	Level	0	等级	等级	等级	0	-1
102	EXP	0	经验	经验	经验	0	-1
103	Sliver	0	银币	银币	银币	0	-1
104	Gold	0	金币	金币	金币	0	-1
105	TaskID	0	任务ID	任务ID	任务ID	0	-1
106	Name	0	角色名	角色名		0	-1
107	Sex	0	性别	性别		0	-1
108	Race	0	种族	种族		0	-1
109	Camp	0	阵营	阵营		0	-1
110	HomeSceneID	0	玩家下线的时候需要保存上次在线的场景(主城场景)	玩家下线的时候需要保存上次在线的场景(主城场景)		0	-1
111	Level	0	等级	等级		0	-1
112	ShowName	0	显示的名字	显示的名字		0	-1
113	CharType	0	角色类型	角色类型		0	-1
114	Job	0	职业	职业		0	-1
115	VIPLevel	0	经验获得,如果是怪物，则是掉落经验	经验获得,如果是怪物，则是掉落经验		0	-1
116	VipExp	0	VIP经验	VIP经验		0	-1
117	Exp	0	经验获得,如果是怪物，则是掉落经验	经验获得,如果是怪物，则是掉落经验		0	-1
118	HP	0	生命值	生命值		0	-1
119	SP	0	体力	体力		0	-1
120	MP	0	法力值	法力值		0	-1
121	Coin	0	金币	金币		0	-1
122	BindVcoin	0	绑定元宝	绑定元宝		0	-1
123	Vcoin	0	元宝	元宝		0	-1
124	Diamond	0	钻石	钻石		0	-1
125	Account	0	玩家的帐号	玩家的帐号		0	-1
126	ConnectKey	0	玩家连接服务器的KEY	玩家连接服务器的KEY		0	-1
127	ATK_PVP	0	PVP攻击力	PVP攻击力		0	-1
128	DEF_PVP	0	PVP防御力	PVP防御力		0	-1
129	OnlineCount	0	上线次数	上线次数		0	-1
130	TotalTime	0	在线时间	在线时间		0	-1
131	LastOfflineTime	0	上次下线时间	上次下线时间		0	-1
132	OnlineTime	0	本次上线时间	本次上线时间		0	-1
133	TotalLineTime	0	今日在线时长{截至至本次上线时间}	今日在线时长{截至至本次上线时间}		0	-1
134	GMLevel	0	GM等级	GM等级		0	-1
135	GameID	0	登陆的服ID	登陆的服ID		0	-1
136	GateID	0	登陆的网关ID	登陆的网关ID		0	-1
137	GuildID	0	公会ID	公会ID		0	-1
138	TeamID	0	所在队伍ID	所在队伍ID		0	-1
139	ViewOppnent	0	when searching	when searching		0	-1
140	FightOppnent	0	pvp_oppnent	pvp_oppnent		0	-1
141	CompleteTask	0	完成任务列表	完成任务列表		0	-1
142	Combat	0	战斗力	战斗力		0	-1
143	RandomSeed	0	随机种子数	随机种子数		0	-1
144	State	0	玩家状态	玩家状态		0	-1
145	IntensifySuit	0	装备强化等级套装索引	装备强化等级套装索引		0	-1
146	SkillCommendId	0	当前激活推荐技能id	当前激活推荐技能id		0	-1
147	TaskSort	0	任务序列	任务序列		0	-1
148	IsCaptain	0	是否队长标记	是否队长标记		0	-1
149	HomePosition	0	主城场景坐标	主城场景坐标		0	-1
150	HomeDirection	0	主城场景朝向	主城场景朝向		0	-1
151	NowDirection	0	现在场景朝向	现在场景朝向		0	-1
152	TotalDailyTask	0	日常任务完成次数	日常任务完成次数		0	-1
153	SaveTime	0	上次数据保存时间	上次数据保存时间		0	-1
154	DieTime	0	玩家上一次死亡时间	玩家上一次死亡时间		0	-1
155	KillerName	0	杀死改玩家的角色名称	杀死改玩家的角色名称		0	-1
156	HeartTime	0	接收到心跳的时间	接收到心跳的时间		0	-1
157	SUCKBLOOD	0	吸(待留)	吸(待留)		0	-1
158	REFLECTDAMAGE	0	反伤(待留)	反伤(待留)		0	-1
159	SPRegen	0	体力回复	体力回复		0	-1
160	MoveSpeed	0	移动速度,默认单位是10000=1米	移动速度,默认单位是10000=1米		0	-1
161	AttackSpeed	0	攻击速度默认10000	攻击速度默认10000		0	-1
162	AttackDistance	0	攻击距离	攻击距离		0	-1
163	TotalCall	0	抽卡次数	抽卡次数		0	-1
164	TotalCallFree	0	免费抽卡次数	免费抽卡次数		0	-1
165	CallNextTm	0	下一次抽卡时间	下一次抽卡时间		0	-1
166	CardIds	0	卡片ID	卡片ID		0	-1
167	CardChips	0	碎片	碎片		0	-1
168	CardGroup	0	助战方案(index,id)	助战方案(index,id)		0	-1
169	ActivationAssist	0	激活助战方案id	激活助战方案id		0	-1
