ID	Word	Type
409	回良玉	3
410	曾培炎	3
411	曹刚川	3
412	唐家璇	3
413	华建敏	3
414	陈至立	3
415	陈良宇	3
416	张德江	3
417	张立昌	3
418	张德江	3
419	俞正声	3
420	刘云山	3
421	岐山	3
422	张高丽	3
423	王乐泉	3
424	刘云山	3
425	王刚	3
426	王兆国	3
427	刘淇	3
428	贺国强	3
429	郭伯雄	3
430	耀邦	3
431	王乐泉	3
432	王兆国	3
433	李登辉	3
434	连战	3
435	水扁	3
436	宋楚瑜	3
437	吕秀莲	3
438	郁慕明	3
439	介石	3
440	中正	3
441	经国	3
442	英九	3
443	近平	3
444	克强	3
445	帮国	3
446	邦国	3
447	无帮过	3
448	假庆林	3
449	甲庆林	3
450	假青林	3
451	离长春	3
452	李磕墙	3
453	贺过墙	3
454	和锅枪	3
455	永康	3
456	周健康	3
457	粥健康	3
458	周小康	3
459	李肇星务	3
460	国务	3
461	委员	3
462	发改委	3
463	发展与改革委员会	3
464	熙来	3
465	温家饱	3
466	温假饱	3
467	胡惊涛	3
468	习仲勋	3
469	华国锋	3
470	彭丽媛	3
471	新闻出版	3
472	布什	3
473	布莱尔	3
474	小泉	3
475	纯一郎	3
476	萨马兰奇	3
477	安南	3
478	阿拉法特	3
479	普京	3
480	默克尔	3
481	克林顿	3
482	里根	3
483	尼克松	3
484	林肯	3
485	杜鲁门	3
486	赫鲁晓夫	3
487	列宁	3
488	斯大林	3
489	马克思	3
490	恩格斯	3
491	金正日	3
492	金日成	3
493	萨达姆	3
494	胡志明	3
495	西哈努克	3
496	希拉克	3
497	撒切尔	3
498	阿罗约	3
499	曼德拉	3
500	卡斯特罗	3
501	富兰克林	3
502	华盛顿	3
503	艾森豪威尔	3
504	拿破仑	3
505	亚历山大	3
506	路易	3
507	拉姆斯菲尔德	3
508	劳拉	3
509	鲍威尔	3
510	奥巴马	3
511	本拉登	3
512	奥马尔	3
513	柴玲	3
514	达赖喇嘛	3
515	江青	3
516	张春桥	3
517	姚文元	3
518	王洪文	3
519	东条英机	3
520	希特勒	3
521	墨索里尼	3
522	冈村秀树	3
523	冈村宁次	3
524	高丽朴	3
525	赵紫阳	3
526	王丹	3
527	沃尔开西	3
528	李洪志	3
529	李大师	3
530	赖昌星	3
531	马加爵	3
532	班禅	3
533	额尔德尼	3
534	山本五十六	3
535	阿扁	3
536	阿扁万岁	3
537	热那亚	3
538	热比娅	3
539	尖阁列岛	3
540	实际神	3
541	东方闪电	3
542	全能神	3
543	安倍晋三	3
544	金正恩	3
545	恐怖组织	3
546	买毒品	3
547	卖毒品	3
548	茉莉花	3
549	钓鱼岛	3
550	钓鱼岛不属于中国	3
551	突尼斯	3
552	西藏314事件	3
553	新疆7.5事件	3
554	新疆国	3
555	党中央	3
556	新闻管制	3
557	一边一国	3
558	两国论	3
559	分裂中国	3
560	革命	3
561	茉莉花	3
562	突尼斯	3
563	国内动态详情	3
564	回回	3
565	六四	3
566	六四运动	3
567	美国之音	3
568	密宗	3
569	民国	3
570	民进党	3
571	民运	3
572	民主	3
573	摩门教	3
574	纳粹	3
575	南华早报	3
576	南蛮	3
577	明慧网	3
578	起义	3
579	亲民党	3
580	瘸腿帮	3
581	人民报	3
582	法轮	3
583	示威	3
584	台独	3
585	台联	3
586	台湾民国	3
587	台湾岛国	3
588	台湾国	3
589	台湾独立	3
590	太子党	3
591	天安门	3
592	屠杀	3
593	小泉	3
594	新党	3
595	新疆独立	3
596	新疆分裂	3
597	新疆国	3
598	疆独	3
599	西藏独立	3
600	西藏分裂	3
601	西藏国	3
602	藏独	3
603	藏青会	3
604	藏妇会	3
605	学潮	3
606	学运	3
607	一党专政	3
608	一中一台	3
609	两个中国	3
610	一贯道	3
611	游行	3
612	造反	3
613	真善忍	3
614	镇压	3
615	政变	3
616	政治	3
617	中共	3
618	共产党	3
619	反党	3
620	反共	3
621	政府	3
622	民主党	3
623	中国之春	3
624	转法轮	3
625	自焚	3
626	共党	3
627	共匪	3
628	苏家屯	3
629	基地组织	3
630	塔利班	3
631	东亚病夫	3
632	支那	3
633	高治联	3
634	高自联	3
635	专政	3
636	专制	3
637	世界维吾尔大会	3
638	核工业基地	3
639	核武器	3
640	铀	3
641	氢弹	3
642	导弹	3
643	核潜艇	3
644	大参考	3
645	小参考	3
646	国内动态清样	3
647	释迦牟尼	3
648	阿弥陀佛	3
649	多维	3
650	河殇	3
651	摩门教	3
652	穆罕默德	3
653	耶和华	3
654	耶稣	3
655	伊斯兰	3
656	真主安拉	3
657	白莲教	3
658	天主教	3
659	基督教	3
660	东正教	3
661	大法	3
662	法轮	3
663	瘸腿帮	3
664	真理教	3
665	真善忍	3
666	转法轮	3
667	自焚	3
668	走向圆满	3
669	黄大仙	3
670	跳大神	3
671	神汉	3
672	神婆	3
673	真理教	3
674	大卫教	3
675	阎王	3
676	黑白无常	3
677	牛头马面	3
678	藏独	3
679	高丽棒子	3
680	疆独	3
681	蒙古鞑子	3
682	西藏独立	3
683	新疆独立	3
684	南蛮	3
685	老毛子	3
686	回民吃猪肉	3
687	古柯碱	3
688	谋杀	3
689	杀人	3
690	吸毒	3
691	贩毒	3
692	赌博	3
693	拐卖	3
694	走私	3
695	卖淫	3
696	造反	3
697	强奸	3
698	轮奸	3
699	抢劫	3
700	先奸后杀	3
701	押大	3
702	押小	3
703	押注	3
704	下注	3
705	抽头	3
706	坐庄	3
707	赌马	3
708	赌球	3
709	筹码	3
710	老虎机	3
711	轮盘赌	3
712	安非他命	3
713	大麻	3
714	可卡因	3
715	海洛因	3
716	冰毒	3
717	摇头丸	3
718	杜冷丁	3
719	鸦片	3
720	罂粟	3
721	迷幻药	3
722	白粉	3
723	嗑药	3
724	吸毒	3
725	冰毒	3
726	冰粉	3
727	二奶	3
728	偷窥图片	3
729	成人影片	3
730	夫妻床上激情自拍	3
731	处女	3
732	房事	3
733	押大	3
734	押小	3
735	坐台	3
736	猥亵	3
737	猥琐	3
738	肉欲	3
739	肉体	3
740	排泄	3
741	卵子	3
742	搞基	3
743	约炮	3
744	撸管子	3
745	处男	3
746	黄盘	3
747	毛盘	3
748	艾滋病	3
749	性病	3
750	叫春	3
751	牛B	3
752	牛比	3
753	小姐兼职	3
754	交媾	3
755	毛片	3
756	黄片	3
757	交配	3
758	房事	3
759	性事	3
760	偷窥	3
761	马拉戈壁	3
762	屙	3
763	爱滋	3
764	淋病	3
765	梅毒	3
766	爱液	3
767	屄	3
768	逼	3
769	臭机八	3
770	吹喇叭	3
771	吹箫	3
772	催情药	3
773	屌	3
774	肛交	3
775	肛门	3
776	龟头	3
777	黄色	3
778	机八	3
779	机巴	3
780	鸡巴	3
781	机掰	3
782	机巴	3
783	鸡叭	3
784	鸡掰	3
785	鸡奸	3
786	妓女	3
787	奸	3
788	茎	3
789	精液	3
790	精子	3
791	尻	3
792	口交	3
793	滥交	3
794	乱交	3
795	轮奸	3
796	卖淫	3
797	屁眼	3
798	嫖娼	3
799	强奸	3
800	强奸犯	3
801	情色	3
802	肉棒	3
803	乳房	3
804	乳峰	3
805	乳交	3
806	乳头	3
807	乳晕	3
808	三陪	3
809	色情	3
810	射精	3
811	手淫	3
812	威而钢	3
813	威而柔	3
814	伟哥	3
815	性高潮	3
816	性交	3
817	性虐	3
818	性欲	3
819	穴	3
820	颜射	3
821	阳物	3
822	一夜情	3
823	阴部	3
824	阴唇	3
825	阴道	3
826	阴蒂	3
827	阴核	3
828	阴户	3
829	阴茎	3
830	阴门	3
831	淫	3
832	淫秽	3
833	淫乱	3
834	淫水	3
835	淫娃	3
836	淫液	3
837	淫汁	3
838	淫穴	3
839	淫洞	3
840	援交妹	3
841	做爱	3
842	梦遗	3
843	阳痿	3
844	早泄	3
845	奸淫	3
846	性欲	3
847	性交	3
848	白痴	3
849	笨蛋	3
850	屄	3
851	变态	3
852	婊子	3
853	操她妈	3
854	操妳妈	3
855	操你	3
856	操你妈	3
857	操他妈	3
858	草你	3
859	肏	3
860	册那	3
861	侧那	3
862	测拿	3
863	插	3
864	蠢猪	3
865	荡妇	3
866	发骚	3
867	废物	3
868	干她妈	3
869	干妳	3
870	干你	3
871	狗娘养的	3
872	滚	3
873	贱货	3
874	贱人	3
875	烂人	3
876	老母	3
877	老土	3
878	妈比	3
879	妈的	3
880	马的	3
881	妳老母的	3
882	妳娘的	3
883	你妈逼	3
884	破鞋	3
885	仆街	3
886	去她妈	3
887	去妳的	3
888	去妳妈	3
889	去你的	3
890	去你妈	3
891	去死	3
892	去他妈	3
893	日你	3
894	赛她娘	3
895	赛妳娘	3
896	赛你娘	3
897	赛他娘	3
898	骚货	3
899	傻B	3
900	傻比	3
901	傻子	3
902	上妳	3
903	上你	3
904	神经病	3
905	屎	3
906	屎妳娘	3
907	屎你娘	3
908	他妈的	3
909	王八蛋	3
910	我日	3
911	乡巴佬	3
912	猪猡	3
913	屙	3
914	尿	3
915	掯	3
916	屌	3
917	操	3
918	骑你	3
919	湿了	3
920	骑你	3
921	骑他	3
922	骑她	3
923	欠骑	3
924	欠人骑	3
925	来爽我	3
926	来插我	3
927	干你	3
928	干他	3
929	干她	3
930	干死	3
931	干爆	3
932	干机	3
933	FUCK	3
934	机叭	3
935	臭鸡	3
936	臭机	3
937	烂鸟	3
938	览叫	3
939	阳具	3
940	肉棒	3
941	肉壶	3
942	奶子	3
943	摸咪咪	3
944	干鸡	3
945	干入	3
946	小穴	3
947	强奸	3
948	插你	3
949	插你	3
950	爽你	3
951	爽你	3
952	干干	3
953	他干	3
954	干它	3
955	干牠	3
956	干您	3
957	干汝	3
958	干林	3
959	操林	3
960	干尼	3
961	操尼	3
962	我咧干	3
963	干勒	3
964	干我	3
965	干到	3
966	干啦	3
967	干爽	3
968	欠干	3
969	狗干	3
970	我干	3
971	来干	3
972	轮干	3
973	轮流干	3
974	干一干	3
975	援交	3
976	骑你	3
977	轮奸	3
978	奸暴	3
979	再奸	3
980	我奸	3
981	奸你	3
982	奸你	3
983	奸他	3
984	奸她	3
985	奸一奸	3
986	淫水	3
987	淫湿	3
988	鸡歪	3
989	仆街	3
990	臭西	3
991	尻	3
992	遗精	3
993	烂逼	3
994	大血比	3
995	叼你妈	3
996	靠你妈	3
997	草你	3
998	干你	3
999	日你	3
1000	插你	3
1001	奸你	3
1002	戳你	3
1003	逼你老母	3
1004	挨球	3
1005	草拟妈	3
1006	卖逼	3
1007	狗操卖逼	3
1008	奸淫	3
1009	日死	3
1010	奶子	3
1011	阴茎	3
1012	奶娘	3
1013	他娘	3
1014	她娘	3
1015	骚B	3
1016	你妈了妹	3
1017	逼毛	3
1018	插你妈	3
1019	叼你	3
1020	渣波波	3
1021	缔顺	3
1022	帝顺	3
1023	蒂顺	3
1024	系统消息	3
1025	午夜	3
1026	草泥马	3
1027	法克鱿	3
1028	雅蠛蝶	3
1029	潜烈蟹	3
1030	菊花蚕	3
1031	尾申鲸	3
1032	吉跋猫	3
1033	搞栗棒	3
1034	吟稻雁	3
1035	达菲鸡	3
1036	马勒戈壁	3
1037	双飞	3
1038	周恩來	3
1039	碡	3
1040	籀	3
1041	朱駿	3
1042	朱狨基	3
1043	朱容基	3
1044	朱溶剂	3
1045	朱熔基	3
1046	朱镕基	3
1047	邾	3
1048	猪操	3
1049	猪聋畸	3
1050	猪毛	3
1051	猪毛1	3
1052	舳	3
1053	瘃	3
1054	躅	3
1055	翥	3
1056	專政	3
1057	颛	3
1058	丬	3
1059	隹	3
1060	窀	3
1061	卓伯源	3
1062	倬	3
1063	斫	3
1064	诼	3
1065	髭	3
1066	鲻	3
1067	子宫	3
1068	秭	3
1069	訾	3
1070	自焚	3
1071	自民党	3
1072	自慰	3
1073	自已的故事	3
1074	自由民主论坛	3
1075	偬	3
1076	诹	3
1077	陬	3
1078	鄹	3
1079	鲰	3
1080	躜	3
1081	缵	3
1082	作爱	3
1083	作秀	3
1084	阼	3
1085	祚	3
1086	做爱	3
1087	阿扁萬歲	3
1088	阿萊娜	3
1089	啊無卵	3
1090	埃裏克蘇特勤	3
1091	埃斯萬	3
1092	艾麗絲	3
1093	愛滋	3
1094	愛滋病	3
1095	垵	3
1096	暗黑法師	3
1097	嶴	3
1098	奧克拉	3
1099	奧拉德	3
1100	奧利弗	3
1101	奧魯奇	3
1102	奧倫	3
1103	奧特蘭	3
1104	㈧	3
1105	巴倫侍從	3
1106	巴倫坦	3
1107	白立樸	3
1108	白夢	3
1109	白皮書	3
1110	班禪	3
1111	寶石商人	3
1112	保釣	3
1113	鮑戈	3
1114	鮑彤	3
1115	鮑伊	3
1116	暴風亡靈	3
1117	暴亂	3
1118	暴熱的戰士	3
1119	暴躁的城塔野獸	3
1120	暴躁的警衛兵靈魂	3
1121	暴躁的馬杜克	3
1122	北大三角地論壇	3
1123	北韓	3
1124	北京當局	3
1125	北美自由論壇	3
1126	貝尤爾	3
1127	韝	3
1128	逼樣	3
1129	比樣	3
1130	蹕	3
1131	颮	3
1132	鑣	3
1133	婊子養的	3
1134	賓周	3
1135	冰後	3
1136	博訊	3
1137	不滅帝王	3
1138	不爽不要錢	3
1139	布萊爾	3
1140	布雷爾	3
1141	蔡崇國	3
1142	蔡啓芳	3
1143	黲	3
1144	操鶏	3
1145	操那嗎	3
1146	操那嗎逼	3
1147	操那嗎比	3
1148	操你媽	3
1149	操你爺爺	3
1150	曹長青	3
1151	曹剛川	3
1152	草	3
1153	草你媽	3
1154	草擬媽	3
1155	册那娘餓比	3
1156	插那嗎	3
1157	插那嗎逼	3
1158	插那嗎比	3
1159	插你媽	3
1160	插你爺爺	3
1161	覘	3
1162	蕆	3
1163	囅	3
1164	閶	3
1165	長官沙塔特	3
1166	常勁	3
1167	朝鮮	3
1168	車侖	3
1169	車侖女幹	3
1170	沉睡圖騰	3
1171	陳炳基	3
1172	陳博志	3
1173	陳定南	3
1174	陳建銘	3
1175	陳景俊	3
1176	陳菊	3
1177	陳軍	3
1178	陳良宇	3
1179	陳蒙	3
1180	陳破空	3
1181	陳水扁	3
1182	陳唐山	3
1183	陳希同	3
1184	陳小同	3
1185	陳宣良	3
1186	陳學聖	3
1187	陳一諮	3
1188	陳總統	3
1189	諶	3
1190	齔	3
1191	櫬	3
1192	讖	3
1193	程凱	3
1194	程鐵軍	3
1195	鴟	3
1196	痴鳩	3
1197	痴拈	3
1198	遲鈍的圖騰	3
1199	持不同政見	3
1200	赤色騎士	3
1201	赤色戰士	3
1202	處女膜	3
1203	傳染性病	3
1204	吹簫	3
1205	春夏自由論壇	3
1206	戳那嗎B	3
1207	戳那嗎逼	3
1208	戳那嗎比	3
1209	輳	3
1210	鹺	3
1211	錯B	3
1212	錯逼	3
1213	錯比	3
1214	錯那嗎B	3
1215	錯那嗎逼	3
1216	錯那嗎比	3
1217	達夫警衛兵	3
1218	達夫侍從	3
1219	達癩	3
1220	打飛機	3
1221	大參考	3
1222	大東亞	3
1223	大鶏巴	3
1224	大紀元	3
1225	大紀園	3
1226	大家論壇	3
1227	大奶媽	3
1228	大史記	3
1229	大史紀	3
1230	大衛教	3
1231	大中國論壇	3
1232	大中華論壇	3
1233	大衆真人真事	3
1234	紿	3
1235	戴維教	3
1236	戴相龍	3
1237	彈劾	3
1238	氹	3
1239	蕩婦	3
1240	導師	3
1241	盜竊犯	3
1242	德維爾	3
1243	登輝	3
1244	鄧笑貧	3
1245	糴	3
1246	迪裏夏提	3
1247	覿	3
1248	地下教會	3
1249	帝國主義	3
1250	電視流氓	3
1251	叼你媽	3
1252	釣魚島	3
1253	丁關根	3
1254	東北獨立	3
1255	東部地下水路	3
1256	東方紅時空	3
1257	東方時空	3
1258	東南西北論談	3
1259	東社	3
1260	東升	3
1261	東條	3
1262	東條英機	3
1263	東突暴動	3
1264	東突獨立	3
1265	東土耳其斯坦	3
1266	東西南北論壇	3
1267	東亞	3
1268	東院看守	3
1269	動亂	3
1270	鬥士哈夫拉蘇	3
1271	鬥士霍克	3
1272	獨裁	3
1273	獨裁政治	3
1274	獨夫	3
1275	獨立臺灣會	3
1276	俄國	3
1277	鮞	3
1278	㈡	3
1279	發楞	3
1280	發掄	3
1281	發倫	3
1282	發輪	3
1283	發論	3
1284	發騷	3
1285	發正念	3
1286	法~倫	3
1287	法~淪	3
1288	法~綸	3
1289	法~輪	3
1290	法~論	3
1291	法爾卡	3
1292	法掄	3
1293	法掄功	3
1294	法侖	3
1295	法淪	3
1296	法綸	3
1297	法輪大法	3
1298	法輪功	3
1299	法十輪十功	3
1300	法謫	3
1301	法謫功	3
1302	反封鎖	3
1303	反封鎖技術	3
1304	反腐敗論壇	3
1305	反人類	3
1306	反社會	3
1307	方勵之	3
1308	防衛指揮官	3
1309	放蕩	3
1310	飛揚論壇	3
1311	廢墟守護者	3
1312	費鴻泰	3
1313	費良勇	3
1314	分隊長施蒂文	3
1315	粉飾太平	3
1316	糞便	3
1317	鱝	3
1318	豐饒的果實	3
1319	風雨神州	3
1320	風雨神州論壇	3
1321	封從德	3
1322	封殺	3
1323	封印的靈魂騎士	3
1324	馮東海	3
1325	馮素英	3
1326	紱	3
1327	襆	3
1328	嘸	3
1329	傅作義	3
1330	幹bi	3
1331	幹逼	3
1332	幹比	3
1333	幹的你	3
1334	幹幹幹	3
1335	幹她	3
1336	幹你	3
1337	幹你老比	3
1338	幹你老母	3
1339	幹你娘	3
1340	幹全家	3
1341	幹死	3
1342	幹死你	3
1343	幹他	3
1344	幹一家	3
1345	趕你娘	3
1346	岡巒	3
1347	剛比	3
1348	剛比樣子	3
1349	崗哨士兵	3
1350	肛門	3
1351	高麗棒子	3
1352	高文謙	3
1353	高薪養廉	3
1354	高自聯	3
1355	膏藥旗	3
1356	戈瑞爾德	3
1357	戈揚	3
1358	鴿派	3
1359	歌功頌德	3
1360	格雷(關卡排名管理者)	3
1361	格魯	3
1362	格魯(城鎮移動)	3
1363	鯁	3
1364	工自聯	3
1365	弓雖	3
1366	共産	3
1367	共産黨	3
1368	共産主義	3
1369	共黨	3
1370	共軍	3
1371	共榮圈	3
1372	緱	3
1373	狗誠	3
1374	狗狼養的	3
1375	狗娘養的	3
1376	狗養	3
1377	狗雜種	3
1378	覯	3
1379	轂	3
1380	古龍祭壇	3
1381	骨獅	3
1382	鯝	3
1383	鴰	3
1384	詿	3
1385	關卓中	3
1386	貫通兩極法	3
1387	廣聞	3
1388	嬀	3
1389	龜兒子	3
1390	龜公	3
1391	龜孫子	3
1392	龜頭	3
1393	龜投	3
1394	劌	3
1395	緄	3
1396	滾那嗎	3
1397	滾那嗎B	3
1398	滾那嗎錯比	3
1399	滾那嗎老比	3
1400	滾那嗎瘟比	3
1401	鯀	3
1402	咼	3
1403	郭俊銘	3
1404	郭羅基	3
1405	郭岩華	3
1406	國家安全	3
1407	國家機密	3
1408	國軍	3
1409	國賊	3
1410	哈爾羅尼	3
1411	頇	3
1412	韓東方	3
1413	韓聯潮	3
1414	韓正	3
1415	漢奸	3
1416	顥	3
1417	灝	3
1418	河殤	3
1419	賀國强	3
1420	賀龍	3
1421	黑社會	3
1422	黑手黨	3
1423	紅燈區	3
1424	紅色恐怖	3
1425	紅炎猛獸	3
1426	洪傳	3
1427	洪興	3
1428	洪哲勝	3
1429	黌	3
1430	鱟	3
1431	胡緊掏	3
1432	胡錦滔	3
1433	胡錦淘	3
1434	胡景濤	3
1435	胡喬木	3
1436	胡總書記	3
1437	湖岸護衛兵	3
1438	湖岸警衛兵	3
1439	湖岸哨兵隊長	3
1440	護法	3
1441	鸌	3
1442	華建敏	3
1443	華通時事論壇	3
1444	華夏文摘	3
1445	華語世界論壇	3
1446	華岳時事論壇	3
