ID	LongDescribe	Critical	HarmType	AttributeObj	Attribute	MinAdd	MaxAdd	MinAddUpgrade	MaxAddUpgrade	MinValue	MaxValue	MinValueUpgrade	MaxValueUpgrade	Hatred	HatredUpgrade
2020	对范围内敌人制造雷霆打击，半径3.5米的区域内最多6个敌人造成（X+lv*N)%+(Y+lv*M)点法术伤害，并减速50%，持续2秒	0	2	1	4	10000	10000	1000	1000	10	10	10	10	28	2
2030	释放一个可吸收5000点伤害的护盾，护盾持续时间内若未被击破则爆炸，对自身周围目标造成范围伤害	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2031	护盾爆炸的伤害	0	7000	1	4	10000	10000	1000	1000	10	10	10	10	24	2
2040	落雷攻击指定4米范围内最多6个敌人，持续4秒，每秒对区域内随机目标造成X点伤害，并减速40%，持续1.5秒。区域内目标每受到一次伤害，增加一层负面状态，提升雷神之怒对自己造成的伤害，提升比例15%，负面状态最多叠加5层。	0	2	1	4	10000	10000	1000	1000	10	10	10	10	40	4
2050	闪现8米	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2110	用冰霜攻击范围内敌人，半径3米的区域内最多6个敌人造成（X+lv*N)%+(Y+lv*M)点法术伤害，并减速50%，持续2秒	0	2	1	4	10000	10000	1000	1000	10	10	10	10	28	2
2120	对范围敌军造成伤害并冰冻	0	2	1	4	10000	10000	1000	1000	10	10	10	10	28	2
2130	对范围敌军造成伤害并冰冻	0	2	1	4	10000	10000	1000	1000	10	10	10	10	28	2
2140	对范围敌军造成伤害并减速	0	2	1	4	10000	10000	1000	1000	10	10	10	10	28	2
2210	引爆目标并对其及周围单位造成伤害和灼烧	0	2	2	1	10000	10000	1000	1000	10	10	10	10	100	10
2220	对单个目标造成多段伤害	0	2	1	4	10000	10000	1000	1000	10	10	10	10	28	2
2230	对范围敌军造成伤害并冰冻	0	2	1	4	10000	10000	1000	1000	10	10	10	10	28	2
2240	一次性大伤害	0	2	1	4	10000	10000	1000	1000	10	10	10	10	28	2					2330					2330
2100	群体净化和免伤	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2320	自身增加移速和暴击	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2330	群体恢复	0	0	1	1	10000	10000	1000	1000	10	10	10	10	10	0
2900	通用跳跃	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3000	对目标造成{H1}+{X1}-{Y1}的物理攻击伤害和{H2}-{J2}+{X2}-{Y2}的法术攻击伤害。	0	2,1	1,1	4,3	8000,5000	10000,5000	100,0	200,0	5,5	8,8	0,0	0,0	20	2
3001	对目标造成{H1}+{X1}-{Y1}的物理攻击伤害和{H2}-{J2}+{X2}-{Y2}的法术攻击伤害。	0	2,1	1,1	4,3	8000,5000	10000,5000	100,0	200,0	5,5	8,8	0,0	0,0	20	2
3002	对目标造成{H1}+{X1}-{Y1}的物理攻击伤害和{H2}-{J2}+{X2}-{Y2}的法术攻击伤害。	0	2,1	1,1	4,3	8000,5000	10000,5000	100,0	200,0	5,5	8,8	0,0	0,0	20	2
3010	扫射	0	1	1	3	10000	10000	1000	1000	10	10	10	10	120	12
3020	贯穿	0	1	1	3	10000	10000	1000	1000	10	10	10	10	10000	14
3030	翻滚	0	1	1	3	10000	10000	1000	1000	10	10	10	10	170	17
3040	弹雨	0	1	1	3	10000	10000	1000	1000	10	10	10	10	200	20
3140	弹幕	0	2	1	4	10000	10000	1000	1000	10	10	10	10	40	4
3900	通用跳跃	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4000	战士普攻1，对身前目标造成伤害	0	1	1	3	10000	10000	1000	1000	10	10	10	10	100	10
4001	战士普攻2，对身前目标造成伤害	0	1	1	3	10000	10000	1000	1000	10	10	10	10	100	10
4002	战士普攻3，对身前目标造成伤害	0	1	1	3	10000	10000	1000	1000	10	10	10	10	100	10
4010	横扫身前敌军，对最多6个单位造成X点伤害	0	1	1	3	10000	10000	1000	1000	10	10	10	10	120	12
4020	嘲讽自身4米范围内最多6个目标，并附加X点伤害（嘲讽对人无效）	0	1	1	3	10000	10000	1000	1000	10	10	10	10	10000	14
4030	向目标跳跃，对直线上的敌方单位造成伤害并眩晕2秒	0	1	1	3	10000	10000	1000	1000	10	10	10	10	170	17
4040	快速出剑，1秒内对目标区域最多6个目标连续攻击5次	0	1	1	3	10000	10000	1000	1000	10	10	10	10	200	20
4050	冲刺	0	1	1	3	10000	10000	1000	1000	10	10	10	10	120	12
4900	通用跳跃	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7030	跳跃	0	2	1	3	10000	10000	1000	1000	10	10	10	10	28	2
10000	冰甲：释放技能后对范围目标造成伤害且给自己增加1000物理防御并附带冰甲效果，持续5秒，冰甲状态下，攻击自己的目标会受到减速，持续10秒。	0	2	1	4	10000	10000	1000	1000	10	10	10	10	24	2
20000	测试技能1，使目标减速50%，持续5秒	0	1	1	3	1	1	1	1	1	1	1	1	1	1
20001	测试技能1，使目标减速500，持续5秒	0	1	1	3	1	1	1	1	1	1	1	1	1	1
20002	不能使用技能	0	1	1	3	1	1	1	1	1	1	1	1	1	1
20003	不能使用物品	0	1	1	3	1	1	1	1	1	1	1	1	1	1
20004	不能传送	0	1	1	3	1	1	1	1	1	1	1	1	1	1
20005	不能移动	0	1	1	3	1	1	1	1	1	1	1	1	1	1
20006	都不能	0	1	1	3	1	1	1	1	1	1	1	1	1	1
20007	攻击别人时自己加5000攻击，给别人减5000攻击	0	1	1	3	1	1	1	1	1	1	1	1	1	1
20008	攻击别人给自己加冰甲，受到攻击时给别人减速，自己加防御	0	1	1	3	1	1	1	1	1	1	1	1	1	1
1000101	小怪普攻tongqu	0	1	1	3	10000	10000	0	0	3	5	0	0	100	10
1000201	普攻-嚻	0	1	1	3	10000	10000	0	0	5	7	0	0	100	10
1000301	普攻-竦斯	0	1	1	4	10000	10000	0	0	5	5	0	0	100	10
1000302	技能-竦斯	0	2	1	4	10000	10000	0	0	5	5	0	0	100	10
1000401	小怪普攻-孟极	0	1	1	3	10000	10000	0	0	8	10	0	0	100	10
1000501	BOSS普通	0	1	1	3	10000	10000	0	0	5	5	0	0	100	10
1000502	BOSS技能一	0	1	1	3	10000	10000	0	0	5	5	0	0	100	10
1000503	BOSS技能二	0	1	1	3	10000	10000	0	0	5	5	0	0	100	10
1000504	BOSS技能三	0	1	1	3	10000	10000	0	0	5	5	0	0	100	10
1000505	BOSS技能四	0	1	1	3	10000	10000	0	0	5	5	0	0	100	10
30001	测试-战士被动1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30002	测试-战士被动2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30003	测试-战士被动3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30004	测试-战士被动4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30005	测试-战士被动5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30006	测试-战士被动6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30007	测试-战士被动7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30008	测试-战士被动8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30101	测试-法师被动1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30102	测试-法师被动2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30103	测试-法师被动3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30104	测试-法师被动4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30105	测试-法师被动5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30106	测试-法师被动6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30107	测试-法师被动7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30108	测试-法师被动8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31010	测试槽1	0	2	1	4	10000	10000	1000	1000	10	10	10	10	24	2
31110	测试槽1	0	2	1	4	10000	10000	1000	1000	10	10	10	10	24	2
31210	测试槽1	0	2	1	4	10000	10000	1000	1000	10	10	10	10	24	2
31310	测试槽1	0	2	1	4	10000	10000	1000	1000	10	10	10	10	24	2
31020	测试槽2	0	2	1	4	10000	10000	1000	1000	10	10	10	10	24	2
31120	测试槽2	0	2	1	4	10000	10000	1000	1000	10	10	10	10	24	2
31220	测试槽2	0	2	1	4	10000	10000	1000	1000	10	10	10	10	24	2
31320	测试槽2	0	2	1	4	10000	10000	1000	1000	10	10	10	10	24	2
31030	测试槽3	0	2	1	4	10000	10000	1000	1000	10	10	10	10	24	2
31130	测试槽3	0	2	1	4	10000	10000	1000	1000	10	10	10	10	24	2
31230	测试槽3	0	2	1	4	10000	10000	1000	1000	10	10	10	10	24	2
41000	测试BUFF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41001	测试BUFF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41002	测试BUFF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41003	测试BUFF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41004	测试BUFF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41005	测试BUFF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41006	测试BUFF7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41007	测试BUFF8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41008	测试BUFF9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41009	测试BUFF10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41010	测试BUFF11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41012	测试BUFF12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
