ID	IntVar	IntVars	StringVar	StringVars	FloatVar	FloatVars	Remark
36	9999	0	0	0	0	0	友好度上限
37	50	0	0	0	0	0	最近消息玩家数（人数）
38	10	0	0	0	0	0	可创建群聊数
39	20	0	0	0	0	0	单个群聊成员人数上限
40	0	10,2,10	0	0	0	0	摄像机距离，单位米（默认，最小，最大）
41	999	0	0	0	0	0	邮件接收数量上限
42	30	0	0	0	0	0	邮件保存最长时限（天）
43	3	0	0	0	0	0	山海集每日免费招募次数
44	7200	0	0	0	0	0	山海集招募冷却时间间隔（秒）
45	0	4,10000	0	0	0	0	山海集单抽每次获得物品ID和数量
46	0	1,68	0	0	0	0	山海集单抽消耗物品ID和数量
47	10	0	0	0	0	0	山海集循环总次数
48	0	310101,310102,310103,310104,310105	0	0	0	0	山海集单抽第1次抽取数据组
49	0	310106	0	0	0	0	山海集单抽第2次抽取数据组
50	0	310107	0	0	0	0	山海集单抽第3次抽取数据组
51	0	310108	0	0	0	0	山海集单抽第4次抽取数据组
52	0	310109	0	0	0	0	山海集单抽第5次抽取数据组
53	0	310110	0	0	0	0	山海集单抽第6次抽取数据组
54	0	310111	0	0	0	0	山海集单抽第7次抽取数据组
55	0	310112	0	0	0	0	山海集单抽第8次抽取数据组
56	0	310113	0	0	0	0	山海集单抽第9次抽取数据组
57	0	310114	0	0	0	0	山海集单抽第10次抽取数据组
58	10	10,20,10	0	0	0	0	每日任务开启等级、一轮次数，衰减起始，衰减比例
59	0	310101,310102,310103,310104,310105	0	0	0	0	山海集十连抽第1次抽取数据组
60	0	310106	0	0	0	0	山海集十连抽第2次抽取数据组
61	0	310107	0	0	0	0	山海集十连抽第3次抽取数据组
62	0	310108	0	0	0	0	山海集十连抽第4次抽取数据组
63	0	310109	0	0	0	0	山海集十连抽第5次抽取数据组
64	0	310110	0	0	0	0	山海集十连抽第6次抽取数据组
65	0	310111	0	0	0	0	山海集十连抽第7次抽取数据组
66	0	310112	0	0	0	0	山海集十连抽第8次抽取数据组
67	0	310113	0	0	0	0	山海集十连抽第9次抽取数据组
68	0	310114	0	0	0	0	山海集十连抽第10次抽取数据组
69	0	4,100000	0	0	0	0	山海集十连抽每次获得物品ID和数量
70	0	1,680	0	0	0	0	山海集十连抽消耗物品ID和数量
71	5	0	0	0	0	0	山海集绿色品质碎片转化（消耗绿色品质碎片数量）
72	5	0	0	0	0	0	山海集蓝色品质碎片转化（消耗蓝色品质碎片数量）
73	5	0	0	0	0	0	山海集紫色品质碎片转化（消耗紫色品质碎片数量）
74	5	0	0	0	0	0	山海集橙色品质碎片转化（消耗橙色品质碎片数量）
75	0	90000,90001,90002,90003,90004	0	0	0	0	山海集白色品质通用碎片,绿色品质通用碎片，蓝色品质通用碎片，紫色品质通用碎片，橙色品质通用碎片
76	5	0	0	0	0	0	山海集白色品质碎片转化（消耗白色品质碎片数量）
77	0	0	0	e4e4e4,0be79e,11a0f4,e60ef3,f4860f	0	0	品质颜色
100	500	0	0	0	0	0	帮会创建消耗元宝数
101	6	0	0	0	0	0	帮会名称最大字数
102	60	0	0	0	0	0	帮会宣言最大字数
103	3000	0	0	0	0	0	一键申请操作间隔（毫秒）
104	100	0	0	0	0	0	帮会事件最大条数
105	3	0	0	0	0	0	每日捐献次数上限
106	200	0	0	0	0	0	捐献总进度条长度
107	100	0	0	0	0	0	申请列表显示最大条数
108	0	8,4,4	0	0	0	0	帮会经验活动系数1，系数2和系数3
109	10	0	0	0	0	0	1级帮会最大人数
110	40	0	0	0	0	0	装备洗炼最低等级
111	100	0	0	0	0	0	单件装备每日洗炼次数上限
112	40	0	0	0	0	0	装备重铸最低等级
113	100	0	0	0	0	0	单件装备每日重铸次数上限
120	10	0	0	0	0	0	每日固定免费原地复活次数
130	30000	0	0	0	0	0	野外场景安全复活最大时间（单位：毫秒）
131	30000	0	0	0	0	0	副本场景安全复活最大时间（单位：毫秒）
132	10000	0	0	0	0	0	活动场景安全复活最大时间（单位：毫秒）
140	10	0	0	0	0	0	新建分组个数上限
150	0	0	0	30,40,50,60,70,80,90,100	0	0	装备打造界面等级段显示
151	0	1,2,3,4	0	狂战,御灵,神枪,暗影	0	0	装备打造据界面职业显示
152	0	10000,10000	0	0	0	0	装备强化打造属性提升比例（万分比）
153	4	0	0	0	0	0	祝福打造最低品质
160	30000	0	0	0	0	0	断线重连反应时间（毫秒）
161	25000	0	0	0	0	0	断线重连显示时间（毫秒）
162	5000	0	0	0	0	0	断线重连间隔
163	1800000	0	0	0	0	0	断线可重连的最大时间
170	10	0	0	0	0	0	杀戮模式切换需要等级
180	10	0	0	0	0	0	BUFF图标显示最大数量
190	30	0	0	0	0	0	装备提醒最大等级
200	10	0	0	0	0	0	对话框自动关闭倒计时（s）
201	0	1,2,3,4,5,6	zhuxianrenwu	zhuxianrenwu,zhixianrenwu,meirirenwu,yindaorenwu,xuanshangrenwu,huodongrenwu	0	0	主线、支线、每日、引导、悬赏、活动任务标识
210	10	0	0	0	0	0	全部排行榜显示人数
220	1	0	0	0	0	0	低于自身等级段段数
221	0	0,29,30,39,40,49,50,59,60,999	0	0	0	0	各个等级段
230	20	0	0	0	0	0	交易行关注物品上限
231	0	1,9,10,19,20,29,30,39,40,49,50,59	0	0	0	0	交易行等级筛选段
232	500	0	0	0	0	0	默认税率（万分比）
233	10	0	0	0	0	0	默认税率（万分比）
240	3000	0	0	0	0	0	山海战场获胜需求分数
243	0	5,3000	0	0	0	0	水晶获得积分（XX分/毫秒）
244	15000	0	0	0	0	0	水晶保护时长（毫秒）
245	100	0	0	0	0	0	王旗采集获得固定积分
246	0	10,3000	0	0	0	0	王旗获得积分（XX分/毫秒）
247	30000	0	0	0	0	0	王旗保护时长（毫秒）
248	5	0	0	0	0	0	击杀玩家获得阵营积分
249	10	0	0	0	0	0	占领水晶获得个人积分
250	50	0	0	0	0	0	占领王旗获得个人积分
251	3	0	0	0	0	0	击杀玩家获得个人积分
252	1	0	0	0	0	0	助攻击杀获得个人积分
300	5	0	0	0	0	0	百人战场击杀玩家获得阵营积分
301	1	0	0	0	0	0	百人战场助攻玩家获得阵营积分
302	0	30,39,40,49,50,59,60,69,70,79,80,89,90,99,100,999	0	0	0	0	百人战场匹配等级段
303	0	0,10000,10001,20000,20001,30000,30001,40000,40001,9999999	0	0	0	0	百人战场匹配战力段
401	0	30002,30003,30004	0	0	0	0	3V3每日场次礼包：1场、3、5
402	10	0	0	0	0	0	队伍匹配最大等级差
403	30	0	0	0	0	0	匹配准备倒计时
404	10	0	0	0	0	0	单次惩罚时间
411	0	5,1,2,5,10,20	0	0	0	0	杀戮积分：角色，普通小怪，经验怪,小BOSS,大BOSS,世界BOSS
412	100	0	0	0	0	0	获胜积分
413	0	3,1	0	0	0	0	玩家复活时间=X+N*Y
421	0	0	0	0	0	1,1,0.5,1	KDA系数：初始值，杀人系数，助攻系数，死亡系数
422	0	0	0	0	0	1,0.2,30	个人局内表现：初始值，每次扣除系数,待机X秒扣1次
423	0	0	0	0	0	100,100,0.1,0.1,0.5,0.25,0.3	战功积分：积分标准值，金币标准值，对比系数a，对比系数b，胜利结果值，失败结果值，平局结果值
424	0	0	0	0	0	0.3	王者积分：王者积分系数
431	0	3,0,1,10	0	0	0	0	3V3匹配参数：对战人数,是否加入机器人,是否计算积分与战功,匹配时间间隔（S）
10000	0	24	00/00  23:59:59	20	0	0	次数，天，刷新时间
10001	7	168	00/00  23:59:59	70	0	0	次数，周，刷新时间
10002	0	24	00/00  23:59:59	5	0	0	次数，天，刷新时间
10003	0	0	00/00  23:59:59	0	0	0	每日限购
10004	0	0	00/00  23:59:59	7	0	0	每周限购
160001	1000	0	0	0	0	0	测试地图长度
160002	500	0	0	0	0	0	测试地图宽度
160003	30	0	0	0	0	0	同屏显示人数
160004	0	2000,80	0	0	0	0	暴击判定-暴击几率
160005	0	2000,80	0	0	0	0	暴击判定-暴击抵抗几率
160006	0	2000,80	0	0	0	0	暴击判定-暴击抵抗伤害减免
160007	0	0	0	0	0	1,0.02	物理伤害-受击方有效物理防御
160008	0	1000,40	0	0	0	0	物理伤害-受击方物理伤害减免
160009	0	0	0	0	0.1	0	角色之间的物理伤害计算
160010	0	0	0	0	0	1,0.02	法术伤害-受击方有效法术防御
160011	0	1000,40	0	0	0	0	法术伤害-受击方法术伤害减免
160012	0	0	0	0	0.1	0	角色之间的法术伤害计算
160013	0	0	0	0	0.1	0	角色之间的真实伤害计算
160014	0	2000,80	0	0	0	0	吸血计算-物理吸血百分比
160015	0	2000,80	0	0	0	0	吸血计算-法术吸血百分比
160016	0	3000,120	0	0	0	0	韧性计算
160017	0	3000,120	0	0	0	0	冷却缩减计算
200000	20	0	0	0	0	0	默认背包格子数
200001	20	0	0	0	0	0	默认仓库格子数
200002	75	0	0	0	0	0	背包格子数上限
200003	75	0	0	0	0	0	仓库格子数上限
200010	0	0	zhanshi	0	0	0	种族1资源
200011	0	0	fashi	0	0	0	种族2资源
200012	0	0	sheshou	0	0	0	种族3资源
200013	0	0	cike	0	0	0	种族4资源
200020	0	1,4	0	0	0	0	服务器流畅人数区间
200021	0	5,99999	0	0	0	0	服务器爆满人数区间
