ID	Type	Name	Des	Icon	Model	Level	NextLevel	LevelUp	Text	LvExpend1	LvExpend2	Result1	Result2	Result3	Result4	Result5
103	2	兵舍	可以提高帮会人数上限			3	4	1,4	升级需要主殿等级4级	4000	1000	-1	-1	40	-1	-1
104	2	兵舍	可以提高帮会人数上限			4	5	1,5	升级需要主殿等级5级	5000	1000	-1	-1	50	-1	-1
105	2	兵舍	可以提高帮会人数上限			5	6	1,6	升级需要主殿等级6级	6000	1000	-1	-1	60	-1	-1
106	2	兵舍	可以提高帮会人数上限			6	7	1,7	升级需要主殿等级7级	7000	1000	-1	-1	70	-1	-1
107	2	兵舍	可以提高帮会人数上限			7	8	1,8	升级需要主殿等级8级	8000	1000	-1	-1	80	-1	-1
108	2	兵舍	可以提高帮会人数上限			8	9	1,9	升级需要主殿等级9级	9000	1000	-1	-1	90	-1	-1
109	2	兵舍	可以提高帮会人数上限			9	10	1,10	升级需要主殿等级10级	10000	1000	-1	-1	100	-1	-1
110	2	兵舍	可以提高帮会人数上限			10	11	1,11	升级需要主殿等级11级	11000	1000	-1	-1	110	-1	-1
111	2	兵舍	可以提高帮会人数上限			11	12	1,12	升级需要主殿等级12级	12000	1000	-1	-1	120	-1	-1
112	2	兵舍	可以提高帮会人数上限			12	13	1,13	升级需要主殿等级13级	13000	1000	-1	-1	130	-1	-1
113	2	兵舍	可以提高帮会人数上限			13	14	1,14	升级需要主殿等级14级	14000	1000	-1	-1	140	-1	-1
114	2	兵舍	可以提高帮会人数上限			14	15	1,15	升级需要主殿等级15级	15000	1000	-1	-1	150	-1	-1
115	2	兵舍	可以提高帮会人数上限			15	-1	-1		16000	1000	-1	-1	160	-1	-1
200	3	金库	可以提高帮会资金存储上限，提高每日产生福利的数量			0	1	1,1	升级需要主殿等级1级	1000	1000	-1	-1	-1	100000	10000
201	3	金库	可以提高帮会资金存储上限，提高每日产生福利的数量			1	2	1,2	升级需要主殿等级2级	2000	1000	-1	-1	-1	110000	20000
202	3	金库	可以提高帮会资金存储上限，提高每日产生福利的数量			2	3	1,3	升级需要主殿等级3级	3000	1000	-1	-1	-1	120000	30000
203	3	金库	可以提高帮会资金存储上限，提高每日产生福利的数量			3	4	1,4	升级需要主殿等级4级	4000	1000	-1	-1	-1	130000	40000
204	3	金库	可以提高帮会资金存储上限，提高每日产生福利的数量			4	5	1,5	升级需要主殿等级5级	5000	1000	-1	-1	-1	140000	50000
205	3	金库	可以提高帮会资金存储上限，提高每日产生福利的数量			5	6	1,6	升级需要主殿等级6级	6000	1000	-1	-1	-1	150000	60000
206	3	金库	可以提高帮会资金存储上限，提高每日产生福利的数量			6	7	1,7	升级需要主殿等级7级	7000	1000	-1	-1	-1	160000	70000
207	3	金库	可以提高帮会资金存储上限，提高每日产生福利的数量			7	8	1,8	升级需要主殿等级8级	8000	1000	-1	-1	-1	170000	80000
208	3	金库	可以提高帮会资金存储上限，提高每日产生福利的数量			8	9	1,9	升级需要主殿等级9级	9000	1000	-1	-1	-1	180000	90000
209	3	金库	可以提高帮会资金存储上限，提高每日产生福利的数量			9	10	1,10	升级需要主殿等级10级	10000	1000	-1	-1	-1	190000	100000
210	3	金库	可以提高帮会资金存储上限，提高每日产生福利的数量			10	11	1,11	升级需要主殿等级11级	11000	1000	-1	-1	-1	200000	110000
211	3	金库	可以提高帮会资金存储上限，提高每日产生福利的数量			11	12	1,12	升级需要主殿等级12级	12000	1000	-1	-1	-1	210000	120000
212	3	金库	可以提高帮会资金存储上限，提高每日产生福利的数量			12	13	1,13	升级需要主殿等级13级	13000	1000	-1	-1	-1	220000	130000
213	3	金库	可以提高帮会资金存储上限，提高每日产生福利的数量			13	14	1,14	升级需要主殿等级14级	14000	1000	-1	-1	-1	230000	140000
214	3	金库	可以提高帮会资金存储上限，提高每日产生福利的数量			14	15	1,15	升级需要主殿等级15级	15000	1000	-1	-1	-1	240000	150000
215	3	金库	可以提高帮会资金存储上限，提高每日产生福利的数量			15	-1	-1		16000	1000	-1	-1	-1	250000	160000
300	4	圣兽堂	可以提升神兽等级和奖励			0	1	1,1	升级需要主殿等级1级	1000	1000	-1	-1	-1	-1	-1
301	4	圣兽堂	可以提升神兽等级和奖励			1	2	1,2	升级需要主殿等级2级	2000	1000	-1	-1	-1	-1	-1
302	4	圣兽堂	可以提升神兽等级和奖励			2	3	1,3	升级需要主殿等级3级	3000	1000	-1	-1	-1	-1	-1
303	4	圣兽堂	可以提升神兽等级和奖励			3	4	1,4	升级需要主殿等级4级	4000	1000	-1	-1	-1	-1	-1
304	4	圣兽堂	可以提升神兽等级和奖励			4	5	1,5	升级需要主殿等级5级	5000	1000	-1	-1	-1	-1	-1
305	4	圣兽堂	可以提升神兽等级和奖励			5	6	1,6	升级需要主殿等级6级	6000	1000	-1	-1	-1	-1	-1
306	4	圣兽堂	可以提升神兽等级和奖励			6	7	1,7	升级需要主殿等级7级	7000	1000	-1	-1	-1	-1	-1
307	4	圣兽堂	可以提升神兽等级和奖励			7	8	1,8	升级需要主殿等级8级	8000	1000	-1	-1	-1	-1	-1
308	4	圣兽堂	可以提升神兽等级和奖励			8	9	1,9	升级需要主殿等级9级	9000	1000	-1	-1	-1	-1	-1
309	4	圣兽堂	可以提升神兽等级和奖励			9	10	1,10	升级需要主殿等级10级	10000	1000	-1	-1	-1	-1	-1
310	4	圣兽堂	可以提升神兽等级和奖励			10	11	1,11	升级需要主殿等级11级	11000	1000	-1	-1	-1	-1	-1
311	4	圣兽堂	可以提升神兽等级和奖励			11	12	1,12	升级需要主殿等级12级	12000	1000	-1	-1	-1	-1	-1
312	4	圣兽堂	可以提升神兽等级和奖励			12	13	1,13	升级需要主殿等级13级	13000	1000	-1	-1	-1	-1	-1
313	4	圣兽堂	可以提升神兽等级和奖励			13	14	1,14	升级需要主殿等级14级	14000	1000	-1	-1	-1	-1	-1
314	4	圣兽堂	可以提升神兽等级和奖励			14	15	1,15	升级需要主殿等级15级	15000	1000	-1	-1	-1	-1	-1
315	4	圣兽堂	可以提升神兽等级和奖励			15	-1	-1		16000	1000	-1	-1	-1	-1	-1
400	5	演武场	可以提升帮会技能修炼等级上限			0	1	1,1	升级需要主殿等级1级	1000	1000	-1	-1	-1	-1	-1
401	5	演武场	可以提升帮会技能修炼等级上限			1	2	1,2	升级需要主殿等级2级	2000	1000	-1	-1	-1	-1	-1
402	5	演武场	可以提升帮会技能修炼等级上限			2	3	1,3	升级需要主殿等级3级	3000	1000	-1	-1	-1	-1	-1
403	5	演武场	可以提升帮会技能修炼等级上限			3	4	1,4	升级需要主殿等级4级	4000	1000	-1	-1	-1	-1	-1
404	5	演武场	可以提升帮会技能修炼等级上限			4	5	1,5	升级需要主殿等级5级	5000	1000	-1	-1	-1	-1	-1
405	5	演武场	可以提升帮会技能修炼等级上限			5	6	1,6	升级需要主殿等级6级	6000	1000	-1	-1	-1	-1	-1
406	5	演武场	可以提升帮会技能修炼等级上限			6	7	1,7	升级需要主殿等级7级	7000	1000	-1	-1	-1	-1	-1
407	5	演武场	可以提升帮会技能修炼等级上限			7	8	1,8	升级需要主殿等级8级	8000	1000	-1	-1	-1	-1	-1
408	5	演武场	可以提升帮会技能修炼等级上限			8	9	1,9	升级需要主殿等级9级	9000	1000	-1	-1	-1	-1	-1
409	5	演武场	可以提升帮会技能修炼等级上限			9	10	1,10	升级需要主殿等级10级	10000	1000	-1	-1	-1	-1	-1
410	5	演武场	可以提升帮会技能修炼等级上限			10	11	1,11	升级需要主殿等级11级	11000	1000	-1	-1	-1	-1	-1
411	5	演武场	可以提升帮会技能修炼等级上限			11	12	1,12	升级需要主殿等级12级	12000	1000	-1	-1	-1	-1	-1
412	5	演武场	可以提升帮会技能修炼等级上限			12	13	1,13	升级需要主殿等级13级	13000	1000	-1	-1	-1	-1	-1
413	5	演武场	可以提升帮会技能修炼等级上限			13	14	1,14	升级需要主殿等级14级	14000	1000	-1	-1	-1	-1	-1
414	5	演武场	可以提升帮会技能修炼等级上限			14	15	1,15	升级需要主殿等级15级	15000	1000	-1	-1	-1	-1	-1
