ID	Name	FunctionName	Title	Map	xyz	Range	Angle	VisualType	Open	Function	TypeName	FunctionParameter	DefaultTalk	ResId	Bubbling	MapDisplay
10010	村民	-1	-1	100	340.9,21.4,229.0	3	0,84,0	0	0	0	-1	0	蜀中的月色比这里更冷	7,999999,999999,999999	-1	1
10011	游客	<闲人>	-1	100	314.2,21.4,226.4	3	0,84,0	0	0	0	-1	0	眼睛要亮，耳朵要灵	7,999999,999999,999999	-1	1
10012	当扈	<情痴>	-1	100	258.9,14.7,169.1	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	10099,999999,999999,999999	-1	1
10013	小哥哥	<迷路ing>	-1	100	277.6,19.0,152.0	3	0,0,1	0	0	0	-1	0	少...少侠，能别站这么近吗，我我有点不习惯	7,999999,999999,999999	-1	1
10014	村民	<担惊受怕>	-1	100	340.9,21.4,224.6	3	0,0,1	0	0	0	-1	0	少...少侠，能别站这么近吗，我我有点不习惯	7,999999,999999,999999	-1	1
10090	-1	-1	-1	100	398.8,28.9,227.2	5	0,280,0	0	1	5	-1	301	-1	999995,999999,999999,999999	-1	0
10091	异域狩猎	<使者>	-1	100	314.2,21.4,234.2	3	0,0,1	0	0	2	异域狩猎	301100	在下的剑但凡遇见恶人，便会花魂绽放	10099,999999,999999,999999	-1	1
10092	杂货店伙计	-1	-1	100	307.1,21.4,250.2	3	0,0,1	0	0	3	-1	ui/shop/uishopwindow	小本生意，砍我可以，砍价不行！	7,999999,999999,999999	-1	0
10093	杂货店老板	-1	-1	100	303.7,21.4,250.2	3	0,0,1	0	0	3	杂货店	ui/shop/uishopwindow	小本生意，砍我可以，砍价不行！	8,999999,999999,999999	-1	0
10094	跑得快	<传送>	<q=chuansongyuan>	100	308.6,21.4,239.8	3	0,157,0	0	0	2	多人副本	302100	趁着年轻在多干几年	7,999999,999999,999999	-1	0
10095	存的多	<仓库>	<q=cangku>	100	305.1,21.4,239.8	3	0,173,0	0	0	0	-1	0	心情好时是伞，心情不好时就是—剑	7,999999,999999,999999	-1	0
10096	贼有钱	<钱庄>	<q=qianzhuang>	100	301.7,21.4,239.8	3	0,180,0	0	0	0	-1	0	先入市，方可出市。先得道，才可忘道。明白了吗？	7,999999,999999,999999	-1	0
10097	时空裂痕	-1	-1	100	312.4,21.4,256.7	3	0,86,0	0	0	2	单人副本	303,100	从我这里可以快速进入副本！	8,999999,999999,999999	-1	0
10098	天书奇谈	-1	-1	100	312.4,21.4,260.3	3	0,272,0	0	0	0	-1	0	悬赏任务,每日可接取三次！	7,999999,999999,999999	-1	0
10099	每日任务	-1	-1	100	312.4,21.4,265.1	3	0,0,1	0	0	4	领取每日任务	4	完成20次每日任务，能获得大经验奖励。	7,999999,999999,999999	咕噜咕噜~	0
10100	——神都	-1	-1	999999	0,0,0	0	0,0,1	0	0	0	-1	0	-1	999999,999999,999999,999999	-1	0
10101	当扈	<秩序崩坏>	-1	101	279.0,7.7,350.6	3	0,0,1	0	0	0	-1	0	中原的五花肉真便宜	7,999999,999999,999999	-1	1
10102	白书简	<终极大反派>	-1	101	305.8,11.9,359.0	3	0,0,1	0	0	0	-1	0	哪有什么好人，哪有什么坏人	7,999999,999999,999999	-1	1
10103	路人A	<酱油>	-1	101	310.1,12.2,331.6	3	0,0,1	0	0	0	-1	0	今朝有酒今朝醉，哪管明日喝白水	7,999999,999999,999999	-1	1
10104	结缘神	<火把！火把！>	-1	101	332.9,12.4,319.2	3	0,0,1	0	0	0	-1	0	江湖颠簸，不如把东西放在我这	7,999999,999999,999999	-1	1
10105	乔木	-1	-1	101	323.4,17.3,282.9	3	0,0,1	0	0	0	-1	0	蜀中的月色比这里更冷	7,999999,999999,999999	-1	1
10106	戊	-1	-1	101	313.7,21.4,262.4	3	0,0,1	0	0	0	-1	0	眼睛要亮，耳朵要灵	7,999999,999999,999999	-1	1
10107	兼职生	-1	-1	101	313.7,21.4,258.2	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10108	白书简	<招生办主任>	-1	101	347.2,21.4,254.3	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10109	渔船考核	<自定义>	-1	101	341.1,21.4,228.3	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10110	阿飞	-1	-1	101	329.3,21.4,213.6	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10111	司穹峰	-1	-1	101	291.5,21.4,220.3	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10112	司苍峰	-1	-1	101	272.3,17.7,248.9	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10113	甪端	-1	-1	101	248.5,13.3,220.2	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10114	用端	-1	-1	101	260.8,14.7,167.8	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10115	快递大哥	<UPS>	-1	101	325.2,22.4,118.4	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10200	——雾都	-1	-1	999999	0,0,0	0	0,0,1	0	0	0	-1	0	-1	999999,999999,999999,999999	-1	0
10201	狙如	-1	-1	102	279.0,7.7,350.6	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10202	小哥哥	-1	-1	102	305.8,11.9,359.0	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10203	飞廉	-1	-1	102	310.1,12.2,331.6	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10204	陆吾	-1	-1	102	332.9,12.4,319.2	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10205	小姐姐	-1	-1	102	323.4,17.3,282.9	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10206	兼职生	-1	-1	102	313.7,21.4,262.4	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10207	戊	-1	-1	102	313.7,21.4,258.2	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10208	乔木	-1	-1	102	347.2,21.4,254.3	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10209	陆吾	-1	-1	102	341.1,21.4,228.3	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10210	虚空	-1	-1	102	329.3,21.4,213.6	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10211	白书简	-1	-1	102	291.5,21.4,220.3	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10300	——云台山	-1	-1	999999	0,0,0	0	0,0,1	0	0	0	-1	0	-1	999999,999999,999999,999999	-1	0
10301	陆吾	-1	-1	103	279.0,7.7,350.6	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10302	小姐姐	-1	-1	103	305.8,11.9,359.0	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10303	陆吾	-1	-1	103	310.1,12.2,331.6	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10304	戊	-1	-1	103	332.9,12.4,319.2	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
10305	小哥哥	-1	-1	103	323.4,17.3,282.9	3	0,0,1	0	0	0	-1	0	年轻人，多读读书，别习武了	7,999999,999999,999999	-1	1
