ID	SuitName	Part	Count	SuitAttr	Count1	SuitAttr1
57	70级橙色战士防御套装	1,3,5,7	2	24,1400	4	22,1400
58	70级橙色战士攻击套装	2,4,6,8	2	23,1400	4	21,1400
59	70级橙色法师防御套装	1,3,5,7	2	24,1400	4	22,1400
60	70级橙色法师攻击套装	2,4,6,8	2	23,1400	4	21,1400
61	70级橙色射手防御套装	1,3,5,7	2	24,1400	4	22,1400
62	70级橙色射手攻击套装	2,4,6,8	2	23,1400	4	21,1400
63	70级橙色刺客防御套装	1,3,5,7	2	24,1400	4	22,1400
64	70级橙色刺客攻击套装	2,4,6,8	2	23,1400	4	21,1400
65	80级紫色战士防御套装	1,3,5,7	2	24,800	4	22,800
66	80级紫色战士攻击套装	2,4,6,8	2	23,800	4	21,800
67	80级紫色法师防御套装	1,3,5,7	2	24,800	4	22,800
68	80级紫色法师攻击套装	2,4,6,8	2	23,800	4	21,800
69	80级紫色射手防御套装	1,3,5,7	2	24,800	4	22,800
70	80级紫色射手攻击套装	2,4,6,8	2	23,800	4	21,800
71	80级紫色刺客防御套装	1,3,5,7	2	24,800	4	22,800
72	80级紫色刺客攻击套装	2,4,6,8	2	23,800	4	21,800
73	80级橙色战士防御套装	1,3,5,7	2	24,1600	4	22,1600
74	80级橙色战士攻击套装	2,4,6,8	2	23,1600	4	21,1600
75	80级橙色法师防御套装	1,3,5,7	2	24,1600	4	22,1600
76	80级橙色法师攻击套装	2,4,6,8	2	23,1600	4	21,1600
77	80级橙色射手防御套装	1,3,5,7	2	24,1600	4	22,1600
78	80级橙色射手攻击套装	2,4,6,8	2	23,1600	4	21,1600
79	80级橙色刺客防御套装	1,3,5,7	2	24,1600	4	22,1600
80	80级橙色刺客攻击套装	2,4,6,8	2	23,1600	4	21,1600
81	90级紫色战士防御套装	1,3,5,7	2	24,900	4	22,900
82	90级紫色战士攻击套装	2,4,6,8	2	23,900	4	21,900
83	90级紫色法师防御套装	1,3,5,7	2	24,900	4	22,900
84	90级紫色法师攻击套装	2,4,6,8	2	23,900	4	21,900
85	90级紫色射手防御套装	1,3,5,7	2	24,900	4	22,900
86	90级紫色射手攻击套装	2,4,6,8	2	23,900	4	21,900
87	90级紫色刺客防御套装	1,3,5,7	2	24,900	4	22,900
88	90级紫色刺客攻击套装	2,4,6,8	2	23,900	4	21,900
89	90级橙色战士防御套装	1,3,5,7	2	24,1800	4	22,1800
90	90级橙色战士攻击套装	2,4,6,8	2	23,1800	4	21,1800
91	90级橙色法师防御套装	1,3,5,7	2	24,1800	4	22,1800
92	90级橙色法师攻击套装	2,4,6,8	2	23,1800	4	21,1800
93	90级橙色射手防御套装	1,3,5,7	2	24,1800	4	22,1800
94	90级橙色射手攻击套装	2,4,6,8	2	23,1800	4	21,1800
95	90级橙色刺客防御套装	1,3,5,7	2	24,1800	4	22,1800
96	90级橙色刺客攻击套装	2,4,6,8	2	23,1800	4	21,1800
97	100级紫色战士防御套装	1,3,5,7	2	24,1000	4	22,1000
98	100级紫色战士攻击套装	2,4,6,8	2	23,1000	4	21,1000
99	100级紫色法师防御套装	1,3,5,7	2	24,1000	4	22,1000
100	100级紫色法师攻击套装	2,4,6,8	2	23,1000	4	21,1000
101	100级紫色射手防御套装	1,3,5,7	2	24,1000	4	22,1000
102	100级紫色射手攻击套装	2,4,6,8	2	23,1000	4	21,1000
103	100级紫色刺客防御套装	1,3,5,7	2	24,1000	4	22,1000
104	100级紫色刺客攻击套装	2,4,6,8	2	23,1000	4	21,1000
105	100级橙色战士防御套装	1,3,5,7	2	24,2000	4	22,2000
106	100级橙色战士攻击套装	2,4,6,8	2	23,2000	4	21,2000
107	100级橙色法师防御套装	1,3,5,7	2	24,2000	4	22,2000
108	100级橙色法师攻击套装	2,4,6,8	2	23,2000	4	21,2000
109	100级橙色射手防御套装	1,3,5,7	2	24,2000	4	22,2000
110	100级橙色射手攻击套装	2,4,6,8	2	23,2000	4	21,2000
111	100级橙色刺客防御套装	1,3,5,7	2	24,2000	4	22,2000
