ID	beizhu	Delay	DamgeTime	Degree	Interval	SearchTarget	Scope	SearchMode	count	HitEffect	HitSound	SelfBuffId	FriendBuffId	EnemyBuffId	SelfHurtID	FriendHurtID	EnemyHurtID	beizhu1
2220	单体引爆2	333	0	4	500	3	3,1,1,1	2	1	15	0	-1	-1	-1	-1	-1	2220	
2230	自身增益	333	0	4	500	1	3,1,1,1	2	1	0	0	2111	-1	-1	-1	-1	2220	移动暴击
2240	陨石天降	1000	0	1	0	3	2,360,4,5	1	6	0	0	-1	-1	2240,40005	-1	-1	2240	
2100	单体引爆2	667	0	1	0	2	2,360,3,5	1	6	0	0	-1	-1	2100,40002	-1	-1	2100	
2320	群体净化	600	0	1	0	1	0	-1	1	0	0	40007,40010	-1	-1	2320	-1	-1	
2330	群体恢复	200	0	0	0	1,2	2,360,3,5	1	6	0	0	2330	2330	40004	-1	-1	2330	加血
3000	枪手普攻1	400	2000	1	0	3	3,1,1,1	2	1	206	0	-1	-1	-1	-1	-1	3001	
3001	枪手普攻2	500	2000	1	0	3	3,1,1,1	2	1	206	0	-1	-1	-1	-1	-1	3002	
3002	枪手普攻2	534	2000	1	0	3	3,1,1,1	2	1	206	0	-1	-1	-1	-1	-1	3003	
3010	扫射	167	0	3	300	3	2,90,8,5	1	6	209	0	-1	-1	-1	-1	-1	3010	
3020	贯穿	429	0	1	0	3	3,5,3,9	2	6	209	0	-1	-1	-1	-1	-1	3020			2330					2330
3030	翻滚	335	333	1	0	3	3,2,2,5	2	6	0	0	3030	-1	-1	-1	-1	3030	加速（后续改）
3040	弹雨	800	0	3	200	3	2,360,4,5	1	6	0	0	-1	-1	-1	-1	-1	3040	
3140	弹幕	0	0	5	333	3	2,360,5,5	1	6	0	0	-1	-1	-1	-1	-1	3050	
4050	冲刺	0	0	5	200	3	3,1,1,1	2	6	0	0	-1	-1	-1	-1	-1	4050	
7030	跳跃	400	0	1	0	3	2,360,3.5,5	2	6	0	0	-1	-1	-1	-1	-1	7030	
10000	冰甲	150	0	1	0	3	2,360,8,8	1	10	0	0	-1	-1	10001	-1	-1	10000	
20000	测试技能	400	0	1	0	3	2,90,2,5	1	4	0	0	-1	-1	20000	-1	-1	20000	
20001	测试技能	400	0	1	0	3	2,90,2,5	1	4	0	0	-1	-1	20001	-1	-1	20001	
20002	测试技能	400	0	1	0	3	2,90,2,5	1	4	0	0	-1	-1	20002	-1	-1	20002	
20003	测试技能	400	0	1	0	3	2,90,2,5	1	4	0	0	-1	-1	20003	-1	-1	20003	
20004	测试技能	400	0	1	0	3	2,90,2,5	1	4	0	0	-1	-1	20004	-1	-1	20004	
20005	测试技能	400	0	1	0	3	2,90,2,5	1	4	0	0	-1	-1	20005	-1	-1	20005	
20006	测试技能	400	0	1	0	3	2,90,2,5	1	4	0	0	-1	-1	20006	-1	-1	20006	
20007	测试技能	400	0	1	0	3	2,90,2,5	1	4	0	0	-1	-1	20007,200071	-1	-1	20007	
20008	测试技能	400	0	1	0	3	2,90,2,5	1	4	0	0	-1	-1	-1	-1	-1	20008	
200081	测试技能	0	0	1	0	1	0	-1	1	0	0	-1	-1	-1	-1	-1	20008	
1000101	普攻-tongqu	0	0	1	0	3	2,90,2,5	2	1	0	0	-1	-1	0	-1	-1	1000101	
1000201	普攻-嚻	0	0	1	0	3	0	2	1	0	0	-1	-1	0	-1	-1	1000201	
1000301	普攻-竦斯	0	0	1	0	3	0	2	1	0	0	-1	-1	0	-1	-1	1000301	
1000302	技能-竦斯	0	0	5	200	3	3,6,1,1	2	5	0	0	-1	-1	0	-1	-1	1000302	
1000401	普攻-孟极	0	0	1	0	3	2,90,2,5	2	1	0	0	-1	-1	0	-1	-1	1000401	
1000501	BOSS普通	0	0	1	0	3	2,90,2,5	2	1	0	0	-1	-1	0	-1	-1	1000501	
1000502	BOSS技能一	0	0	1	0	3	2,90,2,5	2	1	0	0	-1	-1	0	-1	-1	1000502	
1000503	BOSS技能二	0	0	1	0	3	2,90,2,5	2	1	0	0	-1	-1	0	-1	-1	1000503	
1000504	BOSS技能三	0	0	1	0	3	2,90,2,5	2	1	0	0	-1	-1	0	-1	-1	1000504	
1000505	BOSS技能四	0	0	1	0	3	2,90,2,5	2	1	0	0	-1	-1	0	-1	-1	1000505	
2000001	火域	0	1000	4	1000	3	2,360,4,5	2	6	7000	0	-1	-1	2070	-1	-1	-1	
2000002	地刺	333	100	1	0	3	2,360,3,5	2	6	16	0	-1	-1	2070	-1	-1	-1	
2000011	友方加血	400	0	1	1000	2	2,360,4,5	2	6	7000	0	-1	-1	200083	-1	-1	-1	生命
2000012	友方加攻击	333	0	1	0	2	2,360,3,5	2	6	16	0	-1	-1	1051	-1	-1	-1	加攻击
41000	测-额外伤害	400	0	1	0	1	0	-1	1	0	0	41000	-1	-1	41000	-1	-1	额外伤害
41001	测-反伤	400	0	1	0	1	0	-1	1	0	0	41001	-1	-1	41001	-1	-1	反伤
41002	测-无敌	400	0	1	0	1	0	-1	1	0	0	41002	-1	-1	41002	-1	-1	无敌
41003	测-霸体	400	0	1	0	1	0	-1	1	0	0	41003	-1	-1	41003	-1	-1	霸体
41004	测-物免	400	0	1	0	1	0	-1	1	0	0	41004	-1	-1	41004	-1	-1	物免
41005	测-隐身	400	0	1	0	1	0	-1	1	0	0	41005	-1	-1	41005	-1	-1	隐身
41006	测-降低具体槽位的技能CD	400	0	1	0	1	0	-1	1	0	0	41006	-1	-1	41006	-1	-1	降低具体槽位的技能CD
41007	测-驱散	400	0	1	0	1	0	-1	1	0	0	41007	-1	-1	41007	-1	-1	驱散
41008	测-属性转化	400	0	1	0	1	0	-1	1	0	0	41008	-1	-1	41008	-1	-1	属性转化
41009	测-属性提升	400	0	1	0	1	0	-1	1	0	0	41009	-1	-1	41009	-1	-1	属性提升
41010	测-减血、霸体	400	0	1	0	1	0	-1	1	0	0	41010	-1	-1	41010	-1	-1	减血、霸体
41012	反伤	400	0	1	0	1	0	-1	1	0	0	41012	-1	-1	41012	-1	-1	反伤
