ID	Type	UnitType	UnitId	UnitCallDistance	UnitCount	UnitCallAngle	UnitAliveTime	UnitAliveNum	UnitDeathBound	Ai	paramList	Remark1	Attr	StatBound
10	1	1	9999905	1,0	1	0,0	30000	1	1	1	999999		11	{2,5000},{1,2005}
11	1	1	9999901	1,0	1	0,0	30000	1	1	1	999999		11	{1,5006}
12	1	1	9999902	1,0	1	0,0	30000	1	1	1	999999		11	{2,5000},{1,2006}
13	1	1	9999903	1,0	1	0,0	30000	1	1	1	999999		11	{1,5007}
14	1	1	9999904	1,0	1	0,0	30000	1	1	1	999999		11	{2,5000},{1,2007}
15	1	1	9999905	1,0	1	0,0	30000	1	1	1	999999		11	{1,5008}
201	2	1	10001	1,0	1	0,0	30000	1	1	2000	2000001,-1	基础机关：碰撞ID、二次召唤ID（该召唤物消失时，触发二次召唤）	11	{1,5008}
202	2	1	10001	1,0	1	0,0	30000	1	1	2010	2000001,-1	跟随目标（光环、）：碰撞ID、二次召唤ID（该召唤物消失时，触发二次召唤）	11	{1,5008}
203	2	1	10001	1,0	1	0,0	30000	1	1	2020	2000001,2	护盾爆炸-跟随召唤者，显示虚拟血条：召唤物消失碰撞、特效（该召唤物消失时，爆炸）	11	{1,5008}
300	3	2	2	0,0	1	0,0	30000	-1	0	1000	10,2001,10	直线锁定目标（单体）：移动速度、碰撞ID、无目标最大距离	-1	-1
301	3	2	2	0,0	3	-30,30	30000	-1	0	1001	10,2001	直线向前（远离召唤者前进）：移动速度、碰撞ID	-1	-1
302	3	2	100001	0,0	1	0,0	40000	-1	0	1010	6,10,2000,1	抛物线抛地-固定时间(碰到目标不销毁，碰到地面销毁，抛物点技能选取)：垂直速度、G、碰撞ID、二次召唤ID（填-1，不召唤）	-1	-1
350	3	2	100001	1,0	5	-60,30	40000	-1	0	1011	1600,5,2000,1	抛物线-聚焦：移动时间（毫秒）、上抛高度、碰撞ID、二次召唤ID（填-1，不召唤）	-1	-1
304	3	2	100001	0,0	1	0,0	40000	-1	0	1020	4,10,2000,1	抛物线固定位移(碰到目标不销毁，碰到地面销毁，抛物点由技能释放中心决定)：水平速度、重力加速度、碰撞ID、二次召唤ID（填-1，不召唤）	-1	-1
306	3	2	2	0,0	1	0,0	40000	-1	0	1030	20,10,1,5,2000,1000	弹射伤害：弹射速度、弹射下一个目标的最远距离、是否是单体、弹几次、碰撞ID、伤害衰减(万分比)	-1	-1
307	3	2	2	0,0	3	-30,30	30000	-1	0	1040	10,8,1,1,2001,1000	回旋镖（远离召唤者前进）：移动速度、最远距离、停留时间（秒）、是否返回、碰撞ID、伤害衰减(万分比)	-1	-1
308	3	2	100001	0,0	1	0,0	30000	-1	0	1050	10,8,12001	抓取-碰到就返回：移动速度、最远距离、碰撞ID	-1	-1
2000	3	2	2	0.5,1	1	0,0	30000	-1	0	1000	10,2001,10	直线锁定目标（单体）：移动速度、碰撞ID、无目标最大距离	-1	-1
2001	3	2	2	0.5,1	3	-30,30	30000	-1	0	1001	10,2001	直线向前（远离召唤者前进）：移动速度、碰撞ID	-1	-1
2002	3	2	100001	0,0	1	0,0	40000	-1	0	1010	6,10,2000,1	抛物线抛地-固定时间(碰到目标不销毁，碰到地面销毁，抛物点技能选取)：垂直速度、G、碰撞ID、二次召唤ID（填-1，不召唤）	-1	-1
2004	3	2	100001	0,0	1	0,0	40000	-1	0	1020	4,10,2000,1	抛物线固定位移(碰到目标不销毁，碰到地面销毁，抛物点由技能释放中心决定)：水平速度、重力加速度、碰撞ID、二次召唤ID（填-1，不召唤）	-1	-1
2006	3	2	100001	0,0	1	0,0	40000	-1	0	1030	20,10,1,5,2000,1000	弹射伤害：弹射速度、弹射下一个目标的最远距离、是否是单体、弹几次、碰撞ID、伤害衰减(万分比)	-1	-1
3001	3	2	203	0.5,1.2	1	0,0	40000	-1	0	1000	10,3000,10	枪手普攻1	-1	-1
3002	3	2	204	0.5,1.2	1	0,0	40000	-1	0	1000	10,3001,10	枪手普攻2	-1	-1
3003	3	2	205	0.5,1.2	1	0,0	40000	-1	0	1000	10,3002,10	枪手普攻3	-1	-1
1000201	3	2	100001	0,0	1	0,0	30000	-1	0	1000	102002	直线锁定目标（单体）：移动速度、碰撞ID	-1	-1
1000301	3	2	100001	0,0	1	0,0	30000	-1	0	1000	10,2002,10	直线锁定目标（单体）：移动速度、碰撞ID	-1	-1
31010	3	2	2	0,0	7	-30,10	30000	-1	0	1001	102002	7个向前飞弹	-1	-1
31110	3	2	2	0,0	1	0,0	30000	-1	0	1001	102002	陆续发射5个	-1	-1
31210	3	2	2	0,0	1	0,0	40000	-1	0	1030	20,10,1,5,2000,1000	弹射	-1	-1
31310	3	2	2	0,0	7	-75,30	30000	-1	0	1001	102002	前半屏幕	-1	-1
31020	3	2	2	0,0	7	105,30	30000	-1	0	1001	102002	后半屏幕	-1	-1
31120	3	2	100001	0.8,1.1	5	-60,30	40000	-1	0	1010	6,10,2002,201	5条抛物线-时间	-1	-1
31220	3	2	100001	0.8,1.1	1	0,0	40000	-1	0	1010	6,10,2002,1	时间抛物，召唤怪	-1	-1
31320	3	2	100001	0.8,1.1	3	-30,30	40000	-1	0	1020	5,10,2002,201	3条抛物线-位移	-1	-1
31030	3	2	100001	0.8,1.1	5	-60,30	40000	-1	0	1011	1600,5,2002,1	5条抛物线-聚焦投射点	-1	-1
31130	3	2	100001	0.8,1.1	1	0,0	40000	-1	0	1010	6,10,2002,1	时间抛物、召唤怪	-1	-1
