ID	PartType	PartName	PrimaryAttribute	Number	AdditionAttr	SuitAttr	SuitId
1180112	8	10级绿色战士戒指	{2,336,672},{7,48,96}	1,10000	{1000,1,160,800},{300,1,160,800},{100,1,160,800},{1000,2,56,280},{300,2,56,280},{100,2,56,280},{1000,3,32,160},{300,3,32,160},{100,3,32,160},{1000,4,32,160},{300,4,32,160},{100,4,32,160},{1000,5,40,200},{300,5,40,200},{100,5,40,200},{1000,6,40,200},{300,6,40,200},{100,6,40,200},{1000,7,12,60},{300,7,12,60},{100,7,12,60},{1000,8,12,60},{300,8,12,60},{100,8,12,60},{1000,9,12,60},{300,9,12,60},{100,9,12,60},{1000,10,12,60},{300,10,12,60},{100,10,12,60},{1000,11,12,60},{300,11,12,60},{100,11,12,60},{1000,13,20,100},{300,13,20,100},{100,13,20,100},{1000,14,20,100},{300,14,20,100},{100,14,20,100},{1000,15,10,50},{300,15,10,50},{100,15,10,50},{1000,16,20,100},{300,16,20,100},{100,16,20,100},{1000,19,12,60},{300,19,12,60},{100,19,12,60}	0	-1
1110113	1	20级蓝色战士头盔	{5,240,480},{6,240,480}	2,10000	{1000,1,240,1200},{300,1,240,1200},{100,1,240,1200},{1000,2,84,420},{300,2,84,420},{100,2,84,420},{1000,3,48,240},{300,3,48,240},{100,3,48,240},{1000,4,48,240},{300,4,48,240},{100,4,48,240},{1000,5,60,300},{300,5,60,300},{100,5,60,300},{1000,6,60,300},{300,6,60,300},{100,6,60,300},{1000,7,18,90},{300,7,18,90},{100,7,18,90},{1000,8,18,90},{300,8,18,90},{100,8,18,90},{1000,9,18,90},{300,9,18,90},{100,9,18,90},{1000,10,18,90},{300,10,18,90},{100,10,18,90},{1000,11,18,90},{300,11,18,90},{100,11,18,90},{1000,13,30,150},{300,13,30,150},{100,13,30,150},{1000,14,30,150},{300,14,30,150},{100,14,30,150},{1000,15,15,75},{300,15,15,75},{100,15,15,75},{1000,16,30,150},{300,16,30,150},{100,16,30,150},{1000,19,18,90},{300,19,18,90},{100,19,18,90}	0	-1
1120113	2	20级蓝色战士武器	{3,288,576},{7,108,216}	2,10000	{1000,1,240,1200},{300,1,240,1200},{100,1,240,1200},{1000,2,84,420},{300,2,84,420},{100,2,84,420},{1000,3,48,240},{300,3,48,240},{100,3,48,240},{1000,4,48,240},{300,4,48,240},{100,4,48,240},{1000,5,60,300},{300,5,60,300},{100,5,60,300},{1000,6,60,300},{300,6,60,300},{100,6,60,300},{1000,7,18,90},{300,7,18,90},{100,7,18,90},{1000,8,18,90},{300,8,18,90},{100,8,18,90},{1000,9,18,90},{300,9,18,90},{100,9,18,90},{1000,10,18,90},{300,10,18,90},{100,10,18,90},{1000,11,18,90},{300,11,18,90},{100,11,18,90},{1000,13,30,150},{300,13,30,150},{100,13,30,150},{1000,14,30,150},{300,14,30,150},{100,14,30,150},{1000,15,15,75},{300,15,15,75},{100,15,15,75},{1000,16,30,150},{300,16,30,150},{100,16,30,150},{1000,19,18,90},{300,19,18,90},{100,19,18,90}	0	-1
1130113	3	20级蓝色战士衣服	{1,1440,2880},{2,336,672}	2,10000	{1000,1,240,1200},{300,1,240,1200},{100,1,240,1200},{1000,2,84,420},{300,2,84,420},{100,2,84,420},{1000,3,48,240},{300,3,48,240},{100,3,48,240},{1000,4,48,240},{300,4,48,240},{100,4,48,240},{1000,5,60,300},{300,5,60,300},{100,5,60,300},{1000,6,60,300},{300,6,60,300},{100,6,60,300},{1000,7,18,90},{300,7,18,90},{100,7,18,90},{1000,8,18,90},{300,8,18,90},{100,8,18,90},{1000,9,18,90},{300,9,18,90},{100,9,18,90},{1000,10,18,90},{300,10,18,90},{100,10,18,90},{1000,11,18,90},{300,11,18,90},{100,11,18,90},{1000,13,30,150},{300,13,30,150},{100,13,30,150},{1000,14,30,150},{300,14,30,150},{100,14,30,150},{1000,15,15,75},{300,15,15,75},{100,15,15,75},{1000,16,30,150},{300,16,30,150},{100,16,30,150},{1000,19,18,90},{300,19,18,90},{100,19,18,90}	0	-1
1140113	4	20级蓝色战士项链	{3,96,192},{6,180,360}	2,10000	{1000,1,240,1200},{300,1,240,1200},{100,1,240,1200},{1000,2,84,420},{300,2,84,420},{100,2,84,420},{1000,3,48,240},{300,3,48,240},{100,3,48,240},{1000,4,48,240},{300,4,48,240},{100,4,48,240},{1000,5,60,300},{300,5,60,300},{100,5,60,300},{1000,6,60,300},{300,6,60,300},{100,6,60,300},{1000,7,18,90},{300,7,18,90},{100,7,18,90},{1000,8,18,90},{300,8,18,90},{100,8,18,90},{1000,9,18,90},{300,9,18,90},{100,9,18,90},{1000,10,18,90},{300,10,18,90},{100,10,18,90},{1000,11,18,90},{300,11,18,90},{100,11,18,90},{1000,13,30,150},{300,13,30,150},{100,13,30,150},{1000,14,30,150},{300,14,30,150},{100,14,30,150},{1000,15,15,75},{300,15,15,75},{100,15,15,75},{1000,16,30,150},{300,16,30,150},{100,16,30,150},{1000,19,18,90},{300,19,18,90},{100,19,18,90}	0	-1
1150113	5	20级蓝色战士腰带	{1,480,960},{5,180,360}	2,10000	{1000,1,240,1200},{300,1,240,1200},{100,1,240,1200},{1000,2,84,420},{300,2,84,420},{100,2,84,420},{1000,3,48,240},{300,3,48,240},{100,3,48,240},{1000,4,48,240},{300,4,48,240},{100,4,48,240},{1000,5,60,300},{300,5,60,300},{100,5,60,300},{1000,6,60,300},{300,6,60,300},{100,6,60,300},{1000,7,18,90},{300,7,18,90},{100,7,18,90},{1000,8,18,90},{300,8,18,90},{100,8,18,90},{1000,9,18,90},{300,9,18,90},{100,9,18,90},{1000,10,18,90},{300,10,18,90},{100,10,18,90},{1000,11,18,90},{300,11,18,90},{100,11,18,90},{1000,13,30,150},{300,13,30,150},{100,13,30,150},{1000,14,30,150},{300,14,30,150},{100,14,30,150},{1000,15,15,75},{300,15,15,75},{100,15,15,75},{1000,16,30,150},{300,16,30,150},{100,16,30,150},{1000,19,18,90},{300,19,18,90},{100,19,18,90}	0	-1
1160113	6	20级蓝色战士手镯	{3,96,192},{5,180,360}	2,10000	{1000,1,240,1200},{300,1,240,1200},{100,1,240,1200},{1000,2,84,420},{300,2,84,420},{100,2,84,420},{1000,3,48,240},{300,3,48,240},{100,3,48,240},{1000,4,48,240},{300,4,48,240},{100,4,48,240},{1000,5,60,300},{300,5,60,300},{100,5,60,300},{1000,6,60,300},{300,6,60,300},{100,6,60,300},{1000,7,18,90},{300,7,18,90},{100,7,18,90},{1000,8,18,90},{300,8,18,90},{100,8,18,90},{1000,9,18,90},{300,9,18,90},{100,9,18,90},{1000,10,18,90},{300,10,18,90},{100,10,18,90},{1000,11,18,90},{300,11,18,90},{100,11,18,90},{1000,13,30,150},{300,13,30,150},{100,13,30,150},{1000,14,30,150},{300,14,30,150},{100,14,30,150},{1000,15,15,75},{300,15,15,75},{100,15,15,75},{1000,16,30,150},{300,16,30,150},{100,16,30,150},{1000,19,18,90},{300,19,18,90},{100,19,18,90}	0	-1
1170113	7	20级蓝色战士鞋子	{1,480,960},{6,180,360}	2,10000	{1000,1,240,1200},{300,1,240,1200},{100,1,240,1200},{1000,2,84,420},{300,2,84,420},{100,2,84,420},{1000,3,48,240},{300,3,48,240},{100,3,48,240},{1000,4,48,240},{300,4,48,240},{100,4,48,240},{1000,5,60,300},{300,5,60,300},{100,5,60,300},{1000,6,60,300},{300,6,60,300},{100,6,60,300},{1000,7,18,90},{300,7,18,90},{100,7,18,90},{1000,8,18,90},{300,8,18,90},{100,8,18,90},{1000,9,18,90},{300,9,18,90},{100,9,18,90},{1000,10,18,90},{300,10,18,90},{100,10,18,90},{1000,11,18,90},{300,11,18,90},{100,11,18,90},{1000,13,30,150},{300,13,30,150},{100,13,30,150},{1000,14,30,150},{300,14,30,150},{100,14,30,150},{1000,15,15,75},{300,15,15,75},{100,15,15,75},{1000,16,30,150},{300,16,30,150},{100,16,30,150},{1000,19,18,90},{300,19,18,90},{100,19,18,90}	0	-1
1180113	8	20级蓝色战士戒指	{2,504,1008},{7,72,144}	2,10000	{1000,1,240,1200},{300,1,240,1200},{100,1,240,1200},{1000,2,84,420},{300,2,84,420},{100,2,84,420},{1000,3,48,240},{300,3,48,240},{100,3,48,240},{1000,4,48,240},{300,4,48,240},{100,4,48,240},{1000,5,60,300},{300,5,60,300},{100,5,60,300},{1000,6,60,300},{300,6,60,300},{100,6,60,300},{1000,7,18,90},{300,7,18,90},{100,7,18,90},{1000,8,18,90},{300,8,18,90},{100,8,18,90},{1000,9,18,90},{300,9,18,90},{100,9,18,90},{1000,10,18,90},{300,10,18,90},{100,10,18,90},{1000,11,18,90},{300,11,18,90},{100,11,18,90},{1000,13,30,150},{300,13,30,150},{100,13,30,150},{1000,14,30,150},{300,14,30,150},{100,14,30,150},{1000,15,15,75},{300,15,15,75},{100,15,15,75},{1000,16,30,150},{300,16,30,150},{100,16,30,150},{1000,19,18,90},{300,19,18,90},{100,19,18,90}	0	-1
1110114	1	30级紫色战士头盔	{5,320,640},{6,320,640}	3,9900,4,100	{1000,1,320,1600},{300,1,320,1600},{100,1,320,1600},{1000,2,112,560},{300,2,112,560},{100,2,112,560},{1000,3,64,320},{300,3,64,320},{100,3,64,320},{1000,4,64,320},{300,4,64,320},{100,4,64,320},{1000,5,80,400},{300,5,80,400},{100,5,80,400},{1000,6,80,400},{300,6,80,400},{100,6,80,400},{1000,7,24,120},{300,7,24,120},{100,7,24,120},{1000,8,24,120},{300,8,24,120},{100,8,24,120},{1000,9,24,120},{300,9,24,120},{100,9,24,120},{1000,10,24,120},{300,10,24,120},{100,10,24,120},{1000,11,24,120},{300,11,24,120},{100,11,24,120},{1000,13,40,200},{300,13,40,200},{100,13,40,200},{1000,14,40,200},{300,14,40,200},{100,14,40,200},{1000,15,20,100},{300,15,20,100},{100,15,20,100},{1000,16,40,200},{300,16,40,200},{100,16,40,200},{1000,19,24,120},{300,19,24,120},{100,19,24,120}	0	-1
1120114	2	30级紫色战士武器	{3,384,768},{7,144,288}	3,9900,4,100	{1000,1,320,1600},{300,1,320,1600},{100,1,320,1600},{1000,2,112,560},{300,2,112,560},{100,2,112,560},{1000,3,64,320},{300,3,64,320},{100,3,64,320},{1000,4,64,320},{300,4,64,320},{100,4,64,320},{1000,5,80,400},{300,5,80,400},{100,5,80,400},{1000,6,80,400},{300,6,80,400},{100,6,80,400},{1000,7,24,120},{300,7,24,120},{100,7,24,120},{1000,8,24,120},{300,8,24,120},{100,8,24,120},{1000,9,24,120},{300,9,24,120},{100,9,24,120},{1000,10,24,120},{300,10,24,120},{100,10,24,120},{1000,11,24,120},{300,11,24,120},{100,11,24,120},{1000,13,40,200},{300,13,40,200},{100,13,40,200},{1000,14,40,200},{300,14,40,200},{100,14,40,200},{1000,15,20,100},{300,15,20,100},{100,15,20,100},{1000,16,40,200},{300,16,40,200},{100,16,40,200},{1000,19,24,120},{300,19,24,120},{100,19,24,120}	0	-1
