ID	Dce	GemType	GemAttr	LevelUp	GemExp	ResolveExp
72028	绿色生命回复宝石8级	1	14,34	72029	4451	3265
72029	绿色生命回复宝石9级	1	14,48	-1	10530	7716
72031	绿色物理防御宝石1级	1	5,7	72032	19	3
72032	绿色物理防御宝石2级	1	5,10	72033	26	22
72033	绿色物理防御宝石3级	1	5,13	72034	59	48
72034	绿色物理防御宝石4级	1	5,18	72035	142	107
72035	绿色物理防御宝石5级	1	5,25	72036	337	249
72036	绿色物理防御宝石6级	1	5,35	72037	796	586
72037	绿色物理防御宝石7级	1	5,49	72038	1883	1382
72038	绿色物理防御宝石8级	1	5,68	72039	4451	3265
72039	绿色物理防御宝石9级	1	5,96	-1	10530	7716
72041	绿色法术防御宝石1级	1	6,7	72042	19	3
72042	绿色法术防御宝石2级	1	6,10	72043	26	22
72043	绿色法术防御宝石3级	1	6,13	72044	59	48
72044	绿色法术防御宝石4级	1	6,18	72045	142	107
72045	绿色法术防御宝石5级	1	6,25	72046	337	249
72046	绿色法术防御宝石6级	1	6,35	72047	796	586
72047	绿色法术防御宝石7级	1	6,49	72048	1883	1382
72048	绿色法术防御宝石8级	1	6,68	72049	4451	3265
72049	绿色法术防御宝石9级	1	6,96	-1	10530	7716
72051	绿色法力宝石1级	2	2,4	72052	19	3
72052	绿色法力宝石2级	2	2,5	72053	26	22
72053	绿色法力宝石3级	2	2,7	72054	59	48
72054	绿色法力宝石4级	2	2,9	72055	142	107
72055	绿色法力宝石5级	2	2,13	72056	337	249
72056	绿色法力宝石6级	2	2,18	72057	796	586
72057	绿色法力宝石7级	2	2,25	72058	1883	1382
72058	绿色法力宝石8级	2	2,34	72059	4451	3265
72059	绿色法力宝石9级	2	2,48	-1	10530	7716
72061	绿色法力回复宝石1级	2	15,4	72062	19	3
72062	绿色法力回复宝石2级	2	15,5	72063	26	22
72063	绿色法力回复宝石3级	2	15,7	72064	59	48
72064	绿色法力回复宝石4级	2	15,9	72065	142	107
72065	绿色法力回复宝石5级	2	15,13	72066	337	249
72066	绿色法力回复宝石6级	2	15,18	72067	796	586
72067	绿色法力回复宝石7级	2	15,25	72068	1883	1382
72068	绿色法力回复宝石8级	2	15,34	72069	4451	3265
72069	绿色法力回复宝石9级	2	15,48	-1	10530	7716
72071	绿色物理攻击宝石1级	2	3,7	72072	19	3
72072	绿色物理攻击宝石2级	2	3,10	72073	26	22
72073	绿色物理攻击宝石3级	2	3,13	72074	59	48
72074	绿色物理攻击宝石4级	2	3,18	72075	142	107
72075	绿色物理攻击宝石5级	2	3,25	72076	337	249
72076	绿色物理攻击宝石6级	2	3,35	72077	796	586
72077	绿色物理攻击宝石7级	2	3,49	72078	1883	1382
72078	绿色物理攻击宝石8级	2	3,68	72079	4451	3265
72079	绿色物理攻击宝石9级	2	3,96	-1	10530	7716
72081	绿色法术攻击宝石1级	2	4,7	72082	19	3
72082	绿色法术攻击宝石2级	2	4,10	72083	26	22
72083	绿色法术攻击宝石3级	2	4,13	72084	59	48
72084	绿色法术攻击宝石4级	2	4,18	72085	142	107
72085	绿色法术攻击宝石5级	2	4,25	72086	337	249
72086	绿色法术攻击宝石6级	2	4,35	72087	796	586
72087	绿色法术攻击宝石7级	2	4,49	72088	1883	1382
72088	绿色法术攻击宝石8级	2	4,68	72089	4451	3265
72089	绿色法术攻击宝石9级	2	4,96	-1	10530	7716
73011	蓝色生命宝石1级	1	1,42	73012	35	9
73012	蓝色生命宝石2级	1	1,60	73013	49	44
73013	蓝色生命宝石3级	1	1,84	73014	110	93
73014	蓝色生命宝石4级	1	1111	73015	265	203
73015	蓝色生命宝石5级	1	1157	73016	628	468
73016	蓝色生命宝石6级	1	1224	73017	1483	1096
73017	蓝色生命宝石7级	1	1312	73018	3510	2579
73018	蓝色生命宝石8级	1	1436	73019	8297	6089
73019	蓝色生命宝石9级	1	1613	-1	19628	14386
73021	蓝色生命回复宝石1级	1	14,6	73022	35	9
73022	蓝色生命回复宝石2级	1	14,8	73023	49	44
73023	蓝色生命回复宝石3级	1	14,11	73024	110	93
73024	蓝色生命回复宝石4级	1	14,14	73025	265	203
73025	蓝色生命回复宝石5级	1	14,20	73026	628	468
73026	蓝色生命回复宝石6级	1	14,28	73027	1483	1096
73027	蓝色生命回复宝石7级	1	14,39	73028	3510	2579
73028	蓝色生命回复宝石8级	1	14,55	73029	8297	6089
73029	蓝色生命回复宝石9级	1	14,77	-1	19628	14386
73031	蓝色物理防御宝石1级	1	5,11	73032	35	9
73032	蓝色物理防御宝石2级	1	5,15	73033	49	44
73033	蓝色物理防御宝石3级	1	5,21	73034	110	93
73034	蓝色物理防御宝石4级	1	5,28	73035	265	203
73035	蓝色物理防御宝石5级	1	5,40	73036	628	468
73036	蓝色物理防御宝石6级	1	5,56	73037	1483	1096
73037	蓝色物理防御宝石7级	1	5,78	73038	3510	2579
73038	蓝色物理防御宝石8级	1	5109	73039	8297	6089
73039	蓝色物理防御宝石9级	1	5154	-1	19628	14386
73041	蓝色法术防御宝石1级	1	6,11	73042	35	9
73042	蓝色法术防御宝石2级	1	6,15	73043	49	44
73043	蓝色法术防御宝石3级	1	6,21	73044	110	93
73044	蓝色法术防御宝石4级	1	6,28	73045	265	203
73045	蓝色法术防御宝石5级	1	6,40	73046	628	468
73046	蓝色法术防御宝石6级	1	6,56	73047	1483	1096
73047	蓝色法术防御宝石7级	1	6,78	73048	3510	2579
73048	蓝色法术防御宝石8级	1	6109	73049	8297	6089
73049	蓝色法术防御宝石9级	1	6154	-1	19628	14386
73051	蓝色物理吸血宝石1级	1	9,6	73052	35	9
73052	蓝色物理吸血宝石2级	1	9,8	73053	49	44
73053	蓝色物理吸血宝石3级	1	9,11	73054	110	93
73054	蓝色物理吸血宝石4级	1	9,14	73055	265	203
73055	蓝色物理吸血宝石5级	1	9,20	73056	628	468
73056	蓝色物理吸血宝石6级	1	9,28	73057	1483	1096
73057	蓝色物理吸血宝石7级	1	9,39	73058	3510	2579
73058	蓝色物理吸血宝石8级	1	9,55	73059	8297	6089
73059	蓝色物理吸血宝石9级	1	9,77	-1	19628	14386
73061	蓝色法术吸血宝石1级	1	10,6	73062	35	9
73062	蓝色法术吸血宝石2级	1	10,8	73063	49	44
73063	蓝色法术吸血宝石3级	1	10,11	73064	110	93
73064	蓝色法术吸血宝石4级	1	10,14	73065	265	203
73065	蓝色法术吸血宝石5级	1	10,20	73066	628	468
73066	蓝色法术吸血宝石6级	1	10,28	73067	1483	1096
73067	蓝色法术吸血宝石7级	1	10,39	73068	3510	2579
73068	蓝色法术吸血宝石8级	1	10,55	73069	8297	6089
73069	蓝色法术吸血宝石9级	1	10,77	-1	19628	14386
73071	蓝色法力宝石1级	2	2,6	73072	35	9
73072	蓝色法力宝石2级	2	2,8	73073	49	44
73073	蓝色法力宝石3级	2	2,11	73074	110	93
73074	蓝色法力宝石4级	2	2,14	73075	265	203
73075	蓝色法力宝石5级	2	2,20	73076	628	468
73076	蓝色法力宝石6级	2	2,28	73077	1483	1096
73077	蓝色法力宝石7级	2	2,39	73078	3510	2579
73078	蓝色法力宝石8级	2	2,55	73079	8297	6089
73079	蓝色法力宝石9级	2	2,77	-1	19628	14386
73081	蓝色法力回复宝石1级	2	15,6	73082	35	9
73082	蓝色法力回复宝石2级	2	15,8	73083	49	44
73083	蓝色法力回复宝石3级	2	15,11	73084	110	93
73084	蓝色法力回复宝石4级	2	15,14	73085	265	203
73085	蓝色法力回复宝石5级	2	15,20	73086	628	468
73086	蓝色法力回复宝石6级	2	15,28	73087	1483	1096
73087	蓝色法力回复宝石7级	2	15,39	73088	3510	2579
73088	蓝色法力回复宝石8级	2	15,55	73089	8297	6089
73089	蓝色法力回复宝石9级	2	15,77	-1	19628	14386
73091	蓝色物理攻击宝石1级	2	3,11	73092	35	9
73092	蓝色物理攻击宝石2级	2	3,15	73093	49	44
73093	蓝色物理攻击宝石3级	2	3,21	73094	110	93
73094	蓝色物理攻击宝石4级	2	3,28	73095	265	203
73095	蓝色物理攻击宝石5级	2	3,40	73096	628	468
73096	蓝色物理攻击宝石6级	2	3,56	73097	1483	1096
73097	蓝色物理攻击宝石7级	2	3,78	73098	3510	2579
73098	蓝色物理攻击宝石8级	2	3109	73099	8297	6089
73099	蓝色物理攻击宝石9级	2	3154	-1	19628	14386
73101	蓝色法术攻击宝石1级	2	4,11	73102	35	9
73102	蓝色法术攻击宝石2级	2	4,15	73103	49	44
73103	蓝色法术攻击宝石3级	2	4,21	73104	110	93
73104	蓝色法术攻击宝石4级	2	4,28	73105	265	203
73105	蓝色法术攻击宝石5级	2	4,40	73106	628	468
73106	蓝色法术攻击宝石6级	2	4,56	73107	1483	1096
73107	蓝色法术攻击宝石7级	2	4,78	73108	3510	2579
73108	蓝色法术攻击宝石8级	2	4109	73109	8297	6089
73109	蓝色法术攻击宝石9级	2	4154	-1	19628	14386
73111	蓝色物理穿透宝石1级	2	7,6	73112	35	9
73112	蓝色物理穿透宝石2级	2	7,8	73113	49	44
73113	蓝色物理穿透宝石3级	2	7,11	73114	110	93
73114	蓝色物理穿透宝石4级	2	7,14	73115	265	203
73115	蓝色物理穿透宝石5级	2	7,20	73116	628	468
73116	蓝色物理穿透宝石6级	2	7,28	73117	1483	1096
73117	蓝色物理穿透宝石7级	2	7,39	73118	3510	2579
73118	蓝色物理穿透宝石8级	2	7,55	73119	8297	6089
73119	蓝色物理穿透宝石9级	2	7,77	-1	19628	14386
73121	蓝色法术穿透宝石1级	2	8,6	73122	35	9
73122	蓝色法术穿透宝石2级	2	8,8	73123	49	44
73123	蓝色法术穿透宝石3级	2	8,11	73124	110	93
73124	蓝色法术穿透宝石4级	2	8,14	73125	265	203
73125	蓝色法术穿透宝石5级	2	8,20	73126	628	468
73126	蓝色法术穿透宝石6级	2	8,28	73127	1483	1096
73127	蓝色法术穿透宝石7级	2	8,39	73128	3510	2579
73128	蓝色法术穿透宝石8级	2	8,55	73129	8297	6089
73129	蓝色法术穿透宝石9级	2	8,77	-1	19628	14386
74011	紫色生命宝石1级	1	1,68	74012	65	27
74012	紫色生命宝石2级	1	1,96	74013	92	92
74013	紫色生命宝石3级	1	1135	74014	205	184
74014	紫色生命宝石4级	1	1178	74015	494	389
74015	紫色生命宝石5级	1	1253	74016	1170	883
74016	紫色生命宝石6级	1	1360	74017	2764	2053
74017	紫色生命宝石7级	1	1503	74018	6543	4817
74018	紫色生命宝石8级	1	1701	74019	15466	11360
74019	紫色生命宝石9级	1	1988	-1	36586	26826
74021	紫色生命回复宝石1级	1	14,9	74022	65	27
74022	紫色生命回复宝石2级	1	14,12	74023	92	92
74023	紫色生命回复宝石3级	1	14,17	74024	205	184
74024	紫色生命回复宝石4级	1	14,23	74025	494	389
74025	紫色生命回复宝石5级	1	14,32	74026	1170	883
74026	紫色生命回复宝石6级	1	14,45	74027	2764	2053
74027	紫色生命回复宝石7级	1	14,63	74028	6543	4817
74028	紫色生命回复宝石8级	1	14,88	74029	15466	11360
74029	紫色生命回复宝石9级	1	14124	-1	36586	26826
74031	紫色物理防御宝石1级	1	5,17	74032	65	27
74032	紫色物理防御宝石2级	1	5,24	74033	92	92
74033	紫色物理防御宝石3级	1	5,34	74034	205	184
74034	紫色物理防御宝石4级	1	5,45	74035	494	389
74035	紫色物理防御宝石5级	1	5,64	74036	1170	883
74036	紫色物理防御宝石6级	1	5,90	74037	2764	2053
74037	紫色物理防御宝石7级	1	5126	74038	6543	4817
74038	紫色物理防御宝石8级	1	5176	74039	15466	11360
74039	紫色物理防御宝石9级	1	5247	-1	36586	26826
74041	紫色法术防御宝石1级	1	6,17	74042	65	27
74042	紫色法术防御宝石2级	1	6,24	74043	92	92
74043	紫色法术防御宝石3级	1	6,34	74044	205	184
74044	紫色法术防御宝石4级	1	6,45	74045	494	389
74045	紫色法术防御宝石5级	1	6,64	74046	1170	883
74046	紫色法术防御宝石6级	1	6,90	74047	2764	2053
74047	紫色法术防御宝石7级	1	6126	74048	6543	4817
74048	紫色法术防御宝石8级	1	6176	74049	15466	11360
74049	紫色法术防御宝石9级	1	6247	-1	36586	26826
74051	紫色物理吸血宝石1级	1	9,9	74052	65	27
74052	紫色物理吸血宝石2级	1	9,12	74053	92	92
74053	紫色物理吸血宝石3级	1	9,17	74054	205	184
74054	紫色物理吸血宝石4级	1	9,23	74055	494	389
74055	紫色物理吸血宝石5级	1	9,32	74056	1170	883
74056	紫色物理吸血宝石6级	1	9,45	74057	2764	2053
74057	紫色物理吸血宝石7级	1	9,63	74058	6543	4817
74058	紫色物理吸血宝石8级	1	9,88	74059	15466	11360
74059	紫色物理吸血宝石9级	1	9124	-1	36586	26826
74061	紫色法术吸血宝石1级	1	10,9	74062	65	27
74062	紫色法术吸血宝石2级	1	10,12	74063	92	92
74063	紫色法术吸血宝石3级	1	10,17	74064	205	184
74064	紫色法术吸血宝石4级	1	10,23	74065	494	389
74065	紫色法术吸血宝石5级	1	10,32	74066	1170	883
74066	紫色法术吸血宝石6级	1	10,45	74067	2764	2053
74067	紫色法术吸血宝石7级	1	10,63	74068	6543	4817
74068	紫色法术吸血宝石8级	1	10,88	74069	15466	11360
74069	紫色法术吸血宝石9级	1	10124	-1	36586	26826
74071	紫色法力宝石1级	2	2,9	74072	65	27
74072	紫色法力宝石2级	2	2,12	74073	92	92
74073	紫色法力宝石3级	2	2,17	74074	205	184
74074	紫色法力宝石4级	2	2,23	74075	494	389
74075	紫色法力宝石5级	2	2,32	74076	1170	883
74076	紫色法力宝石6级	2	2,45	74077	2764	2053
74077	紫色法力宝石7级	2	2,63	74078	6543	4817
74078	紫色法力宝石8级	2	2,88	74079	15466	11360
74079	紫色法力宝石9级	2	2124	-1	36586	26826
74081	紫色法力回复宝石1级	2	15,9	74082	65	27
74082	紫色法力回复宝石2级	2	15,12	74083	92	92
74083	紫色法力回复宝石3级	2	15,17	74084	205	184
74084	紫色法力回复宝石4级	2	15,23	74085	494	389
74085	紫色法力回复宝石5级	2	15,32	74086	1170	883
74086	紫色法力回复宝石6级	2	15,45	74087	2764	2053
74087	紫色法力回复宝石7级	2	15,63	74088	6543	4817
74088	紫色法力回复宝石8级	2	15,88	74089	15466	11360
74089	紫色法力回复宝石9级	2	15124	-1	36586	26826
74091	紫色物理攻击宝石1级	2	3,17	74092	65	27
74092	紫色物理攻击宝石2级	2	3,24	74093	92	92
74093	紫色物理攻击宝石3级	2	3,34	74094	205	184
74094	紫色物理攻击宝石4级	2	3,45	74095	494	389
74095	紫色物理攻击宝石5级	2	3,64	74096	1170	883
74096	紫色物理攻击宝石6级	2	3,90	74097	2764	2053
74097	紫色物理攻击宝石7级	2	3126	74098	6543	4817
74098	紫色物理攻击宝石8级	2	3176	74099	15466	11360
74099	紫色物理攻击宝石9级	2	3247	-1	36586	26826
74101	紫色法术攻击宝石1级	2	4,17	74102	65	27
74102	紫色法术攻击宝石2级	2	4,24	74103	92	92
74103	紫色法术攻击宝石3级	2	4,34	74104	205	184
74104	紫色法术攻击宝石4级	2	4,45	74105	494	389
74105	紫色法术攻击宝石5级	2	4,64	74106	1170	883
74106	紫色法术攻击宝石6级	2	4,90	74107	2764	2053
74107	紫色法术攻击宝石7级	2	4126	74108	6543	4817
74108	紫色法术攻击宝石8级	2	4176	74109	15466	11360
74109	紫色法术攻击宝石9级	2	4247	-1	36586	26826
74111	紫色物理穿透宝石1级	2	7,9	74112	65	27
74112	紫色物理穿透宝石2级	2	7,12	74113	92	92
74113	紫色物理穿透宝石3级	2	7,17	74114	205	184
74114	紫色物理穿透宝石4级	2	7,23	74115	494	389
74115	紫色物理穿透宝石5级	2	7,32	74116	1170	883
74116	紫色物理穿透宝石6级	2	7,45	74117	2764	2053
74117	紫色物理穿透宝石7级	2	7,63	74118	6543	4817
74118	紫色物理穿透宝石8级	2	7,88	74119	15466	11360
74119	紫色物理穿透宝石9级	2	7124	-1	36586	26826
74121	紫色法术穿透宝石1级	2	8,9	74122	65	27
74122	紫色法术穿透宝石2级	2	8,12	74123	92	92
74123	紫色法术穿透宝石3级	2	8,17	74124	205	184
74124	紫色法术穿透宝石4级	2	8,23	74125	494	389
74125	紫色法术穿透宝石5级	2	8,32	74126	1170	883
74126	紫色法术穿透宝石6级	2	8,45	74127	2764	2053
74127	紫色法术穿透宝石7级	2	8,63	74128	6543	4817
74128	紫色法术穿透宝石8级	2	8,88	74129	15466	11360
74129	紫色法术穿透宝石9级	2	8124	-1	36586	26826
74131	紫色暴击抵抗宝石1级	1	13,9	74132	65	27
74132	紫色暴击抵抗宝石2级	1	13,12	74133	92	92
74133	紫色暴击抵抗宝石3级	1	13,17	74134	205	184
74134	紫色暴击抵抗宝石4级	1	13,23	74135	494	389
74135	紫色暴击抵抗宝石5级	1	13,32	74136	1170	883
74136	紫色暴击抵抗宝石6级	1	13,45	74137	2764	2053
74137	紫色暴击抵抗宝石7级	1	13,63	74138	6543	4817
74138	紫色暴击抵抗宝石8级	1	13,88	74139	15466	11360
74139	紫色暴击抵抗宝石9级	1	13124	-1	36586	26826
74141	紫色韧性宝石1级	1	16,9	74142	65	27
74142	紫色韧性宝石2级	1	16,12	74143	92	92
74143	紫色韧性宝石3级	1	16,17	74144	205	184
74144	紫色韧性宝石4级	1	16,23	74145	494	389
74145	紫色韧性宝石5级	1	16,32	74146	1170	883
74146	紫色韧性宝石6级	1	16,45	74147	2764	2053
74147	紫色韧性宝石7级	1	16,63	74148	6543	4817
74148	紫色韧性宝石8级	1	16,88	74149	15466	11360
74149	紫色韧性宝石9级	1	16124	-1	36586	26826
74151	紫色暴击宝石1级	2	11,9	74152	65	27
74152	紫色暴击宝石2级	2	11,12	74153	92	92
74153	紫色暴击宝石3级	2	11,17	74154	205	184
74154	紫色暴击宝石4级	2	11,23	74155	494	389
74155	紫色暴击宝石5级	2	11,32	74156	1170	883
74156	紫色暴击宝石6级	2	11,45	74157	2764	2053
74157	紫色暴击宝石7级	2	11,63	74158	6543	4817
74158	紫色暴击宝石8级	2	11,88	74159	15466	11360
74159	紫色暴击宝石9级	2	11124	-1	36586	26826
74161	紫色冷却缩减宝石1级	2	19,9	74162	65	27
74162	紫色冷却缩减宝石2级	2	19,12	74163	92	92
74163	紫色冷却缩减宝石3级	2	19,17	74164	205	184
74164	紫色冷却缩减宝石4级	2	19,23	74165	494	389
74165	紫色冷却缩减宝石5级	2	19,32	74166	1170	883
74166	紫色冷却缩减宝石6级	2	19,45	74167	2764	2053
74167	紫色冷却缩减宝石7级	2	19,63	74168	6543	4817
74168	紫色冷却缩减宝石8级	2	19,88	74169	15466	11360
74169	紫色冷却缩减宝石9级	2	19124	-1	36586	26826
75011	橙色生命宝石1级	1	1109	75012	121	81
75012	橙色生命宝石2级	1	1156	75013	172	202
75013	橙色生命宝石3级	1	1218	75014	382	374
75014	橙色生命宝石4级	1	1288	75015	922	756
75015	橙色生命宝石5级	1	1410	75016	2183	1678
75016	橙色生命宝石6级	1	1584	75017	5157	3861
75017	橙色生命宝石7级	1	1815	75018	12207	9018
75018	橙色生命宝石8级	1	11136	75019	28856	21225
75019	橙色生命宝石9级	1	11600	-1	68259	50081
75021	橙色生命回复宝石1级	1	14,14	75022	121	81
75022	橙色生命回复宝石2级	1	14,20	75023	172	202
75023	橙色生命回复宝石3级	1	14,28	75024	382	374
75024	橙色生命回复宝石4级	1	14,36	75025	922	756
75025	橙色生命回复宝石5级	1	14,52	75026	2183	1678
75026	橙色生命回复宝石6级	1	14,73	75027	5157	3861
75027	橙色生命回复宝石7级	1	14102	75028	12207	9018
75028	橙色生命回复宝石8级	1	14142	75029	28856	21225
75029	橙色生命回复宝石9级	1	14200	-1	68259	50081
75031	橙色物理防御宝石1级	1	5,28	75032	121	81
75032	橙色物理防御宝石2级	1	5,39	75033	172	202
75033	橙色物理防御宝石3级	1	5,55	75034	382	374
75034	橙色物理防御宝石4级	1	5,72	75035	922	756
75035	橙色物理防御宝石5级	1	5103	75036	2183	1678
75036	橙色物理防御宝石6级	1	5146	75037	5157	3861
75037	橙色物理防御宝石7级	1	5204	75038	12207	9018
75038	橙色物理防御宝石8级	1	5284	75039	28856	21225
75039	橙色物理防御宝石9级	1	5400	-1	68259	50081
75041	橙色法术防御宝石1级	1	6,28	75042	121	81
75042	橙色法术防御宝石2级	1	6,39	75043	172	202
75043	橙色法术防御宝石3级	1	6,55	75044	382	374
75044	橙色法术防御宝石4级	1	6,72	75045	922	756
75045	橙色法术防御宝石5级	1	6103	75046	2183	1678
75046	橙色法术防御宝石6级	1	6146	75047	5157	3861
75047	橙色法术防御宝石7级	1	6204	75048	12207	9018
75048	橙色法术防御宝石8级	1	6284	75049	28856	21225
75049	橙色法术防御宝石9级	1	6400	-1	68259	50081
75051	橙色物理吸血宝石1级	1	9,14	75052	121	81
75052	橙色物理吸血宝石2级	1	9,20	75053	172	202
75053	橙色物理吸血宝石3级	1	9,28	75054	382	374
75054	橙色物理吸血宝石4级	1	9,36	75055	922	756
75055	橙色物理吸血宝石5级	1	9,52	75056	2183	1678
75056	橙色物理吸血宝石6级	1	9,73	75057	5157	3861
75057	橙色物理吸血宝石7级	1	9102	75058	12207	9018
75058	橙色物理吸血宝石8级	1	9142	75059	28856	21225
75059	橙色物理吸血宝石9级	1	9200	-1	68259	50081
75061	橙色法术吸血宝石1级	1	10,14	75062	121	81
75062	橙色法术吸血宝石2级	1	10,20	75063	172	202
75063	橙色法术吸血宝石3级	1	10,28	75064	382	374
75064	橙色法术吸血宝石4级	1	10,36	75065	922	756
75065	橙色法术吸血宝石5级	1	10,52	75066	2183	1678
75066	橙色法术吸血宝石6级	1	10,73	75067	5157	3861
75067	橙色法术吸血宝石7级	1	10102	75068	12207	9018
75068	橙色法术吸血宝石8级	1	10142	75069	28856	21225
75069	橙色法术吸血宝石9级	1	10200	-1	68259	50081
75071	橙色法力宝石1级	2	2,14	75072	121	81
75072	橙色法力宝石2级	2	2,20	75073	172	202
75073	橙色法力宝石3级	2	2,28	75074	382	374
75074	橙色法力宝石4级	2	2,36	75075	922	756
75075	橙色法力宝石5级	2	2,52	75076	2183	1678
75076	橙色法力宝石6级	2	2,73	75077	5157	3861
75077	橙色法力宝石7级	2	2102	75078	12207	9018
75078	橙色法力宝石8级	2	2142	75079	28856	21225
75079	橙色法力宝石9级	2	2200	-1	68259	50081
75081	橙色法力回复宝石1级	2	15,14	75082	121	81
75082	橙色法力回复宝石2级	2	15,20	75083	172	202
75083	橙色法力回复宝石3级	2	15,28	75084	382	374
75084	橙色法力回复宝石4级	2	15,36	75085	922	756
75085	橙色法力回复宝石5级	2	15,52	75086	2183	1678
75086	橙色法力回复宝石6级	2	15,73	75087	5157	3861
75087	橙色法力回复宝石7级	2	15102	75088	12207	9018
75088	橙色法力回复宝石8级	2	15142	75089	28856	21225
75089	橙色法力回复宝石9级	2	15200	-1	68259	50081
75091	橙色物理攻击宝石1级	2	3,28	75092	121	81
75092	橙色物理攻击宝石2级	2	3,39	75093	172	202
75093	橙色物理攻击宝石3级	2	3,55	75094	382	374
75094	橙色物理攻击宝石4级	2	3,72	75095	922	756
75095	橙色物理攻击宝石5级	2	3103	75096	2183	1678
75096	橙色物理攻击宝石6级	2	3146	75097	5157	3861
75097	橙色物理攻击宝石7级	2	3204	75098	12207	9018
75098	橙色物理攻击宝石8级	2	3284	75099	28856	21225
75099	橙色物理攻击宝石9级	2	3400	-1	68259	50081
75101	橙色法术攻击宝石1级	2	4,28	75102	121	81
75102	橙色法术攻击宝石2级	2	4,39	75103	172	202
75103	橙色法术攻击宝石3级	2	4,55	75104	382	374
75104	橙色法术攻击宝石4级	2	4,72	75105	922	756
75105	橙色法术攻击宝石5级	2	4103	75106	2183	1678
75106	橙色法术攻击宝石6级	2	4146	75107	5157	3861
75107	橙色法术攻击宝石7级	2	4204	75108	12207	9018
75108	橙色法术攻击宝石8级	2	4284	75109	28856	21225
75109	橙色法术攻击宝石9级	2	4400	-1	68259	50081
75111	橙色物理穿透宝石1级	2	7,14	75112	121	81
75112	橙色物理穿透宝石2级	2	7,20	75113	172	202
75113	橙色物理穿透宝石3级	2	7,28	75114	382	374
