ID	Name	Monsterid	MapID	xyz	range	number	wave	angle	Patrol	Camp
10013	嚻	10002	100	265.2,14.0,229.1	0	1	0	0,0,1	3,1500,500	0
10014	嚻	10002	100	264.1,14.1,234.7	0	1	0	0,0,1	3,1500,500	0
10015	嚻	10002	100	259.7,13.9,231.4	0	1	0	0,0,1	3,1500,500	0
10016	嚻	10002	100	259.9,13.9,224.8	0	1	0	0,0,1	3,1500,500	0
10017	嚻	10002	100	259.9,13.9,217.6	0	1	0	0,0,1	3,1500,500	0
10018	孟极	10004	100	289.1,19.7,120.5	0	1	0	0,0,1	3,1500,500	0
10019	孟极	10004	100	295.3,20.6,121.0	0	1	0	0,0,1	3,1500,500	0
10020	孟极	10004	100	292.4,20.1,124.4	0	1	0	0,0,1	3,1500,500	0
10021	孟极	10004	100	287.7,19.5,124.5	0	1	0	0,0,1	3,1500,500	0
10022	孟极	10004	100	283.4,19.4,123.7	0	1	0	0,0,1	3,1500,500	0
10023	孟极	10004	100	282.1,19.5,128.9	0	1	0	0,0,1	3,1500,500	0
10024	鸪鸟	10005	100	282.4,7.1,329.4	0	1	0	0,0,1	3,1500,500	0
10025	测试BOSS1	90000	100	383.1,25.1,234.7	0	1	0	0,0,1	3,1500,500	0
10026	测试BOSS2	90001	100	253.6,13.5,242.2	0	1	0	0,0,1	3,1500,500	0
10027	测试BOSS3	90002	100	291.6,20.7,133.6	0	1	0	0,0,1	3,1500,500	0
10028	测试BOSS4	90003	100	264.0,15.3,168.1	0	1	0	0,0,1	3,1500,500	0
10029	测试BOSS5	90004	100	330.1,22.2,121.6	0	1	0	0,0,1	3,1500,500	0
30100	——黛眉寨	10001	99999	313.2,13.0,362.7	0	1	0	0,0,1	31500500	0
30101	狼牙守卫	30101	301	284.7,7.7,357.2	0	1	1	0,0,1	3,1500,500	0
30102	狼牙守卫	30101	301	280.3,7.7,357.5	0	1	1	0,0,1	3,1500,500	0
30103	狼牙守卫	30101	301	276.0,7.7,352.8	0	1	1	0,0,1	3,1500,500	0
30104	狼牙守卫	30101	301	282.7,7.7,353.8	0	1	1	0,0,1	3,1500,500	0
30105	狼牙守卫	30101	301	279.2,7.7,353.3	0	1	1	0,0,1	3,1500,500	0
30106	狼牙守卫	30101	301	284.8,7.7,352.9	0	1	1	0,0,1	3,1500,500	0
30107	狼牙守卫	30101	301	280.5,7.7,348.6	0	1	1	0,0,1	3,1500,500	0
30108	狼牙守卫	30101	301	276.6,7.7,356.4	0	1	1	0,0,1	3,1500,500	0
30109	狼牙守卫	30101	301	309.7,12.2,344.6	0	1	2	0,0,1	3,1500,500	0
30110	狼牙守卫	30101	301	316.3,11.9,345.9	0	1	2	0,0,1	3,1500,500	0
30111	烽火刀客	30102	301	312.6,12.2,336.8	0	1	2	0,0,1	3,1500,500	0
30112	烽火刀客	30102	301	319.0,12.2,338.4	0	1	2	0,0,1	3,1500,500	0
30113	烽火刀客	30102	301	318.4,12.2,329.9	0	1	2	0,0,1	3,1500,500	0
30114	烽火刀客	30102	301	324.8,12.5,332.6	0	1	2	0,0,1	3,1500,500	0
30115	烽火刀客	30102	301	322.6,12.3,322.2	0	1	2	0,0,1	3,1500,500	0
30116	烽火刀客	30102	301	329.1,12.4,324.5	0	1	2	0,0,1	3,1500,500	0
30117	黑暗武士	30103	301	328.5,17.3,283.3	0	1	3	0,0,1	3,1500,500	0
30200	——多人测试本	10001	99999	313.2,13.0,362.7	0	1	0	0,0,1	31500500	0
30201	狼牙守卫	30101	302	278.3,7.7,357.0	0	1	1	0,0,1	3,1500,500	0
30202	狼牙守卫	30101	302	280.4,7.6,346.2	0	1	1	0,0,1	3,1500,500	0
30203	狼牙守卫	30101	302	277.7,7.7,346.5	0	1	2	0,0,1	3,1500,500	0
30204	狼牙守卫	30101	302	275.1,7.7,346.9	0	1	2	0,0,1	3,1500,500	0
30205	烽火刀客	30102	302	284.8,7.7,347.6	0	1	3	0,0,1	3,1500,500	0
30206	烽火刀客	30102	302	284.4,7.7,355.6	0	1	3	0,0,1	3,1500,500	0
30300	——镜像副本	10001	99999	313.2,13.0,362.7	0	1	0	0,0,1	31500500	0
30301	嚻	30301	303	331.1,21.1,261.7	0	1	1	0,0,1	3,1500,500	0
30302	嚻	30301	303	326.3,21.1,261.7	0	1	1	0,0,1	3,1500,500	0
30303	嚻	30301	303	331.1,21.1,267.8	0	1	1	0,0,1	3,1500,500	0
30304	嚻	30301	303	326.3,21.1,267.8	0	1	1	0,0,1	3,1500,500	0
30305	嚻	30301	303	326.3,19.5,274.8	0	1	1	0,0,1	3,1500,500	0
30306	嚻	30301	303	331.1,19.5,274.8	0	1	1	0,0,1	3,1500,500	0
30307	嚻	30301	303	328.7,21.1,263.1	0	1	2	0,0,1	3,1500,500	0
30308	嚻	30301	303	331.1,21.1,267.8	0	1	2	0,0,1	3,1500,500	0
30309	竦斯	30302	303	326.3,21.1,267.8	0	1	2	0,0,1	3,1500,500	0
30310	鸪鸟	30303	303	328.6,21.1,257.7	0	1	3	0,0,1	3,1500,500	0
40100	——生存副本	10001	99999	313.2,13.0,362.7	0	1	0	0,0,1	31500500	0
40101	嚻	30101	401	287.8,7.7,356.1	0	1	1	0,0,1	3,1500,500	0
40102	嚻	30101	401	286.5,7.7,353.5	0	1	1	0,0,1	3,1500,500	0
40103	嚻	30101	401	280.2,7.7,358.2	0	1	1	0,0,1	3,1500,500	0
40104	嚻	30101	401	284.2,7.7,355.5	0	1	1	0,0,1	3,1500,500	0
40105	嚻	30101	401	281.5,7.7,353.6	0	1	1	0,0,1	3,1500,500	0
40106	嚻	30101	401	280.4,7.7,349.6	0	1	1	0,0,1	3,1500,500	0
40107	嚻	30101	401	277.2,7.7,353.9	0	1	1	0,0,1	3,1500,500	0
40108	嚻	30101	401	279.6,7.6,346.2	0	1	1	0,0,1	3,1500,500	0
40109	嚻	30101	401	275.5,7.7,357.1	0	1	1	0,0,1	3,1500,500	0
40110	嚻	30101	401	276.2,7.7,351.3	0	1	1	0,0,1	3,1500,500	0
40111	嚻	30101	401	272.6,7.7,352.9	0	1	1	0,0,1	3,1500,500	0
40112	嚻	30101	401	273.9,7.7,347.6	0	1	1	0,0,1	3,1500,500	0
40113	嚻	30101	401	271.7,7.7,351.5	0	1	1	0,0,1	3,1500,500	0
40114	嚻	30101	401	270.7,7.7,348.6	0	1	1	0,0,1	3,1500,500	0
40115	嚻	30101	401	271.0,7.7,355.4	0	1	1	0,0,1	3,1500,500	0
40116	嚻	30101	401	271.2,7.7,346.1	0	1	1	0,0,1	3,1500,500	0
40117	嚻	30101	401	285.1,7.7,346.7	0	1	1	0,0,1	3,1500,500	0
40118	嚻	30101	401	287.2,7.7,360.0	0	1	1	0,0,1	3,1500,500	0
100100	——3V3	10001	99999	313.2,13.0,362.7	0	1	0	0,0,1	31500500	0
100101	嚻	30101	1001	287.8,7.7,356.1	0	1	1	0,0,1	3,1500,500	0
100102	嚻	30101	1001	286.5,7.7,353.5	0	1	1	0,0,1	3,1500,500	0
100103	嚻	30101	1001	280.2,7.7,358.2	0	1	1	0,0,1	3,1500,500	0
100104	嚻	30101	1001	284.2,7.7,355.5	0	1	1	0,0,1	3,1500,500	0
100105	嚻	30101	1001	281.5,7.7,353.6	0	1	1	0,0,1	3,1500,500	0
100106	嚻	30101	1001	280.4,7.7,349.6	0	1	1	0,0,1	3,1500,500	0
100107	嚻	30101	1001	277.2,7.7,353.9	0	1	1	0,0,1	3,1500,500	0
100108	嚻	30101	1001	279.6,7.6,346.2	0	1	1	0,0,1	3,1500,500	0
100109	嚻	30101	1001	275.5,7.7,357.1	0	1	1	0,0,1	3,1500,500	0
100110	嚻	30101	1001	276.2,7.7,351.3	0	1	1	0,0,1	3,1500,500	0
100111	嚻	30101	1001	272.6,7.7,352.9	0	1	1	0,0,1	3,1500,500	0
100112	嚻	30101	1001	273.9,7.7,347.6	0	1	1	0,0,1	3,1500,500	0
100113	嚻	30101	1001	271.7,7.7,351.5	0	1	1	0,0,1	3,1500,500	0
100114	嚻	30101	1001	270.7,7.7,348.6	0	1	1	0,0,1	3,1500,500	0
100115	嚻	30101	1001	271.0,7.7,355.4	0	1	1	0,0,1	3,1500,500	0
100116	嚻	30101	1001	271.2,7.7,346.1	0	1	1	0,0,1	3,1500,500	0
100117	嚻	30101	1001	285.1,7.7,346.7	0	1	1	0,0,1	3,1500,500	0
