ID	Job	Level	Patr	Icon	Des	Consume	LowForge	LowEquip	LoudhighForge	LoudhighEquip	Wish	Once
8	1	30	8	30jiezhi	30级戒指	5000	40007,10,40108,1,40208,1	1280114,9000,1280115,1000	40011,1	1280114,7000,1280115,3000	200	100
9	1	40	1	30maozi	40级头盔	15000	40007,25,40109,1,40209,1	1210124,6750,1210134,2250,1210145,750,1210155,250	40011,2	1210124,4500,1210134,2500,1210145,2000,1210155,1000	400	100
10	1	40	2	30wuqi	40级武器	15000	40007,25,40110,1,40210,1	1220124,6750,1220134,2250,1220145,750,1220155,250	40011,2	1220124,4500,1220134,2500,1220145,2000,1220155,1000	400	100
11	1	40	3	30yifu	40级衣服	15000	40007,25,40111,1,40211,1	1230124,6750,1230134,2250,1230145,750,1230155,250	40011,2	1230124,4500,1230134,2500,1230145,2000,1230155,1000	400	100
12	1	40	4	30xianglian	40级项链	15000	40007,25,40112,1,40212,1	1240124,6750,1240134,2250,1240145,750,1240155,250	40011,2	1240124,4500,1240134,2500,1240145,2000,1240155,1000	400	100
13	1	40	5	30yaodai	40级腰带	15000	40007,25,40113,1,40213,1	1250124,6750,1250134,2250,1250145,750,1250155,250	40011,2	1250124,4500,1250134,2500,1250145,2000,1250155,1000	400	100
14	1	40	6	30shouzhuo	40级手镯	15000	40007,25,40114,1,40214,1	1260124,6750,1260134,2250,1260145,750,1260155,250	40011,2	1260124,4500,1260134,2500,1260145,2000,1260155,1000	400	100
15	1	40	7	30xiezi	40级鞋子	15000	40007,25,40115,1,40215,1	1270124,6750,1270134,2250,1270145,750,1270155,250	40011,2	1270124,4500,1270134,2500,1270145,2000,1270155,1000	400	100
16	1	40	8	30jiezhi	40级戒指	15000	40007,25,40116,1,40216,1	1280124,6750,1280134,2250,1280145,750,1280155,250	40011,2	1280124,4500,1280134,2500,1280145,2000,1280155,1000	400	100
17	1	50	1	30maozi	50级头盔	30000	40008,10,40117,1,40217,1	1210164,6750,1210174,2250,1210185,750,1210195,250	40011,4	1210164,4500,1210174,2500,1210185,2000,1210195,1000	600	100
18	1	50	2	30wuqi	50级武器	30000	40008,10,40118,1,40218,1	1220164,6750,1220174,2250,1220185,750,1220195,250	40011,4	1220164,4500,1220174,2500,1220185,2000,1220195,1000	600	100
19	1	50	3	30yifu	50级衣服	30000	40008,10,40119,1,40219,1	1230164,6750,1230174,2250,1230185,750,1230195,250	40011,4	1230164,4500,1230174,2500,1230185,2000,1230195,1000	600	100
20	1	50	4	30xianglian	50级项链	30000	40008,10,40120,1,40220,1	1240164,6750,1240174,2250,1240185,750,1240195,250	40011,4	1240164,4500,1240174,2500,1240185,2000,1240195,1000	600	100
21	1	50	5	30yaodai	50级腰带	30000	40008,10,40121,1,40221,1	1250164,6750,1250174,2250,1250185,750,1250195,250	40011,4	1250164,4500,1250174,2500,1250185,2000,1250195,1000	600	100
22	1	50	6	30shouzhuo	50级手镯	30000	40008,10,40122,1,40222,1	1260164,6750,1260174,2250,1260185,750,1260195,250	40011,4	1260164,4500,1260174,2500,1260185,2000,1260195,1000	600	100
23	1	50	7	30xiezi	50级鞋子	30000	40008,10,40123,1,40223,1	1270164,6750,1270174,2250,1270185,750,1270195,250	40011,4	1270164,4500,1270174,2500,1270185,2000,1270195,1000	600	100
24	1	50	8	30jiezhi	50级戒指	30000	40008,10,40124,1,40224,1	1280164,6750,1280174,2250,1280185,750,1280195,250	40011,4	1280164,4500,1280174,2500,1280185,2000,1280195,1000	600	100
25	1	60	1	30maozi	60级头盔	60000	40008,25,40125,1,40225,1	1210204,6750,1210214,2250,1210225,750,1210235,250	40011,8	1210204,4500,1210214,2500,1210225,2000,1210235,1000	800	100
26	1	60	2	30wuqi	60级武器	60000	40008,25,40126,1,40226,1	1220204,6750,1220214,2250,1220225,750,1220235,250	40011,8	1220204,4500,1220214,2500,1220225,2000,1220235,1000	800	100
27	1	60	3	30yifu	60级衣服	60000	40008,25,40127,1,40227,1	1230204,6750,1230214,2250,1230225,750,1230235,250	40011,8	1230204,4500,1230214,2500,1230225,2000,1230235,1000	800	100
28	1	60	4	30xianglian	60级项链	60000	40008,25,40128,1,40228,1	1240204,6750,1240214,2250,1240225,750,1240235,250	40011,8	1240204,4500,1240214,2500,1240225,2000,1240235,1000	800	100
29	1	60	5	30yaodai	60级腰带	60000	40008,25,40129,1,40229,1	1250204,6750,1250214,2250,1250225,750,1250235,250	40011,8	1250204,4500,1250214,2500,1250225,2000,1250235,1000	800	100
30	1	60	6	30shouzhuo	60级手镯	60000	40008,25,40130,1,40230,1	1260204,6750,1260214,2250,1260225,750,1260235,250	40011,8	1260204,4500,1260214,2500,1260225,2000,1260235,1000	800	100
31	1	60	7	30xiezi	60级鞋子	60000	40008,25,40131,1,40231,1	1270204,6750,1270214,2250,1270225,750,1270235,250	40011,8	1270204,4500,1270214,2500,1270225,2000,1270235,1000	800	100
32	1	60	8	30jiezhi	60级戒指	60000	40008,25,40132,1,40232,1	1280204,6750,1280214,2250,1280225,750,1280235,250	40011,8	1280204,4500,1280214,2500,1280225,2000,1280235,1000	800	100
33	1	70	1	30maozi	70级头盔	120000	40009,10,40133,1,40233,1	1210204,6750,1210214,2250,1210225,750,1210235,250	40011,16	1210204,4500,1210214,2500,1210225,2000,1210235,1000	1000	100
34	1	70	2	30wuqi	70级武器	120000	40009,10,40134,1,40234,1	1220204,6750,1220214,2250,1220225,750,1220235,250	40011,16	1220204,4500,1220214,2500,1220225,2000,1220235,1000	1000	100
35	1	70	3	30yifu	70级衣服	120000	40009,10,40135,1,40235,1	1230204,6750,1230214,2250,1230225,750,1230235,250	40011,16	1230204,4500,1230214,2500,1230225,2000,1230235,1000	1000	100
36	1	70	4	30xianglian	70级项链	120000	40009,10,40136,1,40236,1	1240204,6750,1240214,2250,1240225,750,1240235,250	40011,16	1240204,4500,1240214,2500,1240225,2000,1240235,1000	1000	100
37	1	70	5	30yaodai	70级腰带	120000	40009,10,40137,1,40237,1	1250204,6750,1250214,2250,1250225,750,1250235,250	40011,16	1250204,4500,1250214,2500,1250225,2000,1250235,1000	1000	100
38	1	70	6	30shouzhuo	70级手镯	120000	40009,10,40138,1,40238,1	1260204,6750,1260214,2250,1260225,750,1260235,250	40011,16	1260204,4500,1260214,2500,1260225,2000,1260235,1000	1000	100
39	1	70	7	30xiezi	70级鞋子	120000	40009,10,40139,1,40239,1	1270204,6750,1270214,2250,1270225,750,1270235,250	40011,16	1270204,4500,1270214,2500,1270225,2000,1270235,1000	1000	100
40	1	70	8	30jiezhi	70级戒指	120000	40009,10,40140,1,40240,1	1280204,6750,1280214,2250,1280225,750,1280235,250	40011,16	1280204,4500,1280214,2500,1280225,2000,1280235,1000	1000	100
41	1	80	1	30maozi	80级头盔	250000	40009,25,40141,1,40241,1	1210204,6750,1210214,2250,1210225,750,1210235,250	40011,24	1210204,4500,1210214,2500,1210225,2000,1210235,1000	1000	100
42	1	80	2	30wuqi	80级武器	250000	40009,25,40142,1,40242,1	1220204,6750,1220214,2250,1220225,750,1220235,250	40011,24	1220204,4500,1220214,2500,1220225,2000,1220235,1000	1000	100
43	1	80	3	30yifu	80级衣服	250000	40009,25,40143,1,40243,1	1230204,6750,1230214,2250,1230225,750,1230235,250	40011,24	1230204,4500,1230214,2500,1230225,2000,1230235,1000	1000	100
44	1	80	4	30xianglian	80级项链	250000	40009,25,40144,1,40244,1	1240204,6750,1240214,2250,1240225,750,1240235,250	40011,24	1240204,4500,1240214,2500,1240225,2000,1240235,1000	1000	100
45	1	80	5	30yaodai	80级腰带	250000	40009,25,40145,1,40245,1	1250204,6750,1250214,2250,1250225,750,1250235,250	40011,24	1250204,4500,1250214,2500,1250225,2000,1250235,1000	1000	100
46	1	80	6	30shouzhuo	80级手镯	250000	40009,25,40146,1,40246,1	1260204,6750,1260214,2250,1260225,750,1260235,250	40011,24	1260204,4500,1260214,2500,1260225,2000,1260235,1000	1000	100
47	1	80	7	30xiezi	80级鞋子	250000	40009,25,40147,1,40247,1	1270204,6750,1270214,2250,1270225,750,1270235,250	40011,24	1270204,4500,1270214,2500,1270225,2000,1270235,1000	1000	100
48	1	80	8	30jiezhi	80级戒指	250000	40009,25,40148,1,40248,1	1280204,6750,1280214,2250,1280225,750,1280235,250	40011,24	1280204,4500,1280214,2500,1280225,2000,1280235,1000	1000	100
49	1	90	1	30maozi	90级头盔	500000	40010,10,40149,1,40249,1	1210204,6750,1210214,2250,1210225,750,1210235,250	40011,32	1210204,4500,1210214,2500,1210225,2000,1210235,1000	1000	100
50	1	90	2	30wuqi	90级武器	500000	40010,10,40150,1,40250,1	1220204,6750,1220214,2250,1220225,750,1220235,250	40011,32	1220204,4500,1220214,2500,1220225,2000,1220235,1000	1000	100
51	1	90	3	30yifu	90级衣服	500000	40010,10,40151,1,40251,1	1230204,6750,1230214,2250,1230225,750,1230235,250	40011,32	1230204,4500,1230214,2500,1230225,2000,1230235,1000	1000	100
52	1	90	4	30xianglian	90级项链	500000	40010,10,40152,1,40252,1	1240204,6750,1240214,2250,1240225,750,1240235,250	40011,32	1240204,4500,1240214,2500,1240225,2000,1240235,1000	1000	100
53	1	90	5	30yaodai	90级腰带	500000	40010,10,40153,1,40253,1	1250204,6750,1250214,2250,1250225,750,1250235,250	40011,32	1250204,4500,1250214,2500,1250225,2000,1250235,1000	1000	100
54	1	90	6	30shouzhuo	90级手镯	500000	40010,10,40154,1,40254,1	1260204,6750,1260214,2250,1260225,750,1260235,250	40011,32	1260204,4500,1260214,2500,1260225,2000,1260235,1000	1000	100
55	1	90	7	30xiezi	90级鞋子	500000	40010,10,40155,1,40255,1	1270204,6750,1270214,2250,1270225,750,1270235,250	40011,32	1270204,4500,1270214,2500,1270225,2000,1270235,1000	1000	100
56	1	90	8	30jiezhi	90级戒指	500000	40010,10,40156,1,40256,1	1280204,6750,1280214,2250,1280225,750,1280235,250	40011,32	1280204,4500,1280214,2500,1280225,2000,1280235,1000	1000	100
57	1	100	1	30maozi	100级头盔	1000000	40010,25,40157,1,40257,1	1210204,6750,1210214,2250,1210225,750,1210235,250	40011,40	1210204,4500,1210214,2500,1210225,2000,1210235,1000	1000	100
58	1	100	2	30wuqi	100级武器	1000000	40010,25,40158,1,40258,1	1220204,6750,1220214,2250,1220225,750,1220235,250	40011,40	1220204,4500,1220214,2500,1220225,2000,1220235,1000	1000	100
59	1	100	3	30yifu	100级衣服	1000000	40010,25,40159,1,40259,1	1230204,6750,1230214,2250,1230225,750,1230235,250	40011,40	1230204,4500,1230214,2500,1230225,2000,1230235,1000	1000	100
60	1	100	4	30xianglian	100级项链	1000000	40010,25,40160,1,40260,1	1240204,6750,1240214,2250,1240225,750,1240235,250	40011,40	1240204,4500,1240214,2500,1240225,2000,1240235,1000	1000	100
61	1	100	5	30yaodai	100级腰带	1000000	40010,25,40161,1,40261,1	1250204,6750,1250214,2250,1250225,750,1250235,250	40011,40	1250204,4500,1250214,2500,1250225,2000,1250235,1000	1000	100
62	1	100	6	30shouzhuo	100级手镯	1000000	40010,25,40162,1,40262,1	1260204,6750,1260214,2250,1260225,750,1260235,250	40011,40	1260204,4500,1260214,2500,1260225,2000,1260235,1000	1000	100
63	1	100	7	30xiezi	100级鞋子	1000000	40010,25,40163,1,40263,1	1270204,6750,1270214,2250,1270225,750,1270235,250	40011,40	1270204,4500,1270214,2500,1270225,2000,1270235,1000	1000	100
64	1	100	8	30jiezhi	100级戒指	1000000	40010,25,40164,1,40264,1	1280204,6750,1280214,2250,1280225,750,1280235,250	40011,40	1280204,4500,1280214,2500,1280225,2000,1280235,1000	1000	100
65	2	30	1	30maozi	30级头盔	5000	40007,10,40101,1,40201,1	2210114,9000,2210115,1000	40011,1	2210114,7000,2210115,3000	200	100
66	2	30	2	30wuqi	30级武器	5000	40007,10,40102,1,40202,1	2220114,9000,2220115,1000	40011,1	2220114,7000,2220115,3000	200	100
67	2	30	3	30yifu	30级衣服	5000	40007,10,40103,1,40203,1	2230114,9000,2230115,1000	40011,1	2230114,7000,2230115,3000	200	100
68	2	30	4	30xianglian	30级项链	5000	40007,10,40104,1,40204,1	2240114,9000,2240115,1000	40011,1	2240114,7000,2240115,3000	200	100
69	2	30	5	30yaodai	30级腰带	5000	40007,10,40105,1,40205,1	2250114,9000,2250115,1000	40011,1	2250114,7000,2250115,3000	200	100
70	2	30	6	30shouzhuo	30级手镯	5000	40007,10,40106,1,40206,1	2260114,9000,2260115,1000	40011,1	2260114,7000,2260115,3000	200	100
71	2	30	7	30xiezi	30级鞋子	5000	40007,10,40107,1,40207,1	2270114,9000,2270115,1000	40011,1	2270114,7000,2270115,3000	200	100
72	2	30	8	30jiezhi	30级戒指	5000	40007,10,40108,1,40208,1	2280114,9000,2280115,1000	40011,1	2280114,7000,2280115,3000	200	100
73	2	40	1	30maozi	40级头盔	15000	40007,25,40109,1,40209,1	2210124,6750,2210134,2250,2210145,750,2210155,250	40011,2	2210124,4500,2210134,2500,2210145,2000,2210155,1000	400	100
74	2	40	2	30wuqi	40级武器	15000	40007,25,40110,1,40210,1	2220124,6750,2220134,2250,2220145,750,2220155,250	40011,2	2220124,4500,2220134,2500,2220145,2000,2220155,1000	400	100
75	2	40	3	30yifu	40级衣服	15000	40007,25,40111,1,40211,1	2230124,6750,2230134,2250,2230145,750,2230155,250	40011,2	2230124,4500,2230134,2500,2230145,2000,2230155,1000	400	100
76	2	40	4	30xianglian	40级项链	15000	40007,25,40112,1,40212,1	2240124,6750,2240134,2250,2240145,750,2240155,250	40011,2	2240124,4500,2240134,2500,2240145,2000,2240155,1000	400	100
77	2	40	5	30yaodai	40级腰带	15000	40007,25,40113,1,40213,1	2250124,6750,2250134,2250,2250145,750,2250155,250	40011,2	2250124,4500,2250134,2500,2250145,2000,2250155,1000	400	100
78	2	40	6	30shouzhuo	40级手镯	15000	40007,25,40114,1,40214,1	2260124,6750,2260134,2250,2260145,750,2260155,250	40011,2	2260124,4500,2260134,2500,2260145,2000,2260155,1000	400	100
79	2	40	7	30xiezi	40级鞋子	15000	40007,25,40115,1,40215,1	2270124,6750,2270134,2250,2270145,750,2270155,250	40011,2	2270124,4500,2270134,2500,2270145,2000,2270155,1000	400	100
80	2	40	8	30jiezhi	40级戒指	15000	40007,25,40116,1,40216,1	2280124,6750,2280134,2250,2280145,750,2280155,250	40011,2	2280124,4500,2280134,2500,2280145,2000,2280155,1000	400	100
81	2	50	1	30maozi	50级头盔	30000	40008,10,40117,1,40217,1	2210164,6750,2210174,2250,2210185,750,2210195,250	40011,4	2210164,4500,2210174,2500,2210185,2000,2210195,1000	600	100
82	2	50	2	30wuqi	50级武器	30000	40008,10,40118,1,40218,1	2220164,6750,2220174,2250,2220185,750,2220195,250	40011,4	2220164,4500,2220174,2500,2220185,2000,2220195,1000	600	100
83	2	50	3	30yifu	50级衣服	30000	40008,10,40119,1,40219,1	2230164,6750,2230174,2250,2230185,750,2230195,250	40011,4	2230164,4500,2230174,2500,2230185,2000,2230195,1000	600	100
84	2	50	4	30xianglian	50级项链	30000	40008,10,40120,1,40220,1	2240164,6750,2240174,2250,2240185,750,2240195,250	40011,4	2240164,4500,2240174,2500,2240185,2000,2240195,1000	600	100
85	2	50	5	30yaodai	50级腰带	30000	40008,10,40121,1,40221,1	2250164,6750,2250174,2250,2250185,750,2250195,250	40011,4	2250164,4500,2250174,2500,2250185,2000,2250195,1000	600	100
86	2	50	6	30shouzhuo	50级手镯	30000	40008,10,40122,1,40222,1	2260164,6750,2260174,2250,2260185,750,2260195,250	40011,4	2260164,4500,2260174,2500,2260185,2000,2260195,1000	600	100
87	2	50	7	30xiezi	50级鞋子	30000	40008,10,40123,1,40223,1	2270164,6750,2270174,2250,2270185,750,2270195,250	40011,4	2270164,4500,2270174,2500,2270185,2000,2270195,1000	600	100
88	2	50	8	30jiezhi	50级戒指	30000	40008,10,40124,1,40224,1	2280164,6750,2280174,2250,2280185,750,2280195,250	40011,4	2280164,4500,2280174,2500,2280185,2000,2280195,1000	600	100
89	2	60	1	30maozi	60级头盔	60000	40008,25,40125,1,40225,1	2210204,6750,2210214,2250,2210225,750,2210235,250	40011,8	2210204,4500,2210214,2500,2210225,2000,2210235,1000	800	100
90	2	60	2	30wuqi	60级武器	60000	40008,25,40126,1,40226,1	2220204,6750,2220214,2250,2220225,750,2220235,250	40011,8	2220204,4500,2220214,2500,2220225,2000,2220235,1000	800	100
91	2	60	3	30yifu	60级衣服	60000	40008,25,40127,1,40227,1	2230204,6750,2230214,2250,2230225,750,2230235,250	40011,8	2230204,4500,2230214,2500,2230225,2000,2230235,1000	800	100
92	2	60	4	30xianglian	60级项链	60000	40008,25,40128,1,40228,1	2240204,6750,2240214,2250,2240225,750,2240235,250	40011,8	2240204,4500,2240214,2500,2240225,2000,2240235,1000	800	100
93	2	60	5	30yaodai	60级腰带	60000	40008,25,40129,1,40229,1	2250204,6750,2250214,2250,2250225,750,2250235,250	40011,8	2250204,4500,2250214,2500,2250225,2000,2250235,1000	800	100
94	2	60	6	30shouzhuo	60级手镯	60000	40008,25,40130,1,40230,1	2260204,6750,2260214,2250,2260225,750,2260235,250	40011,8	2260204,4500,2260214,2500,2260225,2000,2260235,1000	800	100
95	2	60	7	30xiezi	60级鞋子	60000	40008,25,40131,1,40231,1	2270204,6750,2270214,2250,2270225,750,2270235,250	40011,8	2270204,4500,2270214,2500,2270225,2000,2270235,1000	800	100
96	2	60	8	30jiezhi	60级戒指	60000	40008,25,40132,1,40232,1	2280204,6750,2280214,2250,2280225,750,2280235,250	40011,8	2280204,4500,2280214,2500,2280225,2000,2280235,1000	800	100
97	2	70	1	30maozi	70级头盔	120000	40009,10,40133,1,40233,1	2210204,6750,2210214,2250,2210225,750,2210235,250	40011,16	2210204,4500,2210214,2500,2210225,2000,2210235,1000	1000	100
98	2	70	2	30wuqi	70级武器	120000	40009,10,40134,1,40234,1	2220204,6750,2220214,2250,2220225,750,2220235,250	40011,16	2220204,4500,2220214,2500,2220225,2000,2220235,1000	1000	100
99	2	70	3	30yifu	70级衣服	120000	40009,10,40135,1,40235,1	2230204,6750,2230214,2250,2230225,750,2230235,250	40011,16	2230204,4500,2230214,2500,2230225,2000,2230235,1000	1000	100
100	2	70	4	30xianglian	70级项链	120000	40009,10,40136,1,40236,1	2240204,6750,2240214,2250,2240225,750,2240235,250	40011,16	2240204,4500,2240214,2500,2240225,2000,2240235,1000	1000	100
101	2	70	5	30yaodai	70级腰带	120000	40009,10,40137,1,40237,1	2250204,6750,2250214,2250,2250225,750,2250235,250	40011,16	2250204,4500,2250214,2500,2250225,2000,2250235,1000	1000	100
102	2	70	6	30shouzhuo	70级手镯	120000	40009,10,40138,1,40238,1	2260204,6750,2260214,2250,2260225,750,2260235,250	40011,16	2260204,4500,2260214,2500,2260225,2000,2260235,1000	1000	100
103	2	70	7	30xiezi	70级鞋子	120000	40009,10,40139,1,40239,1	2270204,6750,2270214,2250,2270225,750,2270235,250	40011,16	2270204,4500,2270214,2500,2270225,2000,2270235,1000	1000	100
104	2	70	8	30jiezhi	70级戒指	120000	40009,10,40140,1,40240,1	2280204,6750,2280214,2250,2280225,750,2280235,250	40011,16	2280204,4500,2280214,2500,2280225,2000,2280235,1000	1000	100
105	2	80	1	30maozi	80级头盔	250000	40009,25,40141,1,40241,1	2210204,6750,2210214,2250,2210225,750,2210235,250	40011,24	2210204,4500,2210214,2500,2210225,2000,2210235,1000	1000	100
106	2	80	2	30wuqi	80级武器	250000	40009,25,40142,1,40242,1	2220204,6750,2220214,2250,2220225,750,2220235,250	40011,24	2220204,4500,2220214,2500,2220225,2000,2220235,1000	1000	100
107	2	80	3	30yifu	80级衣服	250000	40009,25,40143,1,40243,1	2230204,6750,2230214,2250,2230225,750,2230235,250	40011,24	2230204,4500,2230214,2500,2230225,2000,2230235,1000	1000	100
108	2	80	4	30xianglian	80级项链	250000	40009,25,40144,1,40244,1	2240204,6750,2240214,2250,2240225,750,2240235,250	40011,24	2240204,4500,2240214,2500,2240225,2000,2240235,1000	1000	100
109	2	80	5	30yaodai	80级腰带	250000	40009,25,40145,1,40245,1	2250204,6750,2250214,2250,2250225,750,2250235,250	40011,24	2250204,4500,2250214,2500,2250225,2000,2250235,1000	1000	100
110	2	80	6	30shouzhuo	80级手镯	250000	40009,25,40146,1,40246,1	2260204,6750,2260214,2250,2260225,750,2260235,250	40011,24	2260204,4500,2260214,2500,2260225,2000,2260235,1000	1000	100
111	2	80	7	30xiezi	80级鞋子	250000	40009,25,40147,1,40247,1	2270204,6750,2270214,2250,2270225,750,2270235,250	40011,24	2270204,4500,2270214,2500,2270225,2000,2270235,1000	1000	100
112	2	80	8	30jiezhi	80级戒指	250000	40009,25,40148,1,40248,1	2280204,6750,2280214,2250,2280225,750,2280235,250	40011,24	2280204,4500,2280214,2500,2280225,2000,2280235,1000	1000	100
113	2	90	1	30maozi	90级头盔	500000	40010,10,40149,1,40249,1	2210204,6750,2210214,2250,2210225,750,2210235,250	40011,32	2210204,4500,2210214,2500,2210225,2000,2210235,1000	1000	100
114	2	90	2	30wuqi	90级武器	500000	40010,10,40150,1,40250,1	2220204,6750,2220214,2250,2220225,750,2220235,250	40011,32	2220204,4500,2220214,2500,2220225,2000,2220235,1000	1000	100
115	2	90	3	30yifu	90级衣服	500000	40010,10,40151,1,40251,1	2230204,6750,2230214,2250,2230225,750,2230235,250	40011,32	2230204,4500,2230214,2500,2230225,2000,2230235,1000	1000	100
116	2	90	4	30xianglian	90级项链	500000	40010,10,40152,1,40252,1	2240204,6750,2240214,2250,2240225,750,2240235,250	40011,32	2240204,4500,2240214,2500,2240225,2000,2240235,1000	1000	100
117	2	90	5	30yaodai	90级腰带	500000	40010,10,40153,1,40253,1	2250204,6750,2250214,2250,2250225,750,2250235,250	40011,32	2250204,4500,2250214,2500,2250225,2000,2250235,1000	1000	100
118	2	90	6	30shouzhuo	90级手镯	500000	40010,10,40154,1,40254,1	2260204,6750,2260214,2250,2260225,750,2260235,250	40011,32	2260204,4500,2260214,2500,2260225,2000,2260235,1000	1000	100
119	2	90	7	30xiezi	90级鞋子	500000	40010,10,40155,1,40255,1	2270204,6750,2270214,2250,2270225,750,2270235,250	40011,32	2270204,4500,2270214,2500,2270225,2000,2270235,1000	1000	100
120	2	90	8	30jiezhi	90级戒指	500000	40010,10,40156,1,40256,1	2280204,6750,2280214,2250,2280225,750,2280235,250	40011,32	2280204,4500,2280214,2500,2280225,2000,2280235,1000	1000	100
121	2	100	1	30maozi	100级头盔	1000000	40010,25,40157,1,40257,1	2210204,6750,2210214,2250,2210225,750,2210235,250	40011,40	2210204,4500,2210214,2500,2210225,2000,2210235,1000	1000	100
122	2	100	2	30wuqi	100级武器	1000000	40010,25,40158,1,40258,1	2220204,6750,2220214,2250,2220225,750,2220235,250	40011,40	2220204,4500,2220214,2500,2220225,2000,2220235,1000	1000	100
123	2	100	3	30yifu	100级衣服	1000000	40010,25,40159,1,40259,1	2230204,6750,2230214,2250,2230225,750,2230235,250	40011,40	2230204,4500,2230214,2500,2230225,2000,2230235,1000	1000	100
124	2	100	4	30xianglian	100级项链	1000000	40010,25,40160,1,40260,1	2240204,6750,2240214,2250,2240225,750,2240235,250	40011,40	2240204,4500,2240214,2500,2240225,2000,2240235,1000	1000	100
125	2	100	5	30yaodai	100级腰带	1000000	40010,25,40161,1,40261,1	2250204,6750,2250214,2250,2250225,750,2250235,250	40011,40	2250204,4500,2250214,2500,2250225,2000,2250235,1000	1000	100
126	2	100	6	30shouzhuo	100级手镯	1000000	40010,25,40162,1,40262,1	2260204,6750,2260214,2250,2260225,750,2260235,250	40011,40	2260204,4500,2260214,2500,2260225,2000,2260235,1000	1000	100
127	2	100	7	30xiezi	100级鞋子	1000000	40010,25,40163,1,40263,1	2270204,6750,2270214,2250,2270225,750,2270235,250	40011,40	2270204,4500,2270214,2500,2270225,2000,2270235,1000	1000	100
128	2	100	8	30jiezhi	100级戒指	1000000	40010,25,40164,1,40264,1	2280204,6750,2280214,2250,2280225,750,2280235,250	40011,40	2280204,4500,2280214,2500,2280225,2000,2280235,1000	1000	100
129	3	30	1	30maozi	30级头盔	5000	40007,10,40101,1,40201,1	3210114,9000,3210115,1000	40011,1	3210114,7000,3210115,3000	200	100
130	3	30	2	30wuqi	30级武器	5000	40007,10,40102,1,40202,1	3220114,9000,3220115,1000	40011,1	3220114,7000,3220115,3000	200	100
131	3	30	3	30yifu	30级衣服	5000	40007,10,40103,1,40203,1	3230114,9000,3230115,1000	40011,1	3230114,7000,3230115,3000	200	100
132	3	30	4	30xianglian	30级项链	5000	40007,10,40104,1,40204,1	3240114,9000,3240115,1000	40011,1	3240114,7000,3240115,3000	200	100
133	3	30	5	30yaodai	30级腰带	5000	40007,10,40105,1,40205,1	3250114,9000,3250115,1000	40011,1	3250114,7000,3250115,3000	200	100
134	3	30	6	30shouzhuo	30级手镯	5000	40007,10,40106,1,40206,1	3260114,9000,3260115,1000	40011,1	3260114,7000,3260115,3000	200	100
135	3	30	7	30xiezi	30级鞋子	5000	40007,10,40107,1,40207,1	3270114,9000,3270115,1000	40011,1	3270114,7000,3270115,3000	200	100
136	3	30	8	30jiezhi	30级戒指	5000	40007,10,40108,1,40208,1	3280114,9000,3280115,1000	40011,1	3280114,7000,3280115,3000	200	100
137	3	40	1	30maozi	40级头盔	15000	40007,25,40109,1,40209,1	3210124,6750,3210134,2250,3210145,750,3210155,250	40011,2	3210124,4500,3210134,2500,3210145,2000,3210155,1000	400	100
138	3	40	2	30wuqi	40级武器	15000	40007,25,40110,1,40210,1	3220124,6750,3220134,2250,3220145,750,3220155,250	40011,2	3220124,4500,3220134,2500,3220145,2000,3220155,1000	400	100
