ID	Name	ItemTypeText	ItemText	ResId	ItemLevel	Occupation	ItemQuality	ItemType	ItemClassify	Sort	CostTime	UseEffect	Batch	UseCount	Remind	Stackable	Discard	OtherEffect	Sound	Model	QualityEffect	Announcement	Warehouse	bind	NoBindId	Intensify
6	战功	货币	货币描述6	jingyan	1	0	1	10	0	-1	0	0	1	0	0	-1	0	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	-1	1	1	-1	0
7	帮会贡献	货币	货币描述7	jingyan	1	0	1	10	0	-1	0	0	1	0	0	-1	0	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	-1	1	1	-1	0
8	帮会资金	货币	货币描述8	jingyan	1	0	1	10	0	-1	0	0	1	0	0	-1	0	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	-1	1	1	-1	0
9	战场荣誉	货币	货币描述9	jingyan	1	0	1	10	0	-1	0	0	1	0	0	-1	0	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	-1	1	1	-1	0
1000	100W经验丹	经验	物品描述1	1000	1	0	1	1	3	0	0	2,5,1000000	0	0	1	999	0	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	0	1	-1	0
1001	200W经验丹	经验	物品描述2	1001	1	0	2	1	3	0	0	2,5,2000000	1	0	1	999	0	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	0	1	-1	0
1002	300W经验丹	经验	物品描述3	1002	1	0	3	1	3	0	0	2,5,3000000	2	0	1	99	0	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	0	1	-1	0
1100	1000银币	银币	物品描述1	yinbi	1	0	1	1	3	0	0	2,4,1000	2	0	1	999	0	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	0	1	-1	0
1101	2000银币	银币	物品描述2	yinbi	1	0	2	1	3	0	0	2,4,2000	2	1,10	1	999	0	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	0	1	-1	0
500	——藏宝图			toumingditu	1	0	1	2	3	-1	0	0	1	0	0	99	0	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	-1	1	1	-1	0
501	普通破界图	宝图	到达指定的地点使用破界图，可破开次元壁障，有几率获取到稀世珍宝。	yinbi	1	0	3	20	3	-1	2000	5,1,2,3	0	0	0	1	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	-1	1	1	-1	0
502	高级破界图	宝图	到达指定的地点使用破界图，可破开次元壁障，有几率获取到稀世珍宝。	yinbi	1	0	4	20	3	-1	2000	5,1,2,3	0	0	0	1	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	-1	1	1	-1	0
503	究极破界图	宝图	到达指定的地点使用破界图，可破开次元壁障，有几率获取到稀世珍宝。	yinbi	1	0	5	20	3	-1	2000	5,1,2,3	0	0	0	1	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	-1	1	1	-1	0
10000	——任务类			toumingditu	1	0	1	2	3	-1	0	0	1	0	0	99	0	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
10001	任务1	任务	任务道具描述1	item_02_yj002	1	0	1	2	3	1	0	0	1	0	0	99	0	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
10002	任务2	任务	任务道具描述2	item_02_yj002	1	0	1	2	3	2	0	0	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
10003	任务3	任务	任务道具描述3	item_02_yj002	1	0	1	2	3	3	0	0	1	0	0	99	0	1	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
10004	任务4	任务	任务道具描述4	item_02_yj002	1	0	1	2	3	4	0	0	1	0	0	99	1	1	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
10005	任务5	任务	任务道具描述4	item_02_yj002	1	0	1	2	3	4	0	0	1	0	0	99	0	1,2	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
10006	任务6	任务	任务道具描述4	item_02_yj002	1	0	1	2	3	4	0	0	1	0	0	99	1	1,2	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
20000	——药品类			toumingditu	1	0	1	3	3	-1	0	3	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
20001	药品1	药品	药品效果描述1	item_02_yj002	1	0	1	3	3	5	0	3,200083	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
20002	药品2	药品	药品效果描述2	item_02_yj002	1	0	1	3	3	6	0	3,200083	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
20003	药品3	药品	药品效果描述3	item_02_yj002	1	0	1	3	3	7	0	3,200083	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
20004	药品4	药品	药品效果描述4	item_02_yj002	1	0	1	3	3	8	0	3,200083	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
30000	——礼包类			toumingditu	1	0	1	13	2	-1	0	0	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
30001	装备礼包	礼包	礼包的具体描述1	item_02_yj002	10	0	1	13	2	1	0	4,1,2,3,4,5,6,7	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
30002	礼包2	礼包	礼包的具体描述2	item_02_yj002	1	1	1	13	2	2	0	4,10,11,12,13,14,15,16,17,18,19	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
30003	礼包3	礼包	礼包的具体描述3	item_02_yj002	1	2	1	13	2	3	3000	4,20,21,22	1	0	1	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
30004	礼包4	礼包	礼包的具体描述4	item_02_yj002	1	3	1	13	2	4	3000	4,22	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
30005	测试礼包	礼包	礼包的具体描述4	item_02_yj002	1	0	1	13	2	4	0	4,31,32,33,34,35,36,37,38,39	0	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40000	——材料类			toumingditu	1	0	1	1	2	-1	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40001	初级强化石	材料	流传在世的神奇宝物，可以对装备部位进行强化。	40001	1	0	1	14	3	5	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	10040001	0
40002	中级强化石	材料	流传在世的神奇宝物，可以对装备部位进行强化。	40002	1	0	2	14	3	6	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	10040002	0
40003	高级强化石	材料	流传在世的神奇宝物，可以对装备部位进行强化。	40003	1	0	3	14	3	7	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	10040003	0
40004	超级强化石	材料	流传在世的神奇宝物，可以对装备部位进行强化。	40004	1	0	4	14	3	7	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	10040004	0
40005	神级强化石	材料	流传在世的神奇宝物，可以对装备部位进行强化。	40005	1	0	5	14	3	7	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	10040005	0
40006	染色石	材料	道具描述4	item_02_yj002	1	0	1	1	3	8	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	10040006	0
40007	打造材料1	材料	打造材料	40002	1	0	2	1	3	9	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	10040007	0
40008	打造材料2	材料	打造材料	40003	1	0	3	1	3	10	0	1,ui/actor/uiactor	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	10040008	0
40009	打造材料3	材料	打造材料	40004	1	0	4	1	3	11	0	1,ui/equipment/equipwindow	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	10040009	0
40010	打造材料4	材料	打造材料	40005	1	0	5	1	3	12	0	1,	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	10040010	0
40011	强化打造材料	材料	强化打造材料	item_02_yj002	1	0	5	1	3	13	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40021	洗练材料1	材料	洗练材料	40002	1	0	2	1	3	14	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40022	洗练材料2	材料	洗练材料	40003	1	0	3	1	3	15	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40023	洗练材料3	材料	洗练材料	40004	1	0	4	1	3	16	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40024	洗练材料4	材料	洗练材料	40005	1	0	5	1	3	17	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40101	30级头盔打造符	材料	装备打造符	item_02_yj002	1	0	2	1	2	18	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40102	30级武器打造符	材料	装备打造符	item_02_yj002	1	0	2	1	2	19	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40103	30级衣服打造符	材料	装备打造符	item_02_yj002	1	0	2	1	2	20	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40104	30级项链打造符	材料	装备打造符	item_02_yj002	1	0	2	1	2	21	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40105	30级腰带打造符	材料	装备打造符	item_02_yj002	1	0	2	1	2	22	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40106	30级手镯打造符	材料	装备打造符	item_02_yj002	1	0	2	1	2	23	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40107	30级鞋子打造符	材料	装备打造符	item_02_yj002	1	0	2	1	2	24	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40108	30级戒指打造符	材料	装备打造符	item_02_yj002	1	0	2	1	2	25	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40109	40级头盔打造符	材料	装备打造符	item_02_yj002	1	0	3	1	2	26	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40110	40级武器打造符	材料	装备打造符	item_02_yj002	1	0	3	1	2	27	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40111	40级衣服打造符	材料	装备打造符	item_02_yj002	1	0	3	1	2	28	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40112	40级项链打造符	材料	装备打造符	item_02_yj002	1	0	3	1	2	29	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40113	40级腰带打造符	材料	装备打造符	item_02_yj002	1	0	3	1	2	30	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40114	40级手镯打造符	材料	装备打造符	item_02_yj002	1	0	3	1	2	31	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40115	40级鞋子打造符	材料	装备打造符	item_02_yj002	1	0	3	1	2	32	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40116	40级戒指打造符	材料	装备打造符	item_02_yj002	1	0	3	1	2	33	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40117	50级头盔打造符	材料	装备打造符	item_02_yj002	1	0	3	1	2	34	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40118	50级武器打造符	材料	装备打造符	item_02_yj002	1	0	3	1	2	35	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40119	50级衣服打造符	材料	装备打造符	item_02_yj002	1	0	3	1	2	36	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40120	50级项链打造符	材料	装备打造符	item_02_yj002	1	0	3	1	2	37	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40121	50级腰带打造符	材料	装备打造符	item_02_yj002	1	0	3	1	2	38	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40122	50级手镯打造符	材料	装备打造符	item_02_yj002	1	0	3	1	2	39	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40123	50级鞋子打造符	材料	装备打造符	item_02_yj002	1	0	3	1	2	40	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40124	50级戒指打造符	材料	装备打造符	item_02_yj002	1	0	3	1	2	41	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40125	60级头盔打造符	材料	装备打造符	item_02_yj002	1	0	4	1	2	42	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40126	60级武器打造符	材料	装备打造符	item_02_yj002	1	0	4	1	2	43	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40127	60级衣服打造符	材料	装备打造符	item_02_yj002	1	0	4	1	2	44	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40128	60级项链打造符	材料	装备打造符	item_02_yj002	1	0	4	1	2	45	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40129	60级腰带打造符	材料	装备打造符	item_02_yj002	1	0	4	1	2	46	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40130	60级手镯打造符	材料	装备打造符	item_02_yj002	1	0	4	1	2	47	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40131	60级鞋子打造符	材料	装备打造符	item_02_yj002	1	0	4	1	2	48	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40132	60级戒指打造符	材料	装备打造符	item_02_yj002	1	0	4	1	2	49	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
40133	70级头盔打造符	材料	装备打造符	item_02_yj002	1	0	4	1	2	50	0	1	1	0	0	99	1	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	1000008	1	1	-1	0
