ID	name	type	typeorder	camp	pretask	Next	level	maxlevel	startnpc	endnpc	itemsreceive	exp	rewarditems	DropGroupID	addbuff	desc	detaileddesc	condition	request	AutoReceive	AutoFinish	dungeon	TasksTate	PlayMove	MapRegionID	tga	is_show	Findpath
24	初入神都	1	1	1	23	25	1	150	10102	10102	0	10500	4,20000	0	0	讨论后续道路	同白书简对话后，当扈思索决定进入神都，找御川。	1	1	1	-1	0	0	0	0	0	0	0
25	打听事情	1	1	1	24	26	1	150	10103	10103	0	12000	4,20000	0	0	找路人询问	在神都找了许久有些迷路，在当扈的指引下，向神都本地人问路。	1	1	1	-1	0	0	0	0	0	0	0
26	缘起缘落	1	1	1	25	27	1	150	10104	10104	0	13500	4,20000	0	0	寻找结缘神	为了获取消息，独自寻找结缘神，神都一角遇到了穿着美丽的年轻女孩。	1	1	1	-1	0	0	0	0	0	0	0
27	结缘手绳	1	1	1	26	28	1	150	10104	10104	0	15000	4,20000	0	0	求结缘手绳	年轻女孩正是要找的结缘神，同结缘神交谈，希望她能够帮助自己。	1	1	1	-1	0	0	0	0	0	0	0
28	见多识广	1	1	1	27	29	1	150	10103	10103	0	16500	4,20000	0	0	带回结缘手绳	从结缘神那里得到结缘手绳，将其带给路人A，向他打听消息。	1	1	1	-1	0	0	0	0	0	0	0
29	门前受阻	1	1	1	28	30	1	150	10105	10105	0	18000	4,20000	0	0	此地禁止通行	路人A并不知道什么，不过好在从他口中得到一个有用的线索，根据路人A所述，前去寻找乔木。	1	1	1	-1	0	0	0	0	0	0	0
30	询问御川	1	1	1	29	31	1	150	10105	10105	0	20000	4,20000	0	0	打听御川所在	神都求助当地人，在其一侧房屋处看到负责看管的乔木，上前向他打听御川所在。	1	1	1	-1	0	0	0	0	0	0	0
31	免单活动	1	1	1	30	32	1	150	10106	10106	0	22000	4,20000	0	0	品尝牡丹燕菜	为了换取具体消息前往酒店给乔木买杜康贡酒，恰逢店庆，运气爆棚。	1	1	1	-1	0	0	0	0	0	0	0
32	好评送礼	1	1	1	31	33	1	150	10107	10107	0	24000	4,20000	0	0	打包杜康贡酒	好运连连，接受服务生的推荐，参与五星好评送豪礼。	1	1	1	-1	0	0	0	0	0	0	0
33	性情中人	1	1	1	32	34	1	150	10105	10105	0	26000	4,20000	0	0	交给乔木杜康酒	好评获得杜康贡酒，打包杜康酒赶回乔木工作地方换取重要信息。	1	1	1	-1	0	0	0	0	0	0	0
34	受人之托	1	1	1	33	35	1	150	10105	10105	0	28000	4,20000	0	0	同乔木交谈	将杜康贡酒交给乔木，从乔木的故事中的得知御川是一个称呼，并非人名；乔木询问其来意。	1	1	1	-1	0	0	0	0	0	0	0
35	寻找白书简	1	1	1	34	36	1	150	10105	10105	0	30000	4,20000	0	0	诉说来此原因	同乔木交谈，告知他自己所来之事，同时也将李英遇难，暂时修养的事情一并诉说。	1	1	1	-1	0	0	0	0	0	0	0
36	答谢相助	1	1	1	35	37	1	150	10108	10108	0	32000	4,20000	0	0	同白书简交谈	听从乔木的建议寻找白书简，希望可以对自己有所帮助。	1	1	1	-1	0	0	0	0	0	0	0
37	放手一搏	1	1	1	36	38	1	150	10108	10108	0	34000	4,20000	0	0	神农鼎消息	考核之地找到白书简，向他答谢救命之恩，并询问神农鼎的消息。	1	1	1	-1	0	0	0	0	0	0	0
38	证明自己	1	1	1	37	39	1	150	10109	10109	0	36000	4,20000	0	0	参与御川考核	顺利从谷阳洞回来，感觉实力倍增，快找白书简参加比赛，证明自己吧。	1	1	1	-1	0	0	0	0	0	0	0
39	小道消息	1	1	1	38	40	1	150	10110	10110	0	38000	4,20000	0	0	御川会议邀请	顺利通过御川考核，询问白书简参与御川会议的途径。	1	1	1	-1	0	0	0	0	0	0	0
40	采集牡丹花	1	1	1	39	41	1	150	10110	10110	0	40000	4,20000	0	0	白书简支招	白书简告知御川已发出邀请，要想得知更多信息需要找到司穹峰。	1	1	1	-1	0	0	0	0	0	0	0
41	来者是客	1	1	1	40	42	1	150	10111	10111	0	42000	4,20000	0	0	送礼牡丹花	司穹峰酷爱牡丹，相信白书简所言，带着牡丹前去寻找司穹峰。	1	1	1	-1	0	0	0	0	0	0	0
42	上古神器	1	1	1	41	43	1	150	10111	10111	0	44000	4,20000	0	0	上古神器之谜	司穹峰收到牡丹甚是高兴，他似乎知道此行目的，并未太多为难。	1	1	1	-1	0	0	0	0	0	0	0
43	神都以东	1	1	1	42	44	1	150	10112	10112	0	46000	4,20000	0	0	高手指明前路	认真倾听司穹峰所言，得知上古神器之谜，并在建议下决定前往寻找甪端。	1	1	1	-1	0	0	0	0	0	0	0
44	甪端受伤	1	1	1	43	45	1	150	10113	10113	0	48000	4,20000	0	0	告知所来目的	听到司穹峰所言找到甪端，无意看到两名男子的争执，从中找到甪端，向其介绍此行。	1	1	1	-1	0	0	0	0	0	0	0
45	《河洛天书》	1	1	1	44	46	1	150	10113	10113	0	50000	4,20000	0	0	端给十足全虫	喝完十足全虫的甪端看起来有些恢复，不过他对突然的出现有着自己的理解。	1	1	1	-1	0	0	0	0	0	0	0
46	好友离去	1	1	1	45	47	1	150	10114	10114	0	52000	4,20000	0	0	八卦甪端遭遇	甪端提到《河洛天书》，有些不解。刚才的情形似乎并不寻常，八卦一下可能有其他发现。	1	1	1	-1	0	0	0	0	0	0	0
47	快件到达	1	1	1	46	48	1	150	10114	10114	0	54000	4,20000	0	0	得知有封快件	八卦甪端遭遇，轻微调侃，甪端似乎并不想提及，出声喝止。	1	1	1	-1	0	0	0	0	0	0	0
48	神都取件	1	1	1	47	49	1	150	10115	10115	0	56000	4,20000	0	0	返回神都取件	甪端转移话题，不让多加询问。从他口中神都有封快递到达，还是先取件吧。	1	1	1	-1	0	0	0	10199	0	0	0
49	一人一城	1	1	1	48	50	1	150	10201	10201	0	58000	4,20000	0	0	奇怪的小男孩	为夺回《河洛天书》，追赶飞廉来到雾都。进入雾都看到一个奇怪的小男孩。	1	1	1	-1	0	0	0	0	0	0	0
50	招惹狙如	1	1	1	49	51	1	150	10202	10202	0	60000	4,20000	0	0	遭到嘲笑	狙如剧变，好在有好心人出声提醒，才躲过一劫。一定要好好谢谢人家。	1	1	1	-1	0	0	0	0	0	0	0
51	以身相许	1	1	1	50	52	1	150	10202	10202	0	62000	4,20000	0	0	询问去向	寻找好心人时遭到小哥哥的嘲笑，(⊙o⊙)…额，还是赶紧问下好心人在哪里吧。	1	1	1	-1	0	0	0	0	0	0	0
52	不知心	1	1	1	51	53	1	150	10203	10203	0	64000	4,20000	0	0	答谢神秘人	狙如剧变，好在有好心人出声提醒，才躲过一劫。一定要好好谢谢人家。	1	1	1	-1	0	0	0	0	0	0	0
53	昊天塔	1	1	1	52	54	1	150	10203	10203	0	66000	4,20000	0	0	缠问好心人	向好心人询问飞廉并未得到答复，却得到重要消息，昊天塔已经被夺走。	1	1	1	-1	0	0	0	0	0	0	0
54	奇人陆吾	1	1	1	53	55	1	150	10204	10204	0	68000	4,20000	0	0	提交蜀绣	从一个残破的箱子中拿到蜀绣，立刻赶往陆吾所在的地方，建筑前有一个穿着高雅的男子，上前交谈。	1	1	1	-1	0	0	0	0	0	0	0
55	前路坎坷	1	1	1	54	56	1	150	10204	10204	0	70000	4,20000	0	0	听取陆吾建议	从此人言谈举止，基本确认眼前这个穿着高雅的男子就是陆吾，递交蜀绣，希望得到有用的消息。	1	1	1	-1	0	0	0	0	0	0	0
56	苦力劳动	1	1	1	55	57	1	150	10205	10205	0	72000	4,20000	0	0	陆吾的苦力	在雾都锻炼拳脚感觉实力有所提升，向陆吾炫耀个人成长却遇到一个小姐姐。	1	1	1	-1	0	0	0	0	0	0	0
57	天书踪迹	1	1	1	56	58	1	150	10204	10204	0	74000	4,20000	0	0	神农殿新发现	甪端会继续盯着飞廉，暂时不用分心。神农殿那边有新发现，还好陆吾告知线索。	1	1	1	-1	0	0	0	0	0	0	0
58	再次相见	1	1	1	57	59	1	150	10206	10206	0	76000	4,20000	0	0	巧遇兼职生	在陆吾帮助下得知神农殿新发现，前往寻找线索遇到老朋友，交谈得知被戊给“卖”了。	1	1	1	-1	0	0	0	0	0	0	0
59	一言为定	1	1	1	58	60	1	150	10207	10207	0	78000	4,20000	0	0	上交庆典食材	经过努力得到异果和蛇胆，顺利完成戊的嘱托，返回戊的所在地，交给他庆典食材。	1	1	1	-1	0	0	0	0	0	0	0
60	殿中动荡	1	1	1	59	61	1	150	10207	10207	0	80000	4,20000	0	0	《河洛天书》被抢	送上食材，和戊相谈甚欢，真想把酒言欢啊。突然到来的消息不得不前往查看。	1	1	1	-1	0	0	0	0	0	0	0
61	线索终端	1	1	1	60	62	1	150	10208	10208	0	82000	4,20000	0	0	来自乔木的安慰	神农殿中掉落《上古神魔录》从中获得这个世界的秘密，心情沮丧。	1	1	1	-1	0	0	0	0	0	0	0
62	免费赠送	1	1	1	61	63	1	150	10209	10209	0	84000	4,20000	0	0	陆吾的等待	陆吾告知这次不收取信息费，不可置信中，性格古怪的他又突然开口。	1	1	1	-1	0	0	0	0	0	0	0
63	开采香花石	1	1	1	62	64	1	150	10209	10209	0	86000	4,20000	0	0	古怪的陆吾	陆吾告知这次不收取信息费，不可置信中，性格古怪的他又突然开口。	1	1	1	-1	0	0	0	0	0	0	0
64	希望	1	1	1	63	65	1	150	10210	10210	0	88000	4,20000	0	0	十大神器	从开采的金蛋中取出香花石交给陆吾，换取最新的情报。	1	1	1	-1	0	0	0	0	0	0	0
65	指引方向	1	1	1	64	66	1	150	10211	10211	0	90000	4,20000	0	0	询问地图所指	突然进入黑暗，黑暗中在白书简的帮助下从无字书中看到地图影像，向白书简询问地图所指。	1	1	1	-1	0	0	0	0	0	0	0
66	桐柏山之行	1	1	1	65	67	1	150	10210	10210	0	92000	4,20000	0	0	虚空指路	在白书简的帮助下得知地图所指，寻找虚空询问道路方向。	1	1	1	-1	0	0	0	0	0	0	0
67	等价交换	1	1	1	66	68	1	150	10301	10301	0	94000	4,20000	0	0	向陆吾求助	四处观看遭遇袭击，好在化险为夷，继续行走，发现不远处的人有些熟悉，向他求助。	1	1	1	-1	0	0	0	0	0	0	0
68	另找高明	1	1	1	67	69	1	150	10301	10301	0	96000	4,20000	0	0	询问陆吾要求	原来那人是陆吾，真是苦力命啊。陆吾虽说会帮忙，但是需要付出代价交换，哎，还是先问问吧。	1	1	1	-1	0	0	0	0	0	0	0
69	采花受阻	1	1	1	68	70	1	150	10302	10302	0	98000	4,20000	0	0	采花遭遇拦截	采集桐桔梗没想到遇到一个小姐姐，小姐姐出声喝止不会想讹钱吧。	1	1	1	-1	0	0	0	0	0	0	0
70	商讨赔偿	1	1	1	69	71	1	150	10302	10302	0	100000	4,20000	0	0	种植受阻	小姐姐态度强硬，如果要私掉此事看来只能帮助她解决掉面临的种植麻烦了。	1	1	1	-1	0	0	0	0	0	0	0
71	此间事了	1	1	1	70	72	1	150	10302	10302	0	102000	4,20000	0	0	私聊赔偿	帮助小姐姐解决种植麻烦，遇到袭击，顺利化解危机，快与她私聊，兑现承诺吧。	1	1	1	-1	0	0	0	0	0	0	0
72	盘古斧出世	1	1	1	71	73	1	150	10303	10303	0	104000	4,20000	0	0	递交交换物	将陆吾要求的桐桔梗和桐柏玉叶茶一并递交给他，从他口中获取信息。	1	1	1	-1	0	0	0	0	0	0	0
73	人情味	1	1	1	72	74	1	150	10303	10303	0	106000	4,20000	0	0	同陆吾交谈	前往盘古斧出世地方查看，受到攻击，奋力一战。	1	1	1	-1	0	0	0	0	0	0	0
74	两仪界	1	1	1	73	75	1	150	10303	10303	0	108000	4,20000	0	0	告知获得盘古斧	同陆吾交谈，告知自己获得盘古斧。从陆吾口中得知两仪界已经开启。	1	1	1	-1	0	0	0	0	0	0	0
75	家中有事	1	1	1	74	76	1	150	10304	10304	0	110000	4,20000	0	0	进入两仪界	进入两仪界，两仪界内风景秀丽。三族会议即将召开，大家都开始忙碌起来。	1	1	1	-1	0	0	0	0	0	0	0
76	孔雀开屏	1	1	1	75	77	1	150	10304	10304	0	112000	4,20000	0	0	听陆吾道来	人是铁饭是钢，在戊的美食诱惑下决定留下来帮忙。不过想听听看才知道。	1	1	1	-1	0	0	0	0	0	0	0
77	乱跑乱撞	1	1	1	76	78	1	150	10302	10302	0	114000	4,20000	0	0	寻找武昌鱼	孔雀开屏缺少主要食材武昌鱼，答应戊帮他解决这个问题，在两仪界四处寻找。	1	1	1	-1	0	0	0	0	0	0	0
78	满载而归	1	1	1	77	79	1	150	10304	10304	0	116000	4,20000	0	0	提交武昌鱼	顺利获取武昌鱼，快带去给戊，他肯定都等急了。	1	1	1	-1	0	0	0	0	0	0	0
79	劳累过度	1	1	1	78	80	1	150	10304	10304	0	118000	4,20000	0	0	向戊抱怨	劳累一天又是捉鱼又是搬罐，不能这样憋着，要和戊好好谈谈。	1	1	1	-1	0	0	0	0	0	0	0
80	乱加指责	1	1	1	79	-1	1	150	10305	10305	0	120000	4,20000	0	0	遭遇指责	两仪界突然晃动，餐品散落，旁边的小哥哥发出指责，认为是外界闯入带来的劫数。	1	1	1	-1	0	0	0	0	0	0	0
5001	采集草药-支线	2	2	0	0	0	50	150	10003	10003	0	2000	4,20000	0	0	去采集5个<color=#00FF00>草药</color>吧	药师需要5个草药，但是最近人手不够，所以你快去帮帮忙吧！	3	10201,1	-1	-1	0	0	0	0	0	0	0
5002	押送药草-支线	2	2	0	0	0	50	150	10003	10004	99999	2000	4,20000	0	0	将这些药草带去给<color=#00FF00>王道灵</color>吧	药师走不开，让你把这些药草带去给村长吧！	5	5	-1	-1	0	0	0	0	0	0	0
5003	杀怪救人-支线	2	2	0	0	0	50	150	10004	10004	0	2000	4,20000	0	0	村口妖人众多，你且去清理一番吧！	村民来报，最近村口有妖人作祟，你且前去清理一番！	2	10001,2	-1	-1	0	0	0	0	0	0	1
5004	灵丹妙药-支线	2	2	0	0	0	50	150	10004	10003	0	2000	4,20000	0	0	找到一个丹药送给药师吧！	找到丹药送给药师，有了这些灵药就能救助更多的人了！	4	10001,1	-1	-1	0	0	0	0	0	0	-1
5005	新手副本	2	2	0	0	0	99	150	10004	10004	0	2000	4,20000	0	0	通关一次新手副本！	通关一次新手副本，获取奖励！	6	301,1	-1	-1	0	0	0	0	0	0	3
5006	传送测试	2	2	0	0	0	99	150	10004	10004	0	2000	4,20000	0	0	去雾都看一圈吧！	雾都的风景出色，你且去游览一番。	12	1	-1	-1	0	0	0	10201	0	0	6
2001	采集草药1-日常	3	3	0	0	0	30	150	10099	-1	0	2000	4,20000	0	0	去采集5个<color=#00FF00>草药</color>吧	药师需要5个草药，但是最近人手不够，所以你快去帮帮忙吧！	3	10001,3	1	1	0	0	0	0	0	0	2
2002	杀怪救人2-日常	3	3	0	0	0	30	150	10099	-1	0	2000	4,20000	0	0	村口妖人众多，你且去清理一番吧！	村民来报，最近村口有妖人作祟，你且前去清理一番！	2	10001,2	1	1	0	0	0	0	0	0	1
2003	灵丹妙药3-日常	3	3	0	0	0	30	150	10099	10099	0	2000	4,20000	0	0	找到一个丹药送给药师吧！	找到丹药送给药师，有了这些灵药就能救助更多的人了！	4	10001,1	1	-1	0	0	0	0	0	0	-1
2004	采集草药4-日常	3	3	0	0	0	30	150	10099	-1	0	2000	4,20000	0	0	去采集5个<color=#00FF00>草药</color>吧	药师需要5个草药，但是最近人手不够，所以你快去帮帮忙吧！	3	10002,3	1	1	0	0	0	0	0	0	3
2005	杀怪救人5-日常	3	3	0	0	0	30	150	10099	-1	0	2000	4,20000	0	0	村口妖人众多，你且去清理一番吧！	村民来报，最近村口有妖人作祟，你且前去清理一番！	2	10001,2	1	1	0	0	0	0	0	0	1
2006	灵丹妙药6-日常	3	3	0	0	0	30	150	10099	10099	0	2000	4,20000	0	0	找到一个丹药送给药师吧！	找到丹药送给药师，有了这些灵药就能救助更多的人了！	4	10001,1	1	-1	0	0	0	0	0	0	-1
2007	采集草药7-日常	3	3	0	0	0	30	150	10099	-1	0	2000	4,20000	0	0	去采集5个<color=#00FF00>草药</color>吧	药师需要5个草药，但是最近人手不够，所以你快去帮帮忙吧！	3	10001,2	1	1	0	0	0	0	0	0	2
2008	杀怪救人8-日常	3	3	0	0	0	30	150	10099	-1	0	2000	4,20000	0	0	村口妖人众多，你且去清理一番吧！	村民来报，最近村口有妖人作祟，你且前去清理一番！	2	10001,2	1	1	0	0	0	0	0	0	1
2009	灵丹妙药9-日常	3	3	0	0	0	30	150	10099	10099	0	2000	4,20000	0	0	找到一个丹药送给药师吧！	找到丹药送给药师，有了这些灵药就能救助更多的人了！	4	10001,1	1	-1	0	0	0	0	0	0	-1
2010	采集草药10-日常	3	3	0	0	0	30	150	10099	-1	0	2000	4,20000	0	0	去采集5个<color=#00FF00>草药</color>吧	药师需要5个草药，但是最近人手不够，所以你快去帮帮忙吧！	3	10002,3	1	1	0	0	0	0	0	0	3
2011	杀怪救人11-日常	3	3	0	0	0	30	150	10099	-1	0	2000	4,20000	0	0	村口妖人众多，你且去清理一番吧！	村民来报，最近村口有妖人作祟，你且前去清理一番！	2	10001,2	1	1	0	0	0	0	0	0	1
2012	灵丹妙药12-日常	3	3	0	0	0	30	150	10099	10099	0	2000	4,20000	0	0	找到一个丹药送给药师吧！	找到丹药送给药师，有了这些灵药就能救助更多的人了！	4	10001,1	1	-1	0	0	0	0	0	0	-1
2013	采集草药13-日常	3	3	0	0	0	30	150	10099	-1	0	2000	4,20000	0	0	去采集5个<color=#00FF00>草药</color>吧	药师需要5个草药，但是最近人手不够，所以你快去帮帮忙吧！	3	10002,3	1	1	0	0	0	0	0	0	3
2014	杀怪救人14-日常	3	3	0	0	0	30	150	10099	-1	0	2000	4,20000	0	0	村口妖人众多，你且去清理一番吧！	村民来报，最近村口有妖人作祟，你且前去清理一番！	2	10001,2	1	1	0	0	0	0	0	0	1
2015	灵丹妙药15-日常	3	3	0	0	0	30	150	10099	10099	0	2000	4,20000	0	0	找到一个丹药送给药师吧！	找到丹药送给药师，有了这些灵药就能救助更多的人了！	4	10001,1	1	-1	0	0	0	0	0	0	-1
6001	通关一次副本	2	4	0	0	0	99	150	-1	-1	0	2000	4,20001	0	0	快去通关一个副本吧！	副本内有着大量的装备产出，每天打完所有的副本能快速提升装备。	6	303,1	1	1	303	0	0	0	jingyan	0	-1
6002	杀死等级段怪物	2	4	0	0	0	99	150	-1	-1	0	2000	4,20002	0	0	杀死1-10级的怪物10个	击杀野外怪物，获得大量任务奖励。	7	1,12,10	1	1	0	0	0	0	jingyan	0	0
6003	强化一次装备	2	4	0	0	0	99	150	-1	-1	0	2000	4,20003	0	0	强化一次装备	强化装备，快速提升能力！	8	1	1	1	0	0	0	0	jingyan	0	-1
6004	组队一次	2	4	0	0	0	99	150	-1	-1	0	2000	4,20004	0	0	组队一次	组队进行副本活动，能获得丰富的额外奖励。	9	1	1	1	0	0	0	0	weixian	0	-1
6005	添加一个朋友	2	4	0	0	0	19	150	-1	-1	0	2000	4,20005	0	0	添加一个朋友	出门在外，朋友少不了！	10	1	1	1	0	0	0	0	weixian	0	-1
6006	穿戴4件20级装备	2	4	0	0	0	25	150	-1	-1	0	2000	4,20006	0	0	穿戴4件20级的装备	符合当前等级的装备，能提升不少能力！	11	20,4	1	1	0	0	0	0	weixian	0	-1
7001	悬赏任务	5	5	0	0	0	80	150	10098	-1	0	2000	4,20006	0	0	击杀10个小怪	击杀野外怪物，获得大量任务奖励。	2	10001,10	-1	-1	0	0	0	0	0	0	0
