ID	Name	Job	Sex	LevelDown	LevelUp	TaskID	Probability	DropID	NumberMin	NumMax	NumLimit
310012	10级小怪掉落组	0	0	1	100	0	10000	320014	1	1	-1
310013	10级小怪掉落组	0	0	1	100	0	10000	320015	1	1	-1
310014	10级小怪掉落组	0	0	1	100	0	10000	320016	1	1	-1
310101	异兽录第1次掉落	0	0	1	20	0	10000	320201,320202,320203	1	1	-1
310102	异兽录第1次掉落	0	0	21	40	0	10000	320204,320205,320206	1	1	-1
310103	异兽录第1次掉落	0	0	41	60	0	10000	320207,320208,320209	1	1	-1
310104	异兽录第1次掉落	0	0	61	80	0	10000	320210,320211,320212	1	1	-1
310105	异兽录第1次掉落	0	0	81	100	0	10000	320213,320214,320215	1	1	-1
310106	异兽录第2次掉落	0	0	1	100	0	10000	320216,320217,320218	1	1	-1
310107	异兽录第3次掉落	0	0	1	100	0	10000	320219,320220,320221	1	1	-1
310108	异兽录第4次掉落	0	0	1	100	0	10000	320222,320223,320224	1	1	-1
310109	异兽录第5次掉落	0	0	1	100	0	10000	320225,320226,320227	1	1	-1
310110	异兽录第6次掉落	0	0	1	100	0	10000	320228,320229,320230	1	1	-1
310111	异兽录第7次掉落	0	0	1	100	0	10000	320231,320232,320233	1	1	-1
310112	异兽录第8次掉落	0	0	1	100	0	10000	320234,320235,320236	1	1	-1
310113	异兽录第9次掉落	0	0	1	100	0	10000	320237,320238,320239	1	1	-1
310114	异兽录第10次掉落	0	0	1	100	0	10000	320240,320241,320242	1	1	-1
310201	固定掉落（1~9级世界地图怪物）	0	0	1	100	0	10000	320101,320601	1	1	-1
310202	固定掉落（10~19级世界地图怪物）	0	0	1	100	0	10000	320102,320602	1	1	-1
310203	固定掉落（20~29级世界地图怪物）	0	0	1	100	0	10000	320103,320603	1	1	-1
310204	固定掉落（30~39级世界地图怪物）	0	0	1	100	0	10000	320104,320604	1	1	-1
310205	固定掉落（40~49级世界地图怪物）	0	0	1	100	0	10000	320105,320605	1	1	-1
310206	固定掉落（50~59级世界地图怪物）	0	0	1	100	0	10000	320106,320606	1	1	-1
310207	固定掉落（60~69级世界地图怪物）	0	0	1	100	0	10000	320107,320607	1	1	-1
310208	固定掉落（70~79级世界地图怪物）	0	0	1	100	0	10000	320108,320608	1	1	-1
310209	固定掉落（80~89级世界地图怪物）	0	0	1	100	0	10000	320109,320609	1	1	-1
310210	固定掉落（90~100级世界地图怪物）	0	0	1	100	0	10000	320110,320610	1	1	-1
310211	白色战士装备掉落（1~9级世界地图怪物）	1	0	1	100	0	1250	321101,321102,321103,321104,321105,321106,321107,321108	1	1	-1
310212	白色法师装备掉落（1~9级世界地图怪物）	2	0	1	100	0	1250	321111,321112,321113,321114,321115,321116,321117,321118	1	1	-1
310213	白色射手装备掉落（1~9级世界地图怪物）	3	0	1	100	0	1250	321121,321122,321123,321124,321125,321126,321127,321128	1	1	-1
310214	白色刺客装备掉落（1~9级世界地图怪物）	4	0	1	100	0	1250	321131,321132,321133,321134,321135,321136,321137,321138	1	1	-1
310215	白色战士装备掉落（10~19级世界地图怪物）	1	0	1	100	0	1250	321101,321102,321103,321104,321105,321106,321107,321108	1	1	-1
310216	白色法师装备掉落（10~19级世界地图怪物）	2	0	1	100	0	1250	321111,321112,321113,321114,321115,321116,321117,321118	1	1	-1
310217	白色射手装备掉落（10~19级世界地图怪物）	3	0	1	100	0	1250	321121,321122,321123,321124,321125,321126,321127,321128	1	1	-1
310218	白色刺客装备掉落（10~19级世界地图怪物）	4	0	1	100	0	1250	321131,321132,321133,321134,321135,321136,321137,321138	1	1	-1
310219	绿色战士装备掉落（10~19级世界地图怪物）	1	0	1	100	0	250	322101,322102,322103,322104,322105,322106,322107,322108	1	1	-1
310220	绿色法师装备掉落（10~19级世界地图怪物）	2	0	1	100	0	250	322111,322112,322113,322114,322115,322116,322117,322118	1	1	-1
310221	绿色射手装备掉落（10~19级世界地图怪物）	3	0	1	100	0	250	322121,322122,322123,322124,322125,322126,322127,322128	1	1	-1
310222	绿色刺客装备掉落（10~19级世界地图怪物）	4	0	1	100	0	250	322131,322132,322133,322134,322135,322136,322137,322138	1	1	-1
310223	白色战士装备掉落（20~29级世界地图怪物）	1	0	1	100	0	1250	321101,321102,321103,321104,321105,321106,321107,321108	1	1	-1
310224	白色法师装备掉落（20~29级世界地图怪物）	2	0	1	100	0	1250	321111,321112,321113,321114,321115,321116,321117,321118	1	1	-1
310225	白色射手装备掉落（20~29级世界地图怪物）	3	0	1	100	0	1250	321121,321122,321123,321124,321125,321126,321127,321128	1	1	-1
310226	白色刺客装备掉落（20~29级世界地图怪物）	4	0	1	100	0	1250	321131,321132,321133,321134,321135,321136,321137,321138	1	1	-1
310227	绿色战士装备掉落（20~29级世界地图怪物）	1	0	1	100	0	250	322101,322102,322103,322104,322105,322106,322107,322108	1	1	-1
310228	绿色法师装备掉落（20~29级世界地图怪物）	2	0	1	100	0	250	322111,322112,322113,322114,322115,322116,322117,322118	1	1	-1
310229	绿色射手装备掉落（20~29级世界地图怪物）	3	0	1	100	0	250	322121,322122,322123,322124,322125,322126,322127,322128	1	1	-1
310230	绿色刺客装备掉落（20~29级世界地图怪物）	4	0	1	100	0	250	322131,322132,322133,322134,322135,322136,322137,322138	1	1	-1
310231	蓝色战士装备掉落（20~29级世界地图怪物）	1	0	1	100	0	50	322301,322302,322303,322304,322305,322306,322307,322308	1	1	-1
310232	蓝色法师装备掉落（20~29级世界地图怪物）	2	0	1	100	0	50	322311,322312,322313,322314,322315,322316,322317,322318	1	1	-1
310233	蓝色射手装备掉落（20~29级世界地图怪物）	3	0	1	100	0	50	322321,322322,322323,322324,322325,322326,322327,322328	1	1	-1
310234	蓝色刺客装备掉落（20~29级世界地图怪物）	4	0	1	100	0	50	322331,322332,322333,322334,322335,322336,322337,322338	1	1	-1
310235	白色战士装备掉落（30~39级世界地图怪物）	1	0	1	100	0	1250	321101,321102,321103,321104,321105,321106,321107,321108	1	1	-1
310236	白色法师装备掉落（30~39级世界地图怪物）	2	0	1	100	0	1250	321111,321112,321113,321114,321115,321116,321117,321118	1	1	-1
310237	白色射手装备掉落（30~39级世界地图怪物）	3	0	1	100	0	1250	321121,321122,321123,321124,321125,321126,321127,321128	1	1	-1
310238	白色刺客装备掉落（30~39级世界地图怪物）	4	0	1	100	0	1250	321131,321132,321133,321134,321135,321136,321137,321138	1	1	-1
310239	绿色战士装备掉落（30~39级世界地图怪物）	1	0	1	100	0	250	322101,322102,322103,322104,322105,322106,322107,322108	1	1	-1
310240	绿色法师装备掉落（30~39级世界地图怪物）	2	0	1	100	0	250	322111,322112,322113,322114,322115,322116,322117,322118	1	1	-1
310241	绿色射手装备掉落（30~39级世界地图怪物）	3	0	1	100	0	250	322121,322122,322123,322124,322125,322126,322127,322128	1	1	-1
310242	绿色刺客装备掉落（30~39级世界地图怪物）	4	0	1	100	0	250	322131,322132,322133,322134,322135,322136,322137,322138	1	1	-1
310243	蓝色战士装备掉落（30~39级世界地图怪物）	1	0	1	100	0	50	322301,322302,322303,322304,322305,322306,322307,322308	1	1	-1
310244	蓝色法师装备掉落（30~39级世界地图怪物）	2	0	1	100	0	50	322311,322312,322313,322314,322315,322316,322317,322318	1	1	-1
310245	蓝色射手装备掉落（30~39级世界地图怪物）	3	0	1	100	0	50	322321,322322,322323,322324,322325,322326,322327,322328	1	1	-1
310246	蓝色刺客装备掉落（30~39级世界地图怪物）	4	0	1	100	0	50	322331,322332,322333,322334,322335,322336,322337,322338	1	1	-1
310247	紫色战士装备掉落（30~39级世界地图怪物）	1	0	1	100	0	10	322401,322402,322403,322404,322405,322406,322407,322408	1	1	-1
310248	紫色法师装备掉落（30~39级世界地图怪物）	2	0	1	100	0	10	322411,322412,322413,322414,322415,322416,322417,322418	1	1	-1
310249	紫色射手装备掉落（30~39级世界地图怪物）	3	0	1	100	0	10	322421,322422,322423,322424,322425,322426,322427,322428	1	1	-1
310250	紫色刺客装备掉落（30~39级世界地图怪物）	4	0	1	100	0	10	322431,322432,322433,322434,322435,322436,322437,322438	1	1	-1
310251	白色战士装备掉落（40~49级世界地图怪物）	1	0	1	100	0	1250	321101,321102,321103,321104,321105,321106,321107,321108	1	1	-1
310252	白色法师装备掉落（40~49级世界地图怪物）	2	0	1	100	0	1250	321111,321112,321113,321114,321115,321116,321117,321118	1	1	-1
310253	白色射手装备掉落（40~49级世界地图怪物）	3	0	1	100	0	1250	321121,321122,321123,321124,321125,321126,321127,321128	1	1	-1
310254	白色刺客装备掉落（40~49级世界地图怪物）	4	0	1	100	0	1250	321131,321132,321133,321134,321135,321136,321137,321138	1	1	-1
310255	绿色战士装备掉落（40~49级世界地图怪物）	1	0	1	100	0	250	322101,322102,322103,322104,322105,322106,322107,322108	1	1	-1
310256	绿色法师装备掉落（40~49级世界地图怪物）	2	0	1	100	0	250	322111,322112,322113,322114,322115,322116,322117,322118	1	1	-1
310257	绿色射手装备掉落（40~49级世界地图怪物）	3	0	1	100	0	250	322121,322122,322123,322124,322125,322126,322127,322128	1	1	-1
310258	绿色刺客装备掉落（40~49级世界地图怪物）	4	0	1	100	0	250	322131,322132,322133,322134,322135,322136,322137,322138	1	1	-1
310259	蓝色战士装备掉落（40~49级世界地图怪物）	1	0	1	100	0	50	322301,322302,322303,322304,322305,322306,322307,322308	1	1	-1
310260	蓝色法师装备掉落（40~49级世界地图怪物）	2	0	1	100	0	50	322311,322312,322313,322314,322315,322316,322317,322318	1	1	-1
310261	蓝色射手装备掉落（40~49级世界地图怪物）	3	0	1	100	0	50	322321,322322,322323,322324,322325,322326,322327,322328	1	1	-1
310262	蓝色刺客装备掉落（40~49级世界地图怪物）	4	0	1	100	0	50	322331,322332,322333,322334,322335,322336,322337,322338	1	1	-1
310263	紫色战士装备掉落（40~49级世界地图怪物）	1	0	1	100	0	10	322501,322502,322503,322504,322505,322506,322507,322508	1	1	-1
310264	紫色法师装备掉落（40~49级世界地图怪物）	2	0	1	100	0	10	322511,322512,322513,322514,322515,322516,322517,322518	1	1	-1
310265	紫色射手装备掉落（40~49级世界地图怪物）	3	0	1	100	0	10	322521,322522,322523,322524,322525,322526,322527,322528	1	1	-1
310266	紫色刺客装备掉落（40~49级世界地图怪物）	4	0	1	100	0	10	322531,322532,322533,322534,322535,322536,322537,322538	1	1	-1
310267	白色战士装备掉落（50~59级世界地图怪物）	1	0	1	100	0	1250	321101,321102,321103,321104,321105,321106,321107,321108	1	1	-1
310268	白色法师装备掉落（50~59级世界地图怪物）	2	0	1	100	0	1250	321111,321112,321113,321114,321115,321116,321117,321118	1	1	-1
310269	白色射手装备掉落（50~59级世界地图怪物）	3	0	1	100	0	1250	321121,321122,321123,321124,321125,321126,321127,321128	1	1	-1
310270	白色刺客装备掉落（50~59级世界地图怪物）	4	0	1	100	0	1250	321131,321132,321133,321134,321135,321136,321137,321138	1	1	-1
310271	绿色战士装备掉落（50~59级世界地图怪物）	1	0	1	100	0	250	322101,322102,322103,322104,322105,322106,322107,322108	1	1	-1
310272	绿色法师装备掉落（50~59级世界地图怪物）	2	0	1	100	0	250	322111,322112,322113,322114,322115,322116,322117,322118	1	1	-1
310273	绿色射手装备掉落（50~59级世界地图怪物）	3	0	1	100	0	250	322121,322122,322123,322124,322125,322126,322127,322128	1	1	-1
310274	绿色刺客装备掉落（50~59级世界地图怪物）	4	0	1	100	0	250	322131,322132,322133,322134,322135,322136,322137,322138	1	1	-1
310275	蓝色战士装备掉落（50~59级世界地图怪物）	1	0	1	100	0	50	322301,322302,322303,322304,322305,322306,322307,322308	1	1	-1
310276	蓝色法师装备掉落（50~59级世界地图怪物）	2	0	1	100	0	50	322311,322312,322313,322314,322315,322316,322317,322318	1	1	-1
310277	蓝色射手装备掉落（50~59级世界地图怪物）	3	0	1	100	0	50	322321,322322,322323,322324,322325,322326,322327,322328	1	1	-1
310278	蓝色刺客装备掉落（50~59级世界地图怪物）	4	0	1	100	0	50	322331,322332,322333,322334,322335,322336,322337,322338	1	1	-1
310279	紫色战士装备掉落（50~59级世界地图怪物）	1	0	1	100	0	10	322601,322602,322603,322604,322605,322606,322607,322608	1	1	-1
310280	紫色法师装备掉落（50~59级世界地图怪物）	2	0	1	100	0	10	322611,322612,322613,322614,322615,322616,322617,322618	1	1	-1
310281	紫色射手装备掉落（50~59级世界地图怪物）	3	0	1	100	0	10	322621,322622,322623,322624,322625,322626,322627,322628	1	1	-1
310282	紫色刺客装备掉落（50~59级世界地图怪物）	4	0	1	100	0	10	322631,322632,322633,322634,322635,322636,322637,322638	1	1	-1
310283	白色战士装备掉落（60~69级世界地图怪物）	1	0	1	100	0	1250	321101,321102,321103,321104,321105,321106,321107,321108	1	1	-1
310284	白色法师装备掉落（60~69级世界地图怪物）	2	0	1	100	0	1250	321111,321112,321113,321114,321115,321116,321117,321118	1	1	-1
310285	白色射手装备掉落（60~69级世界地图怪物）	3	0	1	100	0	1250	321121,321122,321123,321124,321125,321126,321127,321128	1	1	-1
310286	白色刺客装备掉落（60~69级世界地图怪物）	4	0	1	100	0	1250	321131,321132,321133,321134,321135,321136,321137,321138	1	1	-1
310287	绿色战士装备掉落（60~69级世界地图怪物）	1	0	1	100	0	250	322101,322102,322103,322104,322105,322106,322107,322108	1	1	-1
310288	绿色法师装备掉落（60~69级世界地图怪物）	2	0	1	100	0	250	322111,322112,322113,322114,322115,322116,322117,322118	1	1	-1
310289	绿色射手装备掉落（60~69级世界地图怪物）	3	0	1	100	0	250	322121,322122,322123,322124,322125,322126,322127,322128	1	1	-1
310290	绿色刺客装备掉落（60~69级世界地图怪物）	4	0	1	100	0	250	322131,322132,322133,322134,322135,322136,322137,322138	1	1	-1
310291	蓝色战士装备掉落（60~69级世界地图怪物）	1	0	1	100	0	50	322301,322302,322303,322304,322305,322306,322307,322308	1	1	-1
310292	蓝色法师装备掉落（60~69级世界地图怪物）	2	0	1	100	0	50	322311,322312,322313,322314,322315,322316,322317,322318	1	1	-1
310293	蓝色射手装备掉落（60~69级世界地图怪物）	3	0	1	100	0	50	322321,322322,322323,322324,322325,322326,322327,322328	1	1	-1
310294	蓝色刺客装备掉落（60~69级世界地图怪物）	4	0	1	100	0	50	322331,322332,322333,322334,322335,322336,322337,322338	1	1	-1
310295	紫色战士装备掉落（60~69级世界地图怪物）	1	0	1	100	0	10	322701,322702,322703,322704,322705,322706,322707,322708	1	1	-1
310296	紫色法师装备掉落（60~69级世界地图怪物）	2	0	1	100	0	10	322711,322712,322713,322714,322715,322716,322717,322718	1	1	-1
310297	紫色射手装备掉落（60~69级世界地图怪物）	3	0	1	100	0	10	322721,322722,322723,322724,322725,322726,322727,322728	1	1	-1
310298	紫色刺客装备掉落（60~69级世界地图怪物）	4	0	1	100	0	10	322731,322732,322733,322734,322735,322736,322737,322738	1	1	-1
310299	白色战士装备掉落（70~79级世界地图怪物）	1	0	1	100	0	1250	321101,321102,321103,321104,321105,321106,321107,321108	1	1	-1
310300	白色法师装备掉落（70~79级世界地图怪物）	2	0	1	100	0	1250	321111,321112,321113,321114,321115,321116,321117,321118	1	1	-1
310301	白色射手装备掉落（70~79级世界地图怪物）	3	0	1	100	0	1250	321121,321122,321123,321124,321125,321126,321127,321128	1	1	-1
310302	白色刺客装备掉落（70~79级世界地图怪物）	4	0	1	100	0	1250	321131,321132,321133,321134,321135,321136,321137,321138	1	1	-1
310303	绿色战士装备掉落（70~79级世界地图怪物）	1	0	1	100	0	250	322101,322102,322103,322104,322105,322106,322107,322108	1	1	-1
310304	绿色法师装备掉落（70~79级世界地图怪物）	2	0	1	100	0	250	322111,322112,322113,322114,322115,322116,322117,322118	1	1	-1
310305	绿色射手装备掉落（70~79级世界地图怪物）	3	0	1	100	0	250	322121,322122,322123,322124,322125,322126,322127,322128	1	1	-1
310306	绿色刺客装备掉落（70~79级世界地图怪物）	4	0	1	100	0	250	322131,322132,322133,322134,322135,322136,322137,322138	1	1	-1
310307	蓝色战士装备掉落（70~79级世界地图怪物）	1	0	1	100	0	50	322301,322302,322303,322304,322305,322306,322307,322308	1	1	-1
310308	蓝色法师装备掉落（70~79级世界地图怪物）	2	0	1	100	0	50	322311,322312,322313,322314,322315,322316,322317,322318	1	1	-1
310309	蓝色射手装备掉落（70~79级世界地图怪物）	3	0	1	100	0	50	322321,322322,322323,322324,322325,322326,322327,322328	1	1	-1
310310	蓝色刺客装备掉落（70~79级世界地图怪物）	4	0	1	100	0	50	322331,322332,322333,322334,322335,322336,322337,322338	1	1	-1
310311	紫色战士装备掉落（70~79级世界地图怪物）	1	0	1	100	0	10	322801,322802,322803,322804,322805,322806,322807,322808	1	1	-1
310312	紫色法师装备掉落（70~79级世界地图怪物）	2	0	1	100	0	10	322811,322812,322813,322814,322815,322816,322817,322818	1	1	-1
310313	紫色射手装备掉落（70~79级世界地图怪物）	3	0	1	100	0	10	322821,322822,322823,322824,322825,322826,322827,322828	1	1	-1
310314	紫色刺客装备掉落（70~79级世界地图怪物）	4	0	1	100	0	10	322831,322832,322833,322834,322835,322836,322837,322838	1	1	-1
310315	白色战士装备掉落（80~89级世界地图怪物）	1	0	1	100	0	1250	321101,321102,321103,321104,321105,321106,321107,321108	1	1	-1
310316	白色法师装备掉落（80~89级世界地图怪物）	2	0	1	100	0	1250	321111,321112,321113,321114,321115,321116,321117,321118	1	1	-1
310317	白色射手装备掉落（80~89级世界地图怪物）	3	0	1	100	0	1250	321121,321122,321123,321124,321125,321126,321127,321128	1	1	-1
310318	白色刺客装备掉落（80~89级世界地图怪物）	4	0	1	100	0	1250	321131,321132,321133,321134,321135,321136,321137,321138	1	1	-1
310319	绿色战士装备掉落（80~89级世界地图怪物）	1	0	1	100	0	250	322101,322102,322103,322104,322105,322106,322107,322108	1	1	-1
310320	绿色法师装备掉落（80~89级世界地图怪物）	2	0	1	100	0	250	322111,322112,322113,322114,322115,322116,322117,322118	1	1	-1
310321	绿色射手装备掉落（80~89级世界地图怪物）	3	0	1	100	0	250	322121,322122,322123,322124,322125,322126,322127,322128	1	1	-1
310322	绿色刺客装备掉落（80~89级世界地图怪物）	4	0	1	100	0	250	322131,322132,322133,322134,322135,322136,322137,322138	1	1	-1
310323	蓝色战士装备掉落（80~89级世界地图怪物）	1	0	1	100	0	50	322301,322302,322303,322304,322305,322306,322307,322308	1	1	-1
310324	蓝色法师装备掉落（80~89级世界地图怪物）	2	0	1	100	0	50	322311,322312,322313,322314,322315,322316,322317,322318	1	1	-1
310325	蓝色射手装备掉落（80~89级世界地图怪物）	3	0	1	100	0	50	322321,322322,322323,322324,322325,322326,322327,322328	1	1	-1
310326	蓝色刺客装备掉落（80~89级世界地图怪物）	4	0	1	100	0	50	322331,322332,322333,322334,322335,322336,322337,322338	1	1	-1
310327	紫色战士装备掉落（80~89级世界地图怪物）	1	0	1	100	0	10	322901,322902,322903,322904,322905,322906,322907,322908	1	1	-1
310328	紫色法师装备掉落（80~89级世界地图怪物）	2	0	1	100	0	10	322911,322912,322913,322914,322915,322916,322917,322918	1	1	-1
310329	紫色射手装备掉落（80~89级世界地图怪物）	3	0	1	100	0	10	322921,322922,322923,322924,322925,322926,322927,322928	1	1	-1
310330	紫色刺客装备掉落（80~89级世界地图怪物）	4	0	1	100	0	10	322931,322932,322933,322934,322935,322936,322937,322938	1	1	-1
310331	白色战士装备掉落（90~100级世界地图怪物）	1	0	1	100	0	1250	321101,321102,321103,321104,321105,321106,321107,321108	1	1	-1
310332	白色法师装备掉落（90~100级世界地图怪物）	2	0	1	100	0	1250	321111,321112,321113,321114,321115,321116,321117,321118	1	1	-1
310333	白色射手装备掉落（90~100级世界地图怪物）	3	0	1	100	0	1250	321121,321122,321123,321124,321125,321126,321127,321128	1	1	-1
310334	白色刺客装备掉落（90~100级世界地图怪物）	4	0	1	100	0	1250	321131,321132,321133,321134,321135,321136,321137,321138	1	1	-1
310335	绿色战士装备掉落（90~100级世界地图怪物）	1	0	1	100	0	250	322101,322102,322103,322104,322105,322106,322107,322108	1	1	-1
310336	绿色法师装备掉落（90~100级世界地图怪物）	2	0	1	100	0	250	322111,322112,322113,322114,322115,322116,322117,322118	1	1	-1
310337	绿色射手装备掉落（90~100级世界地图怪物）	3	0	1	100	0	250	322121,322122,322123,322124,322125,322126,322127,322128	1	1	-1
310338	绿色刺客装备掉落（90~100级世界地图怪物）	4	0	1	100	0	250	322131,322132,322133,322134,322135,322136,322137,322138	1	1	-1
310339	蓝色战士装备掉落（90~100级世界地图怪物）	1	0	1	100	0	50	322301,322302,322303,322304,322305,322306,322307,322308	1	1	-1
310340	蓝色法师装备掉落（90~100级世界地图怪物）	2	0	1	100	0	50	322311,322312,322313,322314,322315,322316,322317,322318	1	1	-1
310341	蓝色射手装备掉落（90~100级世界地图怪物）	3	0	1	100	0	50	322321,322322,322323,322324,322325,322326,322327,322328	1	1	-1
310342	蓝色刺客装备掉落（90~100级世界地图怪物）	4	0	1	100	0	50	322331,322332,322333,322334,322335,322336,322337,322338	1	1	-1
310343	紫色战士装备掉落（90~100级世界地图怪物）	1	0	1	100	0	10	323001,323002,323003,323004,323005,323006,323007,323008	1	1	-1
310344	紫色法师装备掉落（90~100级世界地图怪物）	2	0	1	100	0	10	323011,323012,323013,323014,323015,323016,323017,323018	1	1	-1
310345	紫色射手装备掉落（90~100级世界地图怪物）	3	0	1	100	0	10	323021,323022,323023,323024,323025,323026,323027,323028	1	1	-1
310346	紫色刺客装备掉落（90~100级世界地图怪物）	4	0	1	100	0	10	323031,323032,323033,323034,323035,323036,323037,323038	1	1	-1
310401	主线任务奖励：1级白色战士武器	1	0	1	100	0	10000	324101	1	1	-1
310402	主线任务奖励：1级白色法师武器	2	0	1	100	0	10000	324102	1	1	-1
310403	主线任务奖励：1级白色射手武器	3	0	1	100	0	10000	324103	1	1	-1
310404	主线任务奖励：1级白色刺客武器	4	0	1	100	0	10000	324104	1	1	-1
310405	主线任务奖励：1级白色战士衣服	1	0	1	100	0	10000	324105	1	1	-1
310406	主线任务奖励：1级白色法师衣服	2	0	1	100	0	10000	324106	1	1	-1
310407	主线任务奖励：1级白色射手衣服	3	0	1	100	0	10000	324107	1	1	-1
310408	主线任务奖励：1级白色刺客衣服	4	0	1	100	0	10000	324108	1	1	-1
310409	主线任务奖励：1级白色战士头盔	1	0	1	100	0	10000	324109	1	1	-1
310410	主线任务奖励：1级白色法师头盔	2	0	1	100	0	10000	324110	1	1	-1
310411	主线任务奖励：1级白色射手头盔	3	0	1	100	0	10000	324111	1	1	-1
310412	主线任务奖励：1级白色刺客头盔	4	0	1	100	0	10000	324112	1	1	-1
310413	主线任务奖励：1级白色战士项链	1	0	1	100	0	10000	324113	1	1	-1
310414	主线任务奖励：1级白色法师项链	2	0	1	100	0	10000	324114	1	1	-1
310415	主线任务奖励：1级白色射手项链	3	0	1	100	0	10000	324115	1	1	-1
310416	主线任务奖励：1级白色刺客项链	4	0	1	100	0	10000	324116	1	1	-1
310417	主线任务奖励：1级白色战士腰带	1	0	1	100	0	10000	324117	1	1	-1
310418	主线任务奖励：1级白色法师腰带	2	0	1	100	0	10000	324118	1	1	-1
310419	主线任务奖励：1级白色射手腰带	3	0	1	100	0	10000	324119	1	1	-1
310420	主线任务奖励：1级白色刺客腰带	4	0	1	100	0	10000	324120	1	1	-1
310421	主线任务奖励：1级白色战士手镯	1	0	1	100	0	10000	324121	1	1	-1
310422	主线任务奖励：1级白色法师手镯	2	0	1	100	0	10000	324122	1	1	-1
310423	主线任务奖励：1级白色射手手镯	3	0	1	100	0	10000	324123	1	1	-1
310424	主线任务奖励：1级白色刺客手镯	4	0	1	100	0	10000	324124	1	1	-1
310425	主线任务奖励：1级白色战士鞋子	1	0	1	100	0	10000	324125	1	1	-1
310426	主线任务奖励：1级白色法师鞋子	2	0	1	100	0	10000	324126	1	1	-1
310427	主线任务奖励：1级白色射手鞋子	3	0	1	100	0	10000	324127	1	1	-1
310428	主线任务奖励：1级白色刺客鞋子	4	0	1	100	0	10000	324128	1	1	-1
310429	主线任务奖励：1级白色战士戒指	1	0	1	100	0	10000	324129	1	1	-1
310430	主线任务奖励：1级白色法师戒指	2	0	1	100	0	10000	324130	1	1	-1
310431	主线任务奖励：1级白色射手戒指	3	0	1	100	0	10000	324131	1	1	-1
